"","sent_raw","syuzhet","bing","afinn","nrc"
"1","mrs  dalloway said she would buy the flowers herself",0,0,0,0
"2","for lucy had her work cut out for her",0,1,-1,0
"3","the doors would be taken off their hinges  rumpelmayer own men were coming",0,0,0,0
"4","and then  thought clarissa dalloway  what a morning  fresh as if issued to children on a beach",0.5,1,1,0
"5","what a lark",0,0,0,0
"6","what a plunge",-0.4,0,0,-1
"7","for so it had always seemed to her  when  with a little squeak of the hinges  which she could hear now  she had burst open the french windows and plunged at bourton into the open air",0,-1,0,0
"8","how fresh  how calm  stiller than this of course  the air was in the early morning  like the flap of a wave  the kiss of a wave  chill and sharp and yet  for a girl of eighteen as she then was  solemn  feeling as she did  standing there at the open window  that something awful was about to happen  looking at the flowers  at the trees with the smoke winding off them and the rooks rising  falling  standing and looking until peter walsh said   musing among the vegetables    was that it    i prefer men to cauliflowers   was that it  he must have said it at breakfast one morning when she had gone out on to the terrace  peter walsh",1.1,0,3,3
"9","he would be back from india one of these days  june or july  she forgot which  for his letters were awfully dull  it was his sayings one remembered  his eyes  his pocket knife  his smile  his grumpiness and  when millions of things had utterly vanished  how strange it was   a few sayings like this about cabbages",-2.4,-3,0,-1
"10","she stiffened a little on the kerb  waiting for durtnall own van to pass",-0.6,0,0,0
"11","a charming woman  scrope purvis thought her  knowing her as one does know people who live next door to one in westminster   a touch of the bird about her  of the jay  blue green  light  vivacious  though she was over fifty  and grown very white since her illness",2,1,4,4
"12","there she perched  never seeing him  waiting to cross  very upright",0.6,0,0,0
"13","for having lived in westminster  how many years now  over twenty   one feels even in the midst of the traffic  or waking at night  clarissa was positive  a particular hush  or solemnity  an indescribable pause  a suspense  but that might be her heart  affected  they said  by influenza  before big ben strikes",0.5,1,1,0
"14","there",0,0,0,0
"15","out it boomed",0,0,0,0
"16","first a warning  musical  then the hour  irrevocable",-0.15,-1,-3,0
"17","the leaden circles dissolved in the air",-0.25,0,0,0
"18","such fools we are  she thought  crossing victoria street",-0.5,0,-2,0
"19","for heaven only knows why one loves it so  how one sees it so  making it up  building it round one  tumbling it  creating it every moment afresh  but the veriest frumps  the most dejected of miseries sitting on doorsteps  drink their downfall  do the same  cannot be dealt with  she felt positive  by acts of parliament for that very reason  they love life",1.6,1,8,2
