,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
0,0,Mrs. Dalloway said she would buy the flowers herself.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,For Lucy had her work cut out for her.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,The doors would be taken off their hinges; Rumpelmayer's men were coming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,"And then, thought Clarissa Dalloway, what a morning--fresh as if issued to children on a beach.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,What a lark!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,What a plunge!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,"For so it had always seemed to her, when, with a little squeak of the hinges, which she could hear now, she had burst open the French windows and plunged at Bourton into the open air.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,"How fresh, how calm, stiller than this of course, the air was in the early morning; like the flap of a wave; the kiss of a wave; chill and sharp and yet (for a girl of eighteen as she then was) solemn, feeling as she did, standing there at the open window, that something awful was about to happen; looking at the flowers, at the trees with the smoke winding off them and the rooks rising, falling; standing and looking until Peter Walsh said, ""Musing among the vegetables?""--was that it?--""I prefer men to cauliflowers""--was that it? He must have said it at breakfast one morning when she had gone out on to the terrace--Peter Walsh.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,"He would be back from India one of these days, June or July, she forgot which, for his letters were awfully dull; it was his sayings one remembered; his eyes, his pocket-knife, his smile, his grumpiness and, when millions of things had utterly vanished--how strange it was!--a few sayings like this about cabbages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,"She stiffened a little on the kerb, waiting for Durtnall's van to pass.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,"A charming woman, Scrope Purvis thought her (knowing her as one does know people who live next door to one in Westminster); a touch of the bird about her, of the jay, blue-green, light, vivacious, though she was over fifty, and grown very white since her illness.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
