,model,type,sent_no,sent_raw,sentiment,sentiment100,token_len,sent_raw_abbr
354,transformer_roberta15lg,peak,161,"""Now we will cross,"" she said.",0.4258721796806347,33,6,"""Now we will cross,"" she said."
268,sentimentr_nrc,peak,165,The face itself had been seen only once by three people for a few seconds.,0.5360320127691036,34,15,The face itself had been seen only once by three people for a few seconds.
222,sentimentr_senticnet,valley,165,The face itself had been seen only once by three people for a few seconds.,0.8932619644107462,38,15,The face itself had been seen only once by three people for a few seconds.
60,baseline_flair,peak,166,Even the sex was now in dispute.,-0.11366256465161778,28,7,Even the sex was now in dispute.
237,sentimentr_sentiword,peak,170,"And for a second she wore a look of extreme dignity standing by the flower shop in the sunlight while the car passed at a foot's pace, with its blinds drawn.",-0.5943725319206657,23,31,And for a second she wore a look of extreme dignity standing by the flower shop in the sunlight whil
164,sentimentr_jockers,valley,171,"The Queen going to some hospital; the Queen opening some bazaar, thought Clarissa.",-0.6823598616122603,22,13,"The Queen going to some hospital; the Queen opening some bazaar, thought Clarissa."
0,baseline_vader,peak,178,"Clarissa guessed; Clarissa knew of course; she had seen something white, magical, circular, in the footman's hand, a disc inscribed with a name,--the Queen's, the Prince of Wales's, the Prime Minister's?--which, by force of its own lustre, burnt its way through (Clarissa saw the car diminishing, disappearing), to blaze among candelabras, glittering stars, breasts stiff with oak leaves, Hugh Whitbread and all his colleagues, the gentlemen of England, that night in Buckingham Palace.",-0.02699190650110114,29,73,"Clarissa guessed; Clarissa knew of course; she had seen something white, magical, circular, in the f"
296,sentimentr_lmcd,peak,179,"And Clarissa, too, gave a party.",-0.3335881803116428,26,6,"And Clarissa, too, gave a party."
179,sentimentr_huliu,peak,180,She stiffened a little; so she would stand at the top of her stairs.,-0.7634596194939377,21,14,She stiffened a little; so she would stand at the top of her stairs.
119,sentimentr_jockers,peak,180,She stiffened a little; so she would stand at the top of her stairs.,-0.4029406056245801,25,14,She stiffened a little; so she would stand at the top of her stairs.
325,syuzhetr_syuzhet,peak,184,"In a public house in a back street a Colonial insulted the House of Windsor which led to words, broken beer glasses, and a general shindy, which echoed strangely across the way in the ears of girls buying white underlinen threaded with pure white ribbon for their weddings.",-0.30208418718879876,26,48,"In a public house in a back street a Colonial insulted the House of Windsor which led to words, brok"
88,baseline_stanza,peak,196,"Joined by an elderly gentleman with an Aberdeen terrier, by men without occupation, the crowd increased.",0.21882284381004038,31,16,"Joined by an elderly gentleman with an Aberdeen terrier, by men without occupation, the crowd increa"
149,sentimentr_jockers,peak,196,"Joined by an elderly gentleman with an Aberdeen terrier, by men without occupation, the crowd increased.",-0.28730600554411445,26,16,"Joined by an elderly gentleman with an Aberdeen terrier, by men without occupation, the crowd increa"
370,transformer_roberta15lg,valley,207,"an E, then an L?",-0.6259911182594505,23,5,"an E, then an L?"
253,sentimentr_sentiword,valley,208,"Only for a moment did they lie still; then they moved and melted and were rubbed out up in the sky, and the aeroplane shot further away and again, in a fresh space of sky, began writing a K, an E, a Y perhaps?",-1.115015153005155,18,44,"Only for a moment did they lie still; then they moved and melted and were rubbed out up in the sky, "
