,model,type,sent_no,sent_raw,sentiment,sentiment100,token_len,sent_raw_abbr
178,transformer_roberta15lg,peak,161,"""Now we will cross,"" she said.",0.4258721796806347,32,6,"""Now we will cross,"" she said."
60,baseline_flair,peak,166,Even the sex was now in dispute.,-0.11366256465161778,27,7,Even the sex was now in dispute.
0,baseline_vader,peak,178,"Clarissa guessed; Clarissa knew of course; she had seen something white, magical, circular, in the footman's hand, a disc inscribed with a name,--the Queen's, the Prince of Wales's, the Prime Minister's?--which, by force of its own lustre, burnt its way through (Clarissa saw the car diminishing, disappearing), to blaze among candelabras, glittering stars, breasts stiff with oak leaves, Hugh Whitbread and all his colleagues, the gentlemen of England, that night in Buckingham Palace.",-0.02699190650110114,28,73,"Clarissa guessed; Clarissa knew of course; she had seen something white, magical, circular, in the f"
119,sentimentr_jockers,peak,180,She stiffened a little; so she would stand at the top of her stairs.,-0.4029406056245801,24,14,She stiffened a little; so she would stand at the top of her stairs.
149,syuzhetr_syuzhet,peak,184,"In a public house in a back street a Colonial insulted the House of Windsor which led to words, broken beer glasses, and a general shindy, which echoed strangely across the way in the ears of girls buying white underlinen threaded with pure white ribbon for their weddings.",-0.30208418718879876,25,48,"In a public house in a back street a Colonial insulted the House of Windsor which led to words, brok"
88,baseline_stanza,peak,196,"Joined by an elderly gentleman with an Aberdeen terrier, by men without occupation, the crowd increased.",0.21882284381004038,30,16,"Joined by an elderly gentleman with an Aberdeen terrier, by men without occupation, the crowd increa"
194,transformer_roberta15lg,valley,207,"an E, then an L?",-0.6259911182594505,22,5,"an E, then an L?"
163,syuzhetr_syuzhet,valley,209,"""Glaxo,"" said Mrs. Coates in a strained, awe-stricken voice, gazing straight up, and her baby, lying stiff and white in her arms, gazed straight up.",-0.911907528069615,19,25,"""Glaxo,"" said Mrs. Coates in a strained, awe-stricken voice, gazing straight up, and her baby, lying"
103,baseline_stanza,valley,212,All down the Mall people were standing and looking up into the sky.,0.1620895790425707,30,13,All down the Mall people were standing and looking up into the sky.
74,baseline_flair,valley,219,"The clouds to which the letters E, G, or L had attached themselves moved freely, as if destined to cross from West to East on a mission of the greatest importance which would never be revealed, and yet certainly so it was--a mission of the greatest importance. Then suddenly, as a train comes out of a tunnel, the aeroplane rushed out of the clouds again, the sound boring into the ears of all people in the Mall, in the Green Park, in Piccadilly, in Regent Street, in Regent's Park, and the bar of smoke curved behind and it dropped down, and it soared up and wrote one letter after another--but what word was it writing?",-0.17613808935753383,26,115,"The clouds to which the letters E, G, or L had attached themselves moved freely, as if destined to c"
