parag_no,parag_raw,char_len,token_len,parag_clean,nlptown,robertalg15,distillbertsst,bertsst_pol,bertsst_prob
0,"But remember, please, the Law by which we live, We are not built to comprehend a lie ...",88,18,but remember please the law by which we live we are not built to comprehend a lie ,2.2297563973151857,-0.9922114014625549,-0.9921994209289551,,
1,"--Rudyard Kipling, ""The Secret of the Machines""",47,7,rudyard kipling the secret of the machines,3.2088203081426396,0.9874042272567749,0.9821951985359192,,
2,"It was religious yearning granted hope, it was the holy grail of science. Our ambitions ran high and low--for a creation myth made real, for a monstrous act of self-love. As soon as it was feasible, we had no choice but to follow our desires and hang the consequences. In loftiest terms, we aimed to escape our mortality, confront or even replace the Godhead with a perfect self. More practically, we intended to devise an improved, more modern version of ourselves and exult in the joy of invention, the thrill of mastery. In the autumn of the twentieth century, it came about at last, the first step towards the fulfilment of an ancient dream, the beginning of the long lesson we would teach ourselves that however complicated we were, however faulty and difficult to describe in even our simplest actions and modes of being, we could be imitated and bettered. And I was there as a young man, an early and eager adopter in that chilly dawn.",942,167,it was religious yearning granted hope it was the holy grail of science our ambitions ran high and lowfor a creation myth made real for a monstrous act of selflove as soon as it was feasible we had no choice but to follow our desires and hang the consequences in loftiest terms we aimed to escape our mortality confront or even replace the godhead with a perfect self more practically we intended to devise an improved more modern version of ourselves and exult in the joy of invention the thrill of mastery in the autumn of the twentieth century it came about at last the first step towards the fulfilment of an ancient dream the beginning of the long lesson we would teach ourselves that however complicated we were however faulty and difficult to describe in even our simplest actions and modes of being we could be imitated and bettered and i was there as a young man an early and eager adopter in that chilly dawn,1.3195394864707588,4.9933571219444275,-2.5913217067718506,,
3,"But artificial humans were a cliche long before they arrived, so when they did, they seemed to some a disappointment. The imagination, fleeter than history, than technological advance, had already rehearsed this future in books, then films and TV dramas, as if human actors, walking with a certain glazed look, phony head movements, some stiffness in the lower back, could prepare us for life with our cousins from the future.",426,70,but artificial humans were a cliche long before they arrived so when they did they seemed to some a disappointment the imagination fleeter than history than technological advance had already rehearsed this future in books then films and tv dramas as if human actors walking with a certain glazed look phony head movements some stiffness in the lower back could prepare us for life with our cousins from the future,2.2602522993904133,-1.9817449450492859,-1.996180236339569,,
4,"I was among the optimists, blessed by unexpected funds following my mother's death and the sale of the family home, which turned out to be on a valuable development site. The first truly viable manufactured human with plausible intelligence and looks, believable motion and shifts of expression, went on sale the week before the Falklands Task Force set off on its hopeless mission. Adam cost PS86,000. I brought him home in a hired van to my unpleasant flat in north Clapham. I would made a reckless decision, but I was encouraged by reports that Sir Alan Turing, war hero and presiding genius of the digital age, had taken delivery of the same model. Fie probably wanted to have his lab take it apart to examine its workings fully.",733,128,i was among the optimists blessed by unexpected funds following my mothers death and the sale of the family home which turned out to be on a valuable development site the first truly viable manufactured human with plausible intelligence and looks believable motion and shifts of expression went on sale the week before the falklands task force set off on its hopeless mission adam cost  i brought him home in a hired van to my unpleasant flat in north clapham i would made a reckless decision but i was encouraged by reports that sir alan turing war hero and presiding genius of the digital age had taken delivery of the same model fie probably wanted to have his lab take it apart to examine its workings fully,0.3193345357978129,-0.010100126266479492,-2.004437208175659,,
5,"Twelve of this first edition were called Adam, thirteen were called Eve. Corny, everyone agreed, but commercial. Notions of biological race being scientifically discredited, the twenty-five were designed to cover a range of ethnicities. There were rumours, then complaints, that the Arab could not be told apart from the Jew. Random programming as well as life experience would grant to all complete latitude in sexual preference. By the end of the first week, all the Eves sold out. At a careless glance, I might have taken my Adam for a Turk or a Greek. He weighed 170 pounds, so I had to ask my upstairs neighbour, Miranda, to help me carry him in from the street on the disposable stretcher that came with the purchase. While his batteries began to charge, I made us coffee, then scrolled through the 470-page online handbook. Its language was mostly clear and precise. But Adam was created across different agencies and in places the instructions had the charm of a nonsense poem. ""Unreveal upside of B347k vest to gain carefree emoticon with motherboard output to attenuate mood-swing penumbra.""",1101,184,twelve of this first edition were called adam thirteen were called eve corny everyone agreed but commercial notions of biological race being scientifically discredited the twentyfive were designed to cover a range of ethnicities there were rumours then complaints that the arab could not be told apart from the jew random programming as well as life experience would grant to all complete latitude in sexual preference by the end of the first week all the eves sold out at a careless glance i might have taken my adam for a turk or a greek he weighed  pounds so i had to ask my upstairs neighbour miranda to help me carry him in from the street on the disposable stretcher that came with the purchase while his batteries began to charge i made us coffee then scrolled through the  online handbook its language was mostly clear and precise but adam was created across different agencies and in places the instructions had the charm of a nonsense poem unreveal upside of  vest to gain carefree emoticon with motherboard output to attenuate moodswing penumbra,0.24131711894522115,-3.936532735824585,0.0024741291999816895,,
6,"At last, with cardboard and polystyrene wrapping strewn around his ankles, he sat naked at my tiny dining table, eyes closed, a black power line trailing from the entry point in his umbilicus to a thirteen-amp socket in the wall. It would take sixteen hours to fire him up. Then sessions of download updates and personal preferences. I wanted him now, and so did Miranda. Like eager young parents, we were avid for his first words. There was no loudspeaker cheaply buried in his chest. We knew from the excited publicity that he formed sounds with breath, tongue, teeth and palate. Already his lifelike skin was warm to the touch and as smooth as a child's. Miranda claimed to see his eyelashes flicker. I was certain she was seeing vibrations from the Tube trains rolling a hundred feet below us, but I said nothing.",817,144,at last with cardboard and polystyrene wrapping strewn around his ankles he sat naked at my tiny dining table eyes closed a black power line trailing from the entry point in his umbilicus to a thirteenamp socket in the wall it would take sixteen hours to fire him up then sessions of download updates and personal preferences i wanted him now and so did miranda like eager young parents we were avid for his first words there was no loudspeaker cheaply buried in his chest we knew from the excited publicity that he formed sounds with breath tongue teeth and palate already his lifelike skin was warm to the touch and as smooth as a childs miranda claimed to see his eyelashes flicker i was certain she was seeing vibrations from the tube trains rolling a hundred feet below us but i said nothing,1.2579899740482035,0.003550410270690918,3.9676002264022827,,
7,"Adam was not a sex toy. However, he was capable of sex and possessed functional mucous membranes, in the maintenance of which he consumed half a litre of water each day. While he sat at the table, I observed that he was uncircumcised, fairly well endowed, with copious dark pubic hair. This highly advanced model of artificial human was likely to reflect the appetites of its young creators of code. The Adams and Eves, it was thought, would be lively.",452,80,adam was not a sex toy however he was capable of sex and possessed functional mucous membranes in the maintenance of which he consumed half a litre of water each day while he sat at the table i observed that he was uncircumcised fairly well endowed with copious dark pubic hair this highly advanced model of artificial human was likely to reflect the appetites of its young creators of code the adams and eves it was thought would be lively,2.2407186908824728,2.956733524799347,-2.9936548471450806,,
8,"He was advertised as a companion, an intellectual sparring partner, friend and factotum who could wash dishes, make beds and ""think."" Every moment of his existence, everything he heard and saw, he recorded and could retrieve. He could not drive as yet and was not allowed to swim or shower or go out in the rain without an umbrella, or operate a chainsaw unsupervised. As for range, thanks to breakthroughs in electrical storage, he could run seventeen kilometres in two hours without a charge or, its energy equivalent, converse non-stop for twelve days. He had a working life of twenty years. He was compactly built, square-shouldered, dark-skinned, with thick black hair swept back; narrow in the face, with a hint of hooked nose suggestive of fierce intelligence, pensively hooded eyes, tight lips that, even as we watched, were draining of their deathly yellowish-white tint and acquiring rich human colour, perhaps even relaxing a little at the corners. Miranda said he resembled ""a docker from the Bosphorus.""",1016,166,he was advertised as a companion an intellectual sparring partner friend and factotum who could wash dishes make beds and think every moment of his existence everything he heard and saw he recorded and could retrieve he could not drive as yet and was not allowed to swim or shower or go out in the rain without an umbrella or operate a chainsaw unsupervised as for range thanks to breakthroughs in electrical storage he could run seventeen kilometres in two hours without a charge or its energy equivalent converse nonstop for twelve days he had a working life of twenty years he was compactly built squareshouldered darkskinned with thick black hair swept back narrow in the face with a hint of hooked nose suggestive of fierce intelligence pensively hooded eyes tight lips that even as we watched were draining of their deathly yellowishwhite tint and acquiring rich human colour perhaps even relaxing a little at the corners miranda said he resembled a docker from the bosphorus,4.277636159218429,0.9907488226890564,-4.9763728976249695,,
9,"Before us sat the ultimate plaything, the dream of ages, the triumph of humanism--or its angel of death. Exciting beyond measure, but frustrating too. Sixteen hours was a long time to be waiting and watching. I thought that for the sum I would handed over after lunch, Adam should have been charged up and ready to go. It was a wintry late afternoon. I made toast and we drank more coffee. Miranda, a doctoral scholar of social history, said she wished the teenage Mary Shelley was here beside us, observing closely, not a monster like Frankenstein's, but this handsome dark-skinned young man coming to life. I said that what both creatures shared was a hunger for the animating force of electricity.",700,121,before us sat the ultimate plaything the dream of ages the triumph of humanismor its angel of death exciting beyond measure but frustrating too sixteen hours was a long time to be waiting and watching i thought that for the sum i would handed over after lunch adam should have been charged up and ready to go it was a wintry late afternoon i made toast and we drank more coffee miranda a doctoral scholar of social history said she wished the teenage mary shelley was here beside us observing closely not a monster like frankensteins but this handsome darkskinned young man coming to life i said that what both creatures shared was a hunger for the animating force of electricity,1.3060062138166053,3.98765367269516,1.7394568920135498,,
