sent_no,parag_no,sent_raw,char_len,token_len,sent_clean,nlptown,robertalg15,distillbertsst,bertsst_pol,bertsst_prob,bertsst
0,0,"But remember, please, the Law by which we live, We are not built to comprehend a lie ...",88,18,but remember please the law by which we live we are not built to comprehend a lie ,2.2278983973753124,-0.9922114014625549,-0.9921994209289551,Negative,0.5,-0.5
1,1,"--Rudyard Kipling, ""The Secret of the Machines""",47,7,rudyard kipling the secret of the machines,3.2219982406349565,0.9874042272567749,0.9821951985359192,Positive,0.83,0.83
2,2,"It was religious yearning granted hope, it was the holy grail of science.",73,13,it was religious yearning granted hope it was the holy grail of science,4.318441771478091,0.9977425336837769,0.9861502647399902,Positive,0.95,0.95
3,2,"Our ambitions ran high and low--for a creation myth made real, for a monstrous act of self-love.",96,17,our ambitions ran high and lowfor a creation myth made real for a monstrous act of selflove,1.2392993928726634,-0.9898911714553833,-0.5990400314331055,Negative,0.8,-0.8
4,2,"As soon as it was feasible, we had no choice but to follow our desires and hang the consequences.",97,19,as soon as it was feasible we had no choice but to follow our desires and hang the consequences,4.2371762230644885,0.9945173263549805,-0.9907079935073853,Negative,0.91,-0.91
5,2,"In loftiest terms, we aimed to escape our mortality, confront or even replace the Godhead with a perfect self.",110,19,in loftiest terms we aimed to escape our mortality confront or even replace the godhead with a perfect self,4.311940348795942,0.9960975050926208,-0.9920427799224854,Positive,0.9,0.9
6,2,"More practically, we intended to devise an improved, more modern version of ourselves and exult in the joy of invention, the thrill of mastery.",143,24,more practically we intended to devise an improved more modern version of ourselves and exult in the joy of invention the thrill of mastery,4.2214413016944325,0.9985390305519104,-0.9965766668319702,Positive,0.95,0.95
7,2,"In the autumn of the twentieth century, it came about at last, the first step towards the fulfilment of an ancient dream, the beginning of the long lesson we would teach ourselves that however complicated we were, however faulty and difficult to describe in even our simplest actions and modes of being, we could be imitated and bettered.",338,58,in the autumn of the twentieth century it came about at last the first step towards the fulfilment of an ancient dream the beginning of the long lesson we would teach ourselves that however complicated we were however faulty and difficult to describe in even our simplest actions and modes of being we could be imitated and bettered,2.2418545639097562,0.9977330565452576,-0.9910540580749512,Positive,0.8,0.8
8,2,"And I was there as a young man, an early and eager adopter in that chilly dawn.",79,17,and i was there as a young man an early and eager adopter in that chilly dawn,4.2809264889512395,0.9986188411712646,0.9919495582580566,Positive,0.96,0.96
9,3,"But artificial humans were a cliche long before they arrived, so when they did, they seemed to some a disappointment.",117,20,but artificial humans were a cliche long before they arrived so when they did they seemed to some a disappointment,2.294593319930869,-0.9985597133636475,-0.9969707131385803,Negative,0.99,-0.99
10,3,"The imagination, fleeter than history, than technological advance, had already rehearsed this future in books, then films and TV dramas, as if human actors, walking with a certain glazed look, phony head movements, some stiffness in the lower back, could prepare us for life with our cousins from the future.",308,50,the imagination fleeter than history than technological advance had already rehearsed this future in books then films and tv dramas as if human actors walking with a certain glazed look phony head movements some stiffness in the lower back could prepare us for life with our cousins from the future,3.237147912750346,-0.9831852316856384,-0.9992095232009888,Negative,0.88,-0.88
11,4,"I was among the optimists, blessed by unexpected funds following my mother's death and the sale of the family home, which turned out to be on a valuable development site.",170,30,i was among the optimists blessed by unexpected funds following my mothers death and the sale of the family home which turned out to be on a valuable development site,4.262318592661266,0.9967567920684814,-0.9969010353088379,Positive,0.96,0.96
12,4,"The first truly viable manufactured human with plausible intelligence and looks, believable motion and shifts of expression, went on sale the week before the Falklands Task Force set off on its hopeless mission.",211,33,the first truly viable manufactured human with plausible intelligence and looks believable motion and shifts of expression went on sale the week before the falklands task force set off on its hopeless mission,4.3162799213169825,0.9963844418525696,-0.9986611604690552,Positive,0.62,0.62
13,4,"Adam cost PS86,000.",19,3,adam cost ,0.4287748299631766,-0.9988386631011963,-0.999271035194397,Positive,0.52,0.52
14,4,I brought him home in a hired van to my unpleasant flat in north Clapham.,73,15,i brought him home in a hired van to my unpleasant flat in north clapham,4.279344491644188,-0.9990343451499939,0.998590886592865,Negative,0.9,-0.9
15,4,"I would made a reckless decision, but I was encouraged by reports that Sir Alan Turing, war hero and presiding genius of the digital age, had taken delivery of the same model.",175,32,i would made a reckless decision but i was encouraged by reports that sir alan turing war hero and presiding genius of the digital age had taken delivery of the same model,1.2592177196927172,0.9928053021430969,-0.9989076256752014,Positive,0.77,0.77
16,4,Fie probably wanted to have his lab take it apart to examine its workings fully.,80,15,fie probably wanted to have his lab take it apart to examine its workings fully,2.2842673802600433,-0.9981736540794373,0.9907127618789673,Negative,0.82,-0.82
17,5,"Twelve of this first edition were called Adam, thirteen were called Eve.",72,12,twelve of this first edition were called adam thirteen were called eve,0.40210559531948276,-0.9521657824516296,-0.9916577935218811,Negative,0.68,-0.68
18,5,"Corny, everyone agreed, but commercial.",39,5,corny everyone agreed but commercial,2.3029903730568604,-0.9993860125541687,0.9974385499954224,Negative,0.77,-0.77
19,5,"Notions of biological race being scientifically discredited, the twenty-five were designed to cover a range of ethnicities.",123,17,notions of biological race being scientifically discredited the twentyfive were designed to cover a range of ethnicities,3.26281406255533,0.9895970225334167,0.996147632598877,Positive,0.54,0.54
20,5,"There were rumours, then complaints, that the Arab could not be told apart from the Jew.",88,16,there were rumours then complaints that the arab could not be told apart from the jew,1.2394286133229324,-0.9977492094039917,-0.992850124835968,Negative,0.96,-0.96
21,5,Random programming as well as life experience would grant to all complete latitude in sexual preference.,104,16,random programming as well as life experience would grant to all complete latitude in sexual preference,4.26535037682324,0.9987564086914062,0.9863837361335754,Negative,0.65,-0.65
22,5,"By the end of the first week, all the Eves sold out.",52,12,by the end of the first week all the eves sold out,0.2728328943904298,-0.9994592070579529,-0.9989785552024841,Positive,0.53,0.53
23,5,"At a careless glance, I might have taken my Adam for a Turk or a Greek.",71,16,at a careless glance i might have taken my adam for a turk or a greek,1.2311446788761204,-0.9978638291358948,0.9946633577346802,Negative,0.88,-0.88
24,5,"He weighed 170 pounds, so I had to ask my upstairs neighbour, Miranda, to help me carry him in from the street on the disposable stretcher that came with the purchase.",167,31,he weighed  pounds so i had to ask my upstairs neighbour miranda to help me carry him in from the street on the disposable stretcher that came with the purchase,2.249538617931219,-0.9966893196105957,-0.9955040216445923,Negative,0.9,-0.9
25,5,"While his batteries began to charge, I made us coffee, then scrolled through the 470-page online handbook.",106,17,while his batteries began to charge i made us coffee then scrolled through the  online handbook,0.2881941139839422,-0.9833511114120483,-0.9908941388130188,Negative,0.72,-0.72
26,5,Its language was mostly clear and precise.,42,7,its language was mostly clear and precise,2.270938982153152,0.9988214373588562,0.9930008053779602,Positive,0.99,0.99
27,5,But Adam was created across different agencies and in places the instructions had the charm of a nonsense poem.,111,19,but adam was created across different agencies and in places the instructions had the charm of a nonsense poem,2.2893994274671923,-0.9951484799385071,-0.9847248792648315,Positive,0.5,0.5
28,5,"""Unreveal upside of B347k vest to gain carefree emoticon with motherboard output to attenuate mood-swing penumbra.""",115,16,unreveal upside of  vest to gain carefree emoticon with motherboard output to attenuate moodswing penumbra,3.3148771752244808,0.9981053471565247,0.9894495606422424,Negative,0.56,-0.56
29,6,"At last, with cardboard and polystyrene wrapping strewn around his ankles, he sat naked at my tiny dining table, eyes closed, a black power line trailing from the entry point in his umbilicus to a thirteen-amp socket in the wall.",229,40,at last with cardboard and polystyrene wrapping strewn around his ankles he sat naked at my tiny dining table eyes closed a black power line trailing from the entry point in his umbilicus to a thirteenamp socket in the wall,4.26071635736604,-0.9983679056167603,-0.9978511929512024,Negative,0.9,-0.9
30,6,It would take sixteen hours to fire him up.,43,9,it would take sixteen hours to fire him up,1.252418550216007,-0.9994875192642212,0.991780698299408,Negative,0.94,-0.94
31,6,Then sessions of download updates and personal preferences.,59,8,then sessions of download updates and personal preferences,3.223919435805985,0.9980467557907104,0.9978471398353577,Negative,0.68,-0.68
32,6,"I wanted him now, and so did Miranda.",37,8,i wanted him now and so did miranda,4.174114448224852,0.9984722137451172,0.9981938004493713,Positive,0.93,0.93
33,6,"Like eager young parents, we were avid for his first words.",59,11,like eager young parents we were avid for his first words,4.233471807792961,0.9982902407646179,0.988175094127655,Positive,0.97,0.97
34,6,There was no loudspeaker cheaply buried in his chest.,53,9,there was no loudspeaker cheaply buried in his chest,0.23380335741609767,-0.9987373352050781,0.9968070983886719,Negative,0.85,-0.85
35,6,"We knew from the excited publicity that he formed sounds with breath, tongue, teeth and palate.",95,16,we knew from the excited publicity that he formed sounds with breath tongue teeth and palate,1.248210691303923,0.9960584044456482,-0.9910323619842529,Positive,0.88,0.88
36,6,Already his lifelike skin was warm to the touch and as smooth as a child's.,75,15,already his lifelike skin was warm to the touch and as smooth as a childs,4.25663989041616,0.9984076619148254,0.9960811138153076,Positive,0.94,0.94
37,6,Miranda claimed to see his eyelashes flicker.,45,7,miranda claimed to see his eyelashes flicker,0.21771539719626556,-0.9896509647369385,0.9866255521774292,Positive,0.53,0.53
38,6,"I was certain she was seeing vibrations from the Tube trains rolling a hundred feet below us, but I said nothing.",113,21,i was certain she was seeing vibrations from the tube trains rolling a hundred feet below us but i said nothing,1.2233258620855458,-0.9994811415672302,-0.9990267157554626,Negative,0.93,-0.93
39,7,Adam was not a sex toy.,23,6,adam was not a sex toy,0.2224836880357417,-0.9994006752967834,0.9986642003059387,Negative,0.78,-0.78
40,7,"However, he was capable of sex and possessed functional mucous membranes, in the maintenance of which he consumed half a litre of water each day.",145,25,however he was capable of sex and possessed functional mucous membranes in the maintenance of which he consumed half a litre of water each day,2.255345914437522,0.9829490184783936,-0.9985439777374268,Negative,0.52,-0.52
41,7,"While he sat at the table, I observed that he was uncircumcised, fairly well endowed, with copious dark pubic hair.",115,20,while he sat at the table i observed that he was uncircumcised fairly well endowed with copious dark pubic hair,2.256881034774458,0.9940805435180664,-0.9994097352027893,Positive,0.92,0.92
42,7,This highly advanced model of artificial human was likely to reflect the appetites of its young creators of code.,113,19,this highly advanced model of artificial human was likely to reflect the appetites of its young creators of code,4.230574486786394,0.9866132736206055,-0.9965206384658813,Positive,0.97,0.97
43,7,"The Adams and Eves, it was thought, would be lively.",52,10,the adams and eves it was thought would be lively,2.290334377911617,0.9924913644790649,-0.9978446960449219,Positive,0.97,0.97
44,8,"He was advertised as a companion, an intellectual sparring partner, friend and factotum who could wash dishes, make beds and ""think.""",133,21,he was advertised as a companion an intellectual sparring partner friend and factotum who could wash dishes make beds and think,3.22867635739813,-0.9958458542823792,-0.9875612854957581,Positive,0.89,0.89
45,8,"Every moment of his existence, everything he heard and saw, he recorded and could retrieve.",91,15,every moment of his existence everything he heard and saw he recorded and could retrieve,4.302221614262715,0.997429609298706,-0.997329592704773,Positive,0.93,0.93
46,8,"He could not drive as yet and was not allowed to swim or shower or go out in the rain without an umbrella, or operate a chainsaw unsupervised.",142,28,he could not drive as yet and was not allowed to swim or shower or go out in the rain without an umbrella or operate a chainsaw unsupervised,0.27218589380768515,-0.9980628490447998,-0.9975227117538452,Negative,0.95,-0.95
47,8,"As for range, thanks to breakthroughs in electrical storage, he could run seventeen kilometres in two hours without a charge or, its energy equivalent, converse non-stop for twelve days.",186,29,as for range thanks to breakthroughs in electrical storage he could run seventeen kilometres in two hours without a charge or its energy equivalent converse nonstop for twelve days,3.2187657720356353,0.9980108141899109,-0.99944669008255,Negative,0.65,-0.65
48,8,He had a working life of twenty years.,38,8,he had a working life of twenty years,4.273071100711406,0.9975366592407227,0.9954354166984558,Positive,0.78,0.78
49,8,"He was compactly built, square-shouldered, dark-skinned, with thick black hair swept back; narrow in the face, with a hint of hooked nose suggestive of fierce intelligence, pensively hooded eyes, tight lips that, even as we watched, were draining of their deathly yellowish-white tint and acquiring rich human colour, perhaps even relaxing a little at the corners.",364,56,he was compactly built squareshouldered darkskinned with thick black hair swept back narrow in the face with a hint of hooked nose suggestive of fierce intelligence pensively hooded eyes tight lips that even as we watched were draining of their deathly yellowishwhite tint and acquiring rich human colour perhaps even relaxing a little at the corners,3.29804960075261,0.9902626276016235,-0.9994359612464905,Positive,0.95,0.95
50,8,"Miranda said he resembled ""a docker from the Bosphorus.""",56,9,miranda said he resembled a docker from the bosphorus,2.3093601964565824,-0.9985821843147278,-0.9905120730400085,Negative,0.8,-0.8
51,9,"Before us sat the ultimate plaything, the dream of ages, the triumph of humanism--or its angel of death.",104,18,before us sat the ultimate plaything the dream of ages the triumph of humanismor its angel of death,4.341008272579411,0.9958436489105225,0.9917053580284119,Positive,0.98,0.98
52,9,"Exciting beyond measure, but frustrating too.",45,6,exciting beyond measure but frustrating too,2.3111228933265258,0.9956653714179993,0.9976782202720642,Negative,0.52,-0.52
53,9,Sixteen hours was a long time to be waiting and watching.,57,11,sixteen hours was a long time to be waiting and watching,4.279366384817536,-0.9995012283325195,0.9981143474578857,Negative,0.65,-0.65
54,9,"I thought that for the sum I would handed over after lunch, Adam should have been charged up and ready to go.",109,22,i thought that for the sum i would handed over after lunch adam should have been charged up and ready to go,2.247366865003483,-0.9970726370811462,-0.9974106550216675,Negative,0.97,-0.97
55,9,It was a wintry late afternoon.,31,6,it was a wintry late afternoon,3.2631418582132787,0.9977600574493408,-0.9572882056236267,Positive,0.9,0.9
56,9,I made toast and we drank more coffee.,38,8,i made toast and we drank more coffee,4.414901034645691,0.9986709356307983,0.9169730544090271,Positive,0.66,0.66
57,9,"Miranda, a doctoral scholar of social history, said she wished the teenage Mary Shelley was here beside us, observing closely, not a monster like Frankenstein's, but this handsome dark-skinned young man coming to life.",218,34,miranda a doctoral scholar of social history said she wished the teenage mary shelley was here beside us observing closely not a monster like frankensteins but this handsome darkskinned young man coming to life,3.2458417956604255,0.9980342388153076,-0.9991135597229004,Positive,0.93,0.93
58,9,I said that what both creatures shared was a hunger for the animating force of electricity.,91,16,i said that what both creatures shared was a hunger for the animating force of electricity,1.2459397513256119,0.9982532858848572,0.7887983322143555,Positive,0.69,0.69
59,10,"""We share it too.""",18,4,we share it too,4.252707238389493,0.9983993768692017,-0.9966362714767456,Positive,0.99,0.99
