"element_id","sentence_id","word_count","jockers_rinker","jockers","huliu","senticnet","sentiword","nrc","lmcd"
1,1,17,0.169774937525433,0.169774937525433,0.242535625036333,0.595849396808011,0.151584765647708,0,0.242535625036333
2,1,7,0,0,0,0.226022754859518,0.0944911182523068,0,0
3,1,1,0,0,0,0.105,0,0,0
4,1,13,0.346687622640768,0.346687622640768,0.277350098112615,0.962959540646998,0.0693375245281536,0.832050294337844,0
5,1,19,-0.195003373789978,-0.195003373789978,-0.412948320967011,0.297414557389796,0.0487508434474944,0.229415733870562,0
6,1,19,0.633669198523879,0.633669198523879,0.745601135079326,0.0641932753257896,-0.182959047761773,-0.000229415733870562,0
7,1,19,-0.137649440322337,-0.137649440322337,0,-0.149808474217477,-0.281990172882566,0,0
8,1,24,0.898146239020499,0.898146239020499,1.71464281994822,1.16199710914729,0.255155181539914,1.1839200423452,0.571547606649408
9,1,58,-0.160745335106872,-0.160745335106872,-0.590878947868752,-0.27355436815678,0.110204394878891,-0.853229200722477,-0.755011988943405
10,1,17,0.278915968791783,0.278915968791783,0.242535625036333,0.420314238187965,-0.0909508593886249,0.485071250072666,0
11,1,20,-0.475164445218705,-0.475164445218705,-0.726722092687432,-0.488916263280329,-0.146741961023424,-0.223606797749979,-0.223606797749979
12,1,50,-0.0141421356237309,-0.0141421356237309,-0.282842712474619,0.302754839432832,-0.0936916485072176,-0.14142135623731,0
13,1,30,0.0912870929175277,0.0912870929175277,-0.182574185835055,0.0073029674334022,0,0.182574185835055,0
14,1,33,0.233264058980635,0.233264058980635,0.174077655955698,0.244370213430609,0.198738657216088,0,-0.174077655955698
15,1,3,0,0,0,0.488438327734423,0,0,0
16,1,15,-0.193649167310371,-0.193649167310371,-0.258198889747161,-0.28737536428859,0.0387298334620742,-0.258198889747161,0
17,1,32,0.594411637934941,0.594411637934941,0.176776695296637,0.503636804900118,-0.290944977675715,0.751300955010707,0.220970869120796
18,1,15,0.103279555898864,0.103279555898864,0,0.0387298334620742,0.0403435765229939,0.258198889747161,0
19,1,12,0,0,0,0.00490747728811181,0.108253175473055,0,0
20,1,5,0.223606797749979,0.223606797749979,0,0.325571497523969,-0.754672942406179,0.447213595499958,0
21,1,18,-0.188561808316413,-0.188561808316413,0,0.387494516090228,-0.117851130197758,0,-0.235702260395516
