,sent_raw
0,"He--for there could be no doubt of his sex, though the fashion of the time did something to disguise it--was in the act of slicing at the head of a Moor which swung from the rafters."
1,"It was the colour of an old football, and more or less the shape of one, save for the sunken cheeks and a strand or two of coarse, dry hair, like the hair on a cocoanut."
2,"Orlando's father, or perhaps his grandfather, had struck it from the shoulders of a vast Pagan who had started up under the moon in the barbarian fields of Africa; and now it swung, gently, perpetually, in the breeze which never ceased blowing through the attic rooms of the gigantic house of the lord who had slain him."
3,"Orlando's fathers had ridden in fields of asphodel, and stony fields, and fields watered by strange rivers, and they had struck many heads of many colours off many shoulders, and brought them back to hang from the rafters."
4,"So too would Orlando, he vowed."
5,"But since he was sixteen only, and too young to ride with them in Africa or France, he would steal away from his mother and the peacocks in the garden and go to his attic room and there lunge and plunge and slice the air with his blade."
6,"Sometimes he cut the cord so that the skull bumped on the floor and he had to string it up again, fastening it with some chivalry almost out of reach so that his enemy grinned at him through shrunk, black lips triumphantly."
7,"The skull swung to and fro, for the house, at the top of which he lived, was so vast that there seemed trapped in it the wind itself, blowing this way, blowing that way, winter and summer."
8,The green arras with the hunters on it moved perpetually.
9,His fathers had been noble since they had been at all.
10,They came out of the northern mists wearing coronets on their heads.
11,"Were not the bars of darkness in the room, and the yellow pools which chequered the floor, made by the sun falling through the stained glass of a vast coat of arms in the window?"
12,Orlando stood now in the midst of the yellow body of an heraldic leopard.
13,"When he put his hand on the window-sill to push the window open, it was instantly coloured red, blue, and yellow like a butterfly's wing."
14,"Thus, those who like symbols, and have a turn for the deciphering of them, might observe that though the shapely legs, the handsome body, and the well-set shoulders were all of them decorated with various tints of heraldic light, Orlando's face, as he threw the window open, was lit solely by the sun itself."
15,"A more candid, sullen face it would be impossible to find."
16,"Happy the mother who bears, happier still the biographer who records the life of such a one!"
17,"Never need she vex herself, nor he invoke the help of novelist or poet."
18,"From deed to deed, from glory to glory, from office to office he must go, his scribe following after, till they reach whatever seat it may be that is the height of their desire."
19,"Orlando, to look at, was cut out precisely for some such career."
20,The red of the cheeks was covered with peach down; the down on the lips was only a little thicker than the down on the cheeks.
21,The lips themselves were short and slightly drawn back over teeth of an exquisite and almond whiteness.
22,"Nothing disturbed the arrowy nose in its short, tense flight; the hair was dark, the ears small, and fitted closely to the head."
23,"But, alas, that these catalogues of youthful beauty cannot end without mentioning forehead and eyes."
24,"Alas, that people are seldom born devoid of all three; for directly we glance at Orlando standing by the window, we must admit that he had eyes like drenched violets, so large that the water seemed to have brimmed in them and widened them; and a brow like the swelling of a marble dome pressed between the two blank medallions which were his temples."
25,"Directly we glance at eyes and forehead, thus do we rhapsodize."
26,"Directly we glance at eyes and forehead, we have to admit a thousand disagreeables which it is the aim of every good biographer to ignore."
27,"Sights disturbed him, like that of his mother, a very beautiful lady in green walking out to feed the peacocks with Twitchett, her maid, behind her; sights exalted him--the birds and the trees; and made him in love with death--the evening sky, the homing rooks; and so, mounting up the spiral stairway into his brain--which was a roomy one--all these sights, and the garden sounds too, the hammer beating, the wood chopping, began that riot and confusion of the passions and emotions which every good biographer detests, But to continue--Orlando slowly drew in his head, sat down at the table, and, with the half-conscious air of one doing what they do every day of their lives at this hour, took out a writing book labelled 'Aethelbert: A Tragedy in Five Acts,' and dipped an old stained goose quill in the ink."
28,Soon he had covered ten pages and more with poetry.
29,"He was fluent, evidently, but he was abstract."
30,"Vice, Crime, Misery were the personages of his drama; there were Kings and Queens of impossible territories; horrid plots confounded them; noble sentiments suffused them; there was never a word said as he himself would have said it, but all was turned with a fluency and sweetness which, considering his age--he was not yet seventeen--and that the sixteenth century had still some years of its course to run, were remarkable enough."
31,"At last, however, he came to a halt."
32,"He was describing, as all young poets are for ever describing, nature, and in order to match the shade of green precisely he looked (and here he showed more audacity than most) at the thing itself, which happened to be a laurel bush growing beneath the window."
33,"After that, of course, he could write no more."
34,"Green in nature is one thing, green in literature another."
35,Nature and letters seem to have a natural antipathy; bring them together and they tear each other to pieces.
36,The shade of green Orlando now saw spoilt his rhyme and split his metre.
37,"Moreover, nature has tricks of her own."
38,"Once look out of a window at bees among flowers, at a yawning dog, at the sun setting, once think 'how many more suns shall I see set', etc. etc. (the thought is too well known to be worth writing out) and one drops the pen, takes one's cloak, strides out of the room, and catches one's foot on a painted chest as one does so."
39,For Orlando was a trifle clumsy.
40,He was careful to avoid meeting anyone.
41,"There was Stubbs, the gardener, coming along the path."
42,He hid behind a tree till he had passed.
43,He let himself out at a little gate in the garden wall.
44,"He skirted all stables, kennels, breweries, carpenters' shops, washhouses, places where they make tallow candles, kill oxen, forge horse-shoes, stitch jerkins--for the house was a town ringing with men at work at their various crafts--and gained the ferny path leading uphill through the park unseen."
45,There is perhaps a kinship among qualities; one draws another along with it; and the biographer should here call attention to the fact that this clumsiness is often mated with a love of solitude.
46,"Having stumbled over a chest, Orlando naturally loved solitary places, vast views, and to feel himself for ever and ever and ever alone."
47,"So, after a long silence, 'I am alone', he breathed at last, opening his lips for the first time in this record."
48,"He had walked very quickly uphill through ferns and hawthorn bushes, startling deer and wild birds, to a place crowned by a single oak tree."
49,"It was very high, so high indeed that nineteen English counties could be seen beneath; and on clear days thirty or perhaps forty, if the weather was very fine."
50,"Sometimes one could see the English Channel, wave reiterating upon wave."
