,model,type,sent_no,sent_raw,sentiment,sentiment100,token_len,sent_raw_abbr
0,baseline_vader,peak,150,"It may have been Doris, Chloris, Delia, or Diana, for he made rhymes to them all in turn; equally, she may have been a court lady, or some serving maid.",0.08968703116300582,33,30,"It may have been Doris, Chloris, Delia, or Diana, for he made rhymes to them all in turn; equally, s"
57,baseline_flair,peak,151,For Orlando's taste was broad; he was no lover of garden flowers only; the wild and the weeds even had always a fascination for him.,-0.0015355095949905594,32,25,For Orlando's taste was broad; he was no lover of garden flowers only; the wild and the weeds even h
238,transformer_huggingface,peak,151,For Orlando's taste was broad; he was no lover of garden flowers only; the wild and the weeds even had always a fascination for him.,0.2474864231029831,35,25,For Orlando's taste was broad; he was no lover of garden flowers only; the wild and the weeds even h
101,baseline_stanza,valley,157,"Hence, he began going frequently to Wapping Old Stairs and the beer gardens at night, wrapped in a grey cloak to hide the star at his neck and the garter at his knee.",-0.04066783661340657,32,33,"Hence, he began going frequently to Wapping Old Stairs and the beer gardens at night, wrapped in a g"
224,transformer_roberta15lg,valley,157,"Hence, he began going frequently to Wapping Old Stairs and the beer gardens at night, wrapped in a grey cloak to hide the star at his neck and the garter at his knee.",0.5203607148618021,38,33,"Hence, he began going frequently to Wapping Old Stairs and the beer gardens at night, wrapped in a g"
132,sentimentr_jockers,valley,159,"Especially he loved to hear them volley forth their songs of 'the Azores, while the parrakeets, which they had brought from those parts, pecked at the rings in their ears, tapped with their hard acquisitive beaks at the rubies on their fingers, and swore as vilely as their masters.",0.1382840573870532,34,49,"Especially he loved to hear them volley forth their songs of 'the Azores, while the parrakeets, whic"
163,sentimentr_jockers,valley,179,"They had none of our modern shame of book learning; none of our belief that to be born the son of a butcher is a blessing and to be unable to read a virtue; no fancy that what we call 'life' and 'reality' are somehow connected with ignorance and brutality; nor, indeed, any equivalent for these two words at all.",0.08202568824643458,33,60,They had none of our modern shame of book learning; none of our belief that to be born the son of a 
194,syuzhetr_syuzhet,valley,179,"They had none of our modern shame of book learning; none of our belief that to be born the son of a butcher is a blessing and to be unable to read a virtue; no fancy that what we call 'life' and 'reality' are somehow connected with ignorance and brutality; nor, indeed, any equivalent for these two words at all.",0.5092185260273892,37,60,They had none of our modern shame of book learning; none of our belief that to be born the son of a 
116,sentimentr_jockers,peak,186,"The names of three at least were freely coupled with his in marriage--Clorinda, Favilla, Euphrosyne--so he called them in his sonnets.",0.4914813466405336,37,21,"The names of three at least were freely coupled with his in marriage--Clorinda, Favilla, Euphrosyne-"
147,sentimentr_jockers,peak,186,"The names of three at least were freely coupled with his in marriage--Clorinda, Favilla, Euphrosyne--so he called them in his sonnets.",0.2305545132430406,35,21,"The names of three at least were freely coupled with his in marriage--Clorinda, Favilla, Euphrosyne-"
178,syuzhetr_syuzhet,peak,203,At Norwich a young countrywoman started to cross the road in her usual robust health and was seen by the onlookers to turn visibly to powder and be blown in a puff of dust over the roofs as the icy blast struck her at the street corner.,0.6910321698935873,39,47,At Norwich a young countrywoman started to cross the road in her usual robust health and was seen by
43,baseline_textblob,valley,205,Corpses froze and could not be drawn from the sheets.,-0.026340567999446344,32,10,Corpses froze and could not be drawn from the sheets.
17,baseline_vader,valley,225,"The old bumboat woman, who was carrying her fruit to market on the Surrey side, sat there in her plaids and farthingales with her lap full of apples, for all the world as if she were about to serve a customer, though a certain blueness about the lips hinted the truth.",-0.006599226164246469,32,51,"The old bumboat woman, who was carrying her fruit to market on the Surrey side, sat there in her pla"
86,baseline_stanza,peak,230,"Orlando, it is true, was none of those who tread lightly the corantoe and lavolta; he was clumsy and a little absentminded.",0.03021086465463832,33,22,"Orlando, it is true, was none of those who tread lightly the corantoe and lavolta; he was clumsy and"
208,transformer_roberta15lg,peak,248,In their great beards and furred hats they sat almost silent; drinking some black liquid which they spat out now and then upon the ice.,1.0441225499166629,43,25,In their great beards and furred hats they sat almost silent; drinking some black liquid which they 
