,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
0,0,"And how shall I call upon my God, my God and Lord, since, when I call for Him, I shall be calling Him to myself?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,"and what room is there within me, whither my God can come into me?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,"whither can God come into me, God who made heaven and earth?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,"is there, indeed, O Lord my God, aught in me that can contain Thee?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"do then heaven and earth, which Thou hast made, and wherein Thou hast made me, contain Thee?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,"or, because nothing which exists could exist without Thee, doth therefore whatever exists contain Thee?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,"Since, then, I too exist, why do I seek that Thou shouldest enter into me, who were not, wert Thou not in me?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Why?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,"because I am not gone down in hell, and yet Thou art there also.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,"For if I go down into hell, Thou art there.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
