,sent_no,sent_raw,jockers_rinker,jockers,huliu,lmcd,nrc,senticnet,sentiword,sent_clean,char_len,token_len,jockers_rinker_medianiqr,jockers_rinker_lnorm_medianiqr,jockers_medianiqr,jockers_lnorm_medianiqr,huliu_medianiqr,huliu_lnorm_medianiqr,lmcd_medianiqr,lmcd_lnorm_medianiqr,nrc_medianiqr,nrc_lnorm_medianiqr,senticnet_medianiqr,senticnet_lnorm_medianiqr,sentiword_medianiqr,sentiword_lnorm_medianiqr,jockers_rinker_roll100,jockers_roll100,huliu_roll100,senticnet_roll100,sentiword_roll100,nrc_roll100,lmcd_roll100,mean_roll100,jockers_rinker_roll100_stand,jockers_roll100_stand,huliu_roll100_stand,senticnet_roll100_stand,sentiword_roll100_stand,nrc_roll100_stand,lmcd_roll100_stand
0,1,"BOOK I  Great art Thou, O Lord, and greatly to be praised; great is Thy power, and Thy wisdom infinite.",0.760263112349928,0.760263112349928,0.670820393249937,0.4472135954999579,1.0733126291999,0.650248567856939,0.111803398874989,book i  great art thou o lord and greatly to be praised great is thy power and thy wisdom infinite,98,20,2.3806039828317567,3.6366735807923716,2.5308382384540193,3.9117883388851644,1.9357080676466338,3.9960380855296016,0.4472135954999579,0.02234950502248665,3.1841443921725796,4.630541367719709,1.105153922412769,1.6033260142840247,0.4499898980647417,0.673397369657033,,,,,,,,,,,,,,,
1,2,"And Thee would man praise; man, but a particle of Thy creation; man, that bears about him his mortality, the witness of his sin, the witness that Thou resistest the proud: yet would man praise Thee; he, but a particle of Thy creation.",0.15249857033260503,0.15249857033260503,0.304997140665209,0.0,0.15249857033260503,0.19756189786588896,0.0190623212915756,and thee would man praise man but a particle of thy creation man that bears about him his mortality the witness of his sin the witness that thou resistest the proud yet would man praise thee he but a particle of thy creation,224,43,0.4322131231141456,0.301521817863042,0.4551079210645821,0.3180900270583101,0.880094630001554,0.8452725698882221,0.0,0.0,0.4524100940663237,0.3060898631102694,0.08806284587498592,-0.03719180409433912,0.015524221668070928,-0.0012969443304333974,,,,,,,,,,,,,,,
2,3,"Thou awakest us to delight in Thy praise; for Thou madest us for Thyself, and our heart is restless, until it repose in Thee.",0.41845449772546,0.41845449772546,0.20412414523193198,0.20412414523193198,0.612372435695795,0.8405832300650941,-0.0255155181539914,thou awakest us to delight in thy praise for thou madest us for thyself and our heart is restless until it repose in thee,121,24,1.2848230767978033,1.6455822708165146,1.363441236704174,1.7663442967619825,0.5890172074415553,1.0133807951290539,0.20412414523193198,0.008501630372008828,1.8166955311942685,2.2017909955410846,1.5327955989206616,1.7511068358130617,-0.19331032793699335,-0.19880778863345777,,,,,,,,,,,,,,,
3,4,"Grant me, Lord, to know and understand which is first, to call on Thee or to praise Thee?",0.5303300858899109,0.29462782549439503,0.471404520791032,0.0,0.471404520791032,0.45066272187622597,0.26516504294495497,grant me lord to know and understand which is first to call on thee or to praise thee,85,18,1.643477388353437,2.8091196984073963,0.9405294676195269,1.654802520254493,1.3602769730948123,3.1199704504993053,0.0,0.0,1.3984928719608012,2.2596056281057404,0.6567267952030349,1.1639425451416414,1.168445755602459,1.8716269771902527,,,,,,,,,,,,,,,
4,5,"and, again, to know Thee or to call on Thee?",0.0,0.0,0.0,0.0,0.0,0.0866464078886136,0.11858541225631401,and again to know thee or to call on thee,41,10,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,-0.16114077018893103,0.20166433794065733,0.48176170951903985,1.4943513498293106,,,,,,,,,,,,,,,
5,6,"for who can call on Thee, not knowing Thee?",-0.2,-0.2,0.0,0.0,-0.33333333333333304,0.4426666666666671,0.0625,for who can call on thee not knowing thee,41,9,-0.6978379822364478,-2.190822039146612,-0.7487990506174971,-2.3674644988205213,0.0,0.0,0.0,0.0,-0.9888837932045311,-3.193791581416181,0.6387613525684935,2.581330682084373,0.21901744120914013,0.8503755949715237,,,,,,,,,,,,,,,
6,7,"for he that knoweth Thee not, may call on Thee as other than Thou art.",0.154919333848297,0.154919333848297,0.0,0.0,0.258198889747161,-0.3302363799866189,0.145236875482778,for he that knoweth thee not may call on thee as other than thou art,68,15,0.4399736836296646,0.9574880980935635,0.463375682464537,1.0249079116541415,0.0,0.0,0.0,0.0,0.7659860924831139,1.4849994599707093,-1.0977881062336958,-1.600789364523205,0.6066162647966851,1.2096503775470817,,,,,,,,,,,,,,,
7,8,"Or, is it rather, that we call on Thee that we may know Thee?",0.0,0.0,0.0,0.0,0.0,-0.18040133829088603,0.033407655239052994,or is it rather that we call on thee that we may know thee,58,14,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,-0.7611404999226693,-1.0643242799551267,0.08272804740560552,0.2533250205330246,,,,,,,,,,,,,,,
8,9,but how shall they call on Him in whom they have not believed?,0.0,0.0,0.0,0.0,0.0,-0.16842084707888502,0.255682121697567,but how shall they call on him in whom they have not believed,61,13,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,-0.734222873422851,-1.0683739793443483,1.12402095592017,2.518169311017743,,,,,,,,,,,,,,,
9,10,or how shall they believe without a preacher?,0.0,0.0,0.0,0.0,0.0,0.182433549546129,0.058925565098879,or how shall they believe without a preacher,44,8,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,0.05407265111381165,1.0318210103394145,0.20227222627830618,0.905430496201929,,,,,,,,,,,,,,,
10,11,"and they that seek the Lord shall praise Him: for they that seek shall find Him, and they that find shall praise Him.",0.312771621085612,0.312771621085612,0.41702882811415004,0.0,0.41702882811415004,0.03065161886639,0.0521286035142687,and they that seek the lord shall praise him for they that seek shall find him and they that find shall praise him,114,23,0.9460215564092141,1.2742474853123045,1.0024969303086098,1.3662230169384282,1.2033713869533695,2.160329069118997,0.0,0.0,1.2371791482634844,1.5645954987684292,-0.2869492024280456,-0.2289365261485896,0.17043038672620622,0.23770659797016946,,,,,,,,,,,,,,,
11,12,"I will seek Thee, Lord, by calling on Thee; and will call on Thee, believing in Thee; for to us hast Thou been preached.",0.163299316185545,0.163299316185545,0.0,0.0,0.20412414523193198,0.268219126834758,-0.0382732772309872,i will seek thee lord by calling on thee and will call on thee believing in thee for to us hast thou been preached,114,24,0.46683849699356045,0.6167194890356736,0.49199627842572397,0.6577223494537224,0.0,0.0,0.0,0.0,0.6055651770647571,0.7339303318470293,0.24681467543193863,0.34954063721823886,-0.25307681514119285,-0.26849835820391615,,,,,,,,,,,,,,,
12,13,"My faith, Lord, shall call on Thee, which Thou hast given me, wherewith Thou hast inspired me, through the Incarnation of Thy Son, through the ministry of the Preacher.",0.278543007265578,0.0928476690885259,0.185695338177052,0.0,0.557086014531156,0.292841548305211,0.127665544996723,my faith lord shall call on thee which thou hast given me wherewith thou hast inspired me through the incarnation of thy son through the ministry of the preacher,161,29,0.8362903797821688,0.8878336984103031,0.25137904974716135,0.28208746421132275,0.5358393511149018,0.7629985677968278,0.0,0.0,1.6526799935722938,1.657780948939198,0.3021360418880023,0.28624068348496645,0.5242995591497509,0.5177619604502408,,,,,,,,,,,,,,,
13,14,"And how shall I call upon my God, my God and Lord, since, when I call for Him, I shall be calling Him to myself?",0.0,0.0,0.0,0.0,0.4,0.41200000000000003,0.025,and how shall i call upon my god my god and lord since when i call for him i shall be calling him to myself,107,25,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,1.1866605518454385,1.3806987036494116,0.5698598472194571,0.661282473058726,0.04334056436649884,0.07167800020951683,,,,,,,,,,,,,,,
14,15,"and what room is there within me, whither my God can come into me?",0.0,0.0,0.0,0.0,0.26726124191242395,0.215145299739502,0.10022296571715898,and what room is there within me whither my god can come into me,64,14,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.7928709320367355,1.6468364255188845,0.127569026035279,0.595617855272208,0.39573884927400726,0.8788283605841579,,,,,,,,,,,,,,,
15,16,"whither can God come into me, God who made heaven and earth?",0.23094010767585002,0.23094010767585002,0.288675134594813,0.0,0.577350269189626,0.43589945323816703,0.0721687836487032,whither can god come into me god who made heaven and earth,58,12,0.6836834933244235,1.8199125136953471,0.7230134435973007,1.954188911959873,0.8329961232349726,2.8650804423248686,0.0,0.0,1.712796972611685,4.150008466533326,0.6235568571693023,1.8266568961839942,0.26431295358971013,0.7287038888027771,,,,,,,,,,,,,,,
16,17,"is there, indeed, O Lord my God, aught in me that can contain Thee?",0.0,0.0,0.0,0.0,0.26726124191242395,0.210869119868903,0.0668153104781061,is there indeed o lord my god aught in me that can contain thee,63,14,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.7928709320367355,1.6468364255188845,0.1179613554843818,0.5776725348913712,0.23923344833980692,0.5660766905585923,,,,,,,,,,,,,,,
17,18,"do then heaven and earth, which Thou hast made, and wherein Thou hast made me, contain Thee?",0.19402850002906602,0.19402850002906602,0.24253562503633302,0.0,0.0,0.18990539440344897,0.303169531295416,do then heaven and earth which thou hast made and wherein thou hast made me contain thee,88,17,0.5653510899272758,1.062596551847966,0.5969472818536472,1.1381645487326777,0.6998567288630843,1.6995802518918286,0.0,0.0,0.0,0.0,0.07086030410523973,0.3491406016999216,1.3464860174534332,2.278188516580546,,,,,,,,,,,,,,,
18,19,"or, because nothing which exists could exist without Thee, doth therefore whatever exists contain Thee?",0.0,0.0,0.0,0.0,0.0,0.12755025153509802,0.0645497224367903,or because nothing which exists could exist without thee doth therefore whatever exists contain thee,100,15,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,-0.06923849621704992,0.19235724991201306,0.22861981017152969,0.5046075847472915,,,,,,,,,,,,,,,
19,20,"Since, then, I too exist, why do I seek that Thou shouldest enter into me, who were not, wert Thou not in me?",0.0,0.0,0.0,0.0,0.0,0.0498349449596409,0.078192905271403,since then i too exist why do i seek that thou shouldest enter into me who were not wert thou not in me,103,23,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,-0.24384833138153203,-0.1799202089915716,0.29253425685360684,0.386273221701525,,,,,,,,,,,,,,,
20,21,Why?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,why,3,1,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,-0.35581689855671406,-0.3072560763886074,-0.07377735352859535,-0.05942664949254208,,,,,,,,,,,,,,,
21,22,"because I am not gone down in hell, and yet Thou art there also.",0.374165738677394,0.374165738677394,0.26726124191242395,0.0,0.534522483824849,0.13229431474665,0.32015669604092495,because i am not gone down in hell and yet thou art there also,62,14,1.142840767281912,2.543905467596766,1.2121795004230764,2.7343070118705177,0.7712045539235495,2.273883955906123,0.0,0.0,1.5857418640734744,3.2936728510377766,-0.05857959088834634,0.2479272728935077,1.4260660720908314,2.9377768549191425,,,,,,,,,,,,,,,
22,23,"For if I go down into hell, Thou art there.",-0.0632455532033676,-0.0632455532033676,-0.31622776601683805,0.0,0.0,-0.0834841302284453,-0.131761569173682,for if i go down into hell thou art there,41,10,-0.25942623600347603,-0.6534564419474634,-0.28173437074760804,-0.7109197464273953,-0.9125015340202955,-3.765618968993366,0.0,0.0,0.0,0.0,-0.543388058735892,-0.7976027529686295,-0.6910429791370778,-1.785846648739042,,,,,,,,,,,,,,,
23,24,"I could not be then, O my God, could not be at all, wert Thou not in me; or, rather, unless I were in Thee, of whom are all things, by whom are all things, in whom are all things?",0.0,0.0,0.0,0.0,0.15811388300841903,0.279861572924902,0.0,i could not be then o my god could not be at all wert thou not in me or rather unless i were in thee of whom are all things by whom are all things in whom are all things,169,40,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.46906876916298906,0.3411568300925056,0.27297278613484877,0.10399600224144441,-0.07377735352859535,-0.05942664949254208,,,,,,,,,,,,,,,
24,25,"Even so, Lord, even so.",0.0,0.0,0.0,0.0,0.0,0.0456157867409957,-0.335410196624968,even so lord even so,20,5,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,-0.25332788635665404,0.22806067095640747,-1.6450791083086114,-8.840150375949456,,,,,,,,,,,,,,,
25,26,"Whither do I call Thee, since I am in Thee?",0.0,0.0,0.0,0.0,0.0,0.20712918674102898,0.0592927061281571,whither do i call thee since i am in thee,41,10,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,0.10955851779692811,0.9093237461868257,0.20399217799522268,0.7174623501683854,,,,,,,,,,,,,,,
26,27,or whence canst Thou enter into me?,0.0,0.0,0.0,0.0,0.0,-0.31371051259765903,0.0,or whence canst thou enter into me,34,7,-0.056671634081153,-0.04175269130406216,-0.06572849487248188,-0.0517956968235612,0.0,0.0,0.0,0.0,0.0,0.0,-1.060657982093548,-2.9383990094007673,-0.07377735352859535,-0.05942664949254208,,,,,,,,,,,,,,,
27,28,"for whither can I go beyond heaven and earth, that thence my God should come into me, who hath said, I fill the heaven and the earth.",0.3079201435678,0.3079201435678,0.384900179459751,0.0,0.19245008972987498,0.33717255720674105,-0.0160375074774896,for whither can i go beyond heaven and earth that thence my god should come into me who hath said i fill the heaven and the earth,129,27,0.930468535792949,1.061966874883419,0.9859274230872282,1.1374860581555348,1.1106614976466314,1.698611186588755,0.0,0.0,0.570932324203894,0.6151006008029762,0.40173843037572765,0.42668470902315386,-0.1489085328882188,-0.13730272637704397,,,,,,,,,,,,,,,
28,29,"Do the heaven and earth then contain Thee, since Thou fillest them?",0.23094010767585002,0.23094010767585002,0.288675134594813,0.0,0.0,0.226032630387739,0.21650635094611,do the heaven and earth then contain thee since thou fillest them,65,12,0.6836834933244235,1.8199125136953471,0.7230134435973007,1.954188911959873,0.8329961232349726,2.8650804423248686,0.0,0.0,0.0,0.0,0.1520305522601557,0.7992696570712285,0.940493567826323,2.3049649653934203,,,,,,,,,,,,,,,
