,sent_no,sent_raw,syuzhet,bing,afinn,nrc,char_len,token_len,sent_clean,syuzhet_medianiqr,syuzhet_lnorm_medianiqr,bing_medianiqr,bing_lnorm_medianiqr,afinn_medianiqr,afinn_lnorm_medianiqr,nrc_medianiqr,nrc_lnorm_medianiqr,syuzhet_roll100,bing_roll100,afinn_roll100,nrc_roll100,mean_roll100,nrc_roll100_stand
0,1,"BOOK I  Great art Thou, O Lord, and greatly to be praised; great is Thy power, and Thy wisdom infinite.",2.7,2,7,4,103,20,book i  great art thou o lord and greatly to be praised great is thy power and thy wisdom infinite,1.9600000000000002,2.7367737590794015,1.0,1.9948272158909959,3.5,4.199650174912543,2.0,3.3488255872063966,,,,,,
1,2,"And Thee would man praise; man, but a particle of Thy creation; man, that bears about him his mortality, the witness of his sin, the witness that Thou resistest the proud: yet would man praise Thee; he, but a particle of Thy creation.",0.25,1,3,0,234,43,and thee would man praise man but a particle of thy creation man that bears about him his mortality the witness of his sin the witness that thou resistest the proud yet would man praise thee he but a particle of thy creation,0.0,0.0,0.5,0.4640373470120766,1.5,0.8373634038595676,0.0,0.0,,,,,,
2,3,"Thou awakest us to delight in Thy praise; for Thou madest us for Thyself, and our heart is restless, until it repose in Thee.",2.05,1,4,3,125,24,thou awakest us to delight in thy praise for thou madest us for thyself and our heart is restless until it repose in thee,1.44,1.686501461823653,0.5,0.831247242606806,2.0,2.0,1.5,2.0931903373594336,,,,,,
3,4,"Grant me, Lord, to know and understand which is first, to call on Thee or to praise Thee?",1.25,1,4,2,89,18,grant me lord to know and understand which is first to call on thee or to praise thee,0.8,1.3478974772872871,0.5,1.108175807606297,2.0,2.6662965019433646,1.0,1.8603553581343697,,,,,,
4,5,"and, again, to know Thee or to call on Thee?",0.0,0,0,0,44,10,and again to know thee or to call on thee,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
5,6,"for who can call on Thee, not knowing Thee?",0.6,0,0,1,43,9,for who can call on thee not knowing thee,0.27999999999999997,1.2882698008110784,0.0,0.0,0.0,0.0,0.5,1.8593229744728081,,,,,,
6,7,"for he that knoweth Thee not, may call on Thee as other than Thou art.",0.6,0,0,1,70,15,for he that knoweth thee not may call on thee as other than thou art,0.27999999999999997,0.7240574017734921,0.0,0.0,0.0,0.0,0.5,1.116089273817455,,,,,,
7,8,"Or, is it rather, that we call on Thee that we may know Thee?",0.0,0,0,0,61,14,or is it rather that we call on thee that we may know thee,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
8,9,but how shall they call on Him in whom they have not believed?,0.0,0,0,0,62,13,but how shall they call on him in whom they have not believed,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
9,10,or how shall they believe without a preacher?,0.0,0,0,0,45,8,or how shall they believe without a preacher,-0.2,-0.1232015507812832,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
10,11,"and they that seek the Lord shall praise Him: for they that seek shall find Him, and they that find shall praise Him.",0.75,1,3,1,117,23,and they that seek the lord shall praise him for they that seek shall find him and they that find shall praise him,0.4,0.5676587750470077,0.5,0.867372720338523,1.5,1.5651890482398958,0.5,0.7280530204259018,,,,,,
11,12,"I will seek Thee, Lord, by calling on Thee; and will call on Thee, believing in Thee; for to us hast Thou been preached.",0.8,0,0,1,120,24,i will seek thee lord by calling on thee and will call on thee believing in thee for to us hast thou been preached,0.44000000000000006,0.5830240151133261,0.0,0.0,0.0,0.0,0.5,0.6977301124531445,,,,,,
12,13,"My faith, Lord, shall call on Thee, which Thou hast given me, wherewith Thou hast inspired me, through the Incarnation of Thy Son, through the ministry of the Preacher.",0.5,1,3,3,168,29,my faith lord shall call on thee which thou hast given me wherewith thou hast inspired me through the incarnation of thy son through the ministry of the preacher,0.2,0.24211376801244247,0.5,0.6879781556356227,1.5,1.2414684591520166,1.5,1.732419855222337,,,,,,
13,14,"And how shall I call upon my God, my God and Lord, since, when I call for Him, I shall be calling Him to myself?",0.0,0,1,1,112,25,and how shall i call upon my god my god and lord since when i call for him i shall be calling him to myself,-0.2,-0.1232015507812832,0.0,0.0,0.5,0.4800079968012795,0.5,0.6698320671731307,,,,,,
14,15,"and what room is there within me, whither my God can come into me?",0.0,0,1,1,66,14,and what room is there within me whither my god can come into me,-0.2,-0.1232015507812832,0.0,0.0,0.5,0.8568879371877232,0.5,1.1957530335474662,,,,,,
15,16,"whither can God come into me, God who made heaven and earth?",0.8,1,3,1,60,12,whither can god come into me god who made heaven and earth,0.44000000000000006,1.2886615497290892,0.5,1.6618023559524908,1.5,2.998751040799334,0.5,1.394879267277269,,,,,,
16,17,"is there, indeed, O Lord my God, aught in me that can contain Thee?",0.0,0,1,1,67,14,is there indeed o lord my god aught in me that can contain thee,-0.2,-0.1232015507812832,0.0,0.0,0.5,0.8568879371877232,0.5,1.1957530335474662,,,,,,
17,18,"do then heaven and earth, which Thou hast made, and wherein Thou hast made me, contain Thee?",0.8,1,2,0,92,17,do then heaven and earth which thou hast made and wherein thou hast made me contain thee,0.44000000000000006,0.8736518200082269,0.5,1.173324297177508,1.0,1.4115226337448559,0.0,0.0,,,,,,
