"","sent_raw","jockers_rinker","jockers","huliu","lmcd","nrc","senticnet","sentiword"
"1","and how shall i call upon my god  my god and lord  since  when i call for him  i shall be calling him to myself",0,0,0,0,0.4,0.412,0.025
"2","and what room is there within me  whither my god can come into me",0,0,0,0,0.267261241912424,0.215145299739502,0.100222965717159
"3","whither can god come into me  god who made heaven and earth",0.23094010767585,0.23094010767585,0.288675134594813,0,0.577350269189626,0.435899453238167,0.0721687836487032
"4","is there  indeed  o lord my god  aught in me that can contain thee",0,0,0,0,0.267261241912424,0.210869119868903,0.0668153104781061
"5","do then heaven and earth  which thou hast made  and wherein thou hast made me  contain thee",0.194028500029066,0.194028500029066,0.242535625036333,0,0,0.189905394403449,0.303169531295416
"6","or  because nothing which exists could exist without thee  doth therefore whatever exists contain thee",0,0,0,0,0,0.127550251535098,0.0645497224367903
"7","since  then  i too exist  why do i seek that thou shouldest enter into me  who were not  wert thou not in me",0,0,0,0,0,0.0498349449596409,0.078192905271403
"8","why",0,0,0,0,0,0,0
"9","because i am not gone down in hell  and yet thou art there also",0.374165738677394,0.374165738677394,0.267261241912424,0,0.534522483824849,0.13229431474665,0.320156696040925
"10","for if i go down into hell  thou art there",-0.0632455532033676,-0.0632455532033676,-0.316227766016838,0,0,-0.0834841302284453,-0.131761569173682
"11","i could not be then  o my god  could not be at all  wert thou not in me  or  rather  unless i were in thee  of whom are all things  by whom are all things  in whom are all things",0,0,0,0,0.158113883008419,0.279861572924902,0.0790569415042095
"12","even so  lord  even so",0,0,0,0,0,0.0456157867409957,-0.335410196624968
"13","whither do i call thee  since i am in thee",0,0,0,0,0,0.207129186741029,0.0592927061281571
"14","or whence canst thou enter into me",0,0,0,0,0,-0.313710512597659,0
"15","for whither can i go beyond heaven and earth  that thence my god should come into me  who hath said  i fill the heaven and the earth",0.3079201435678,0.3079201435678,0.384900179459751,0,0.192450089729875,0.337172557206741,-0.0160375074774896
"16","do the heaven and earth then contain thee  since thou fillest them",0.23094010767585,0.23094010767585,0.288675134594813,0,0,0.226032630387739,0.21650635094611
"17","or dost thou fill them and yet overflow  since they do not contain thee",-0.0668153104781061,-0.0668153104781061,0,0,-0.267261241912424,-0.141648458213585,-0.155902391115581
"18","and whither  when the heaven and the earth are filled  pourest thou forth the remainder of thyself",0.194028500029066,0.194028500029066,0.242535625036333,0,0,0.0771263287615539,0.0606339062590832
"19","or hast thou no need that aught contain thee  who containest all things  since what thou fillest thou fillest by containing it",0,0,0,0,0,0.265648092579091,0.0133250447722257
"20","for the vessels which thou fillest uphold thee not  since  though they were broken  thou wert not poured out",0.0344123600805843,0.0344123600805843,0,0.229415733870562,0.229415733870562,0.259469195007605,0.0143384833669101
"21","and when thou art poured out on us  thou art not cast down  but thou upliftest us  thou art not dissipated  but thou gatherest us",-0.27,-0.27,0,0,-0.45,-0.0789926,-0.11249375
"22","but thou who fillest all things  fillest thou them with thy whole self",0,0,0,0,0,0.561148586006347,0.450693909432999
"23","or  since all things cannot contain thee wholly  do they contain part of thee",0,0,0,0,0,0.0825837237509391,-0.300668897151477
"24","and all at once the same part",0,0,0,0,0,0.232070186427665,-0.0944911182523068
"25","or each its own part  the greater more  the smaller less",0.271360210119987,0.271360210119987,0,0.542720420239975,0.542720420239975,-0.741717907661299,-0.0339200262649984
"26","and is  then one part of thee greater  another less",0.158113883008419,0.158113883008419,0,0.316227766016838,0.316227766016838,-0.28998086143744,0.0988211768802618
"27","or  art thou wholly every where  while nothing contains thee wholly",0.180906806746658,0.180906806746658,0,0,0.301511344577764,-0.933177611468178,0.376889180722205
"28","what art thou then  my god",0.244948974278318,0.244948974278318,0,0,0.816496580927726,0.278017085805891,0.255155181539914
"29","what  but the lord god",0,0,0,0,1.00623058987491,0.682224339935186,0
"30","for who is lord but the lord",0,0,0,0,0,0.302599113020133,0
"31","or who is god save our god",0.188982236504614,0.188982236504614,0,0,1.13389341902768,0.491731779385005,0
