,sent_no,sent_raw,syuzhet,bing,afinn,nrc,syuzhet_roll100,bing_roll100,afinn_roll100,nrc_roll100,mean_roll100,syuzhet_roll100_stdscale,bing_roll100_stdscale,afinn_roll100_stdscale,nrc_roll100_stdscale
0,1,CHAPTER I.,0.0,0,0,0,,,,,,,,,
1,2,"START IN LIFE   I was born in the year 1632, in the city of York, of a good family, though not of that country, my father being a foreigner of Bremen, who settled first at Hull.",0.5,1,3,0,,,,,,,,,
2,3,"He got a good estate by merchandise, and leaving off his trade, lived afterwards at York, from whence he had married my mother, whose relations were named Robinson, a very good family in that country, and from whom I was called Robinson Kreutznaer; but, by the usual corruption of words in England, we are now calledâ""nay we call ourselves and write our nameâ""Crusoe; and so my companions always called me.",0.4,0,0,-1,,,,,,,,,
3,4,"I had two elder brothers, one of whom was lieutenant-colonel to an English regiment of foot in Flanders, formerly commanded by the famous Colonel Lockhart, and was killed at the battle near Dunkirk against the Spaniards.",-0.1,0,-2,2,,,,,,,,,
4,5,"What became of my second brother I never knew, any more than my father or mother knew what became of me.",0.4,0,0,1,,,,,,,,,
5,6,"Being the third son of the family and not bred to any trade, my head began to be filled very early with rambling thoughts.",-0.1,0,0,-1,,,,,,,,,
6,7,"My father, who was very ancient, had given me a competent share of learning, as far as house-education and a country free school generally go, and designed me for the law; but I would be satisfied with nothing but going to sea; and my inclination to this led me so strongly against the will, nay, the commands of my father, and against all the entreaties and persuasions of my mother and other friends, that there seemed to be something fatal in that propensity of nature, tending directly to the life of misery which was to befall me.",3.3,1,1,1,,,,,,,,,
7,8,"My father, a wise and grave man, gave me serious and excellent counsel against what he foresaw was my design.",1.4,2,1,2,,,,,,,,,
8,9,"He called me one morning into his chamber, where he was confined by the gout, and expostulated very warmly with me upon this subject.",-0.3,0,0,-3,,,,,,,,,
9,10,"He asked me what reasons, more than a mere wandering inclination, I had for leaving fatherâs house and my native country, where I might be well introduced, and had a prospect of raising my fortune by application and industry, with a life of ease and pleasure.",3.75,4,8,3,,,,,,,,,
