,sent_no,sent_raw,syuzhet,bing,afinn,nrc,char_len,token_len,sent_clean,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,syuzhet_roll10,bing_roll10,afinn_roll10,nrc_roll10,mean_roll10,syuzhet_roll10_stdscale,bing_roll10_stdscale,afinn_roll10_stdscale,nrc_roll10_stdscale
0,0,START IN LIFE,-131.95,-229,-208,-52,13,3,start in life,0.0,0.0,-1.8054334135535879,-13.351134215500943,0.0,0.0,-1.8054334135535877,-13.351134215500945,0.0,0.0,-1.805433413553588,-13.351134215500945,0.0,0.0,-1.805433413553588,-13.351134215500945,,,,,,,,,
1,1,"I was born in the year , in the city of York, of a good family, though not of that country, my father being a foreigner of Bremen, who settled first at Hull.",-131.95,-229,-208,-52,157,33,i was born in the year   in the city of york  of a good family  though not of that country  my father being a foreigner of bremen  who settled first at hull ,0.0,0.0,0.19695575549231883,-0.36694449218078695,0.0,0.0,0.1969557554923188,-0.366944492180787,0.0,0.0,0.19695575549231886,-0.3669444921807871,0.0,0.0,0.19695575549231886,-0.3669444921807871,,,,,,,,,
2,2,"He got a good estate by merchandise, and leaving off his trade, lived afterwards at York, from whence he had married my mother, whose relations were named Robinson, a very good family in that country, and from whom I was called Robinson Kreutznaer; but, by the usual corruption of words in England, we are now called nay we call ourselves and write our name Crusoe; and so my companions always called me.",-131.95,-229,-208,-52,404,72,he got a good estate by merchandise  and leaving off his trade  lived afterwards at york  from whence he had married my mother  whose relations were named robinson  a very good family in that country  and from whom i was called robinson kreutznaer  but  by the usual corruption of words in england  we are now called nay we call ourselves and write our name crusoe  and so my companions always called me ,0.0,0.0,0.3054185021489721,0.33636578449905485,0.0,0.0,0.3054185021489721,0.3363657844990549,0.0,0.0,0.30541850214897215,0.3363657844990548,0.0,0.0,0.30541850214897215,0.3363657844990548,,,,,,,,,
3,3,"I had two elder brothers, one of whom was lieutenant-colonel to an English regiment of foot in Flanders, formerly commanded by the famous Colonel Lockhart, and was killed at the battle near Dunkirk against the Spaniards.",-131.95,-229,-208,-52,220,36,i had two elder brothers  one of whom was lieutenant colonel to an english regiment of foot in flanders  formerly commanded by the famous colonel lockhart  and was killed at the battle near dunkirk against the spaniards ,0.0,0.0,0.21364233190103474,-0.258742911153119,0.0,0.0,0.2136423319010347,-0.258742911153119,0.0,0.0,0.21364233190103477,-0.25874291115311915,0.0,0.0,0.21364233190103477,-0.25874291115311915,,,,,,,,,
4,4,"What became of my second brother I never knew, any more than my father or mother knew what became of me.",-131.95,-229,-208,-52,104,21,what became of my second brother i never knew  any more than my father or mother knew what became of me ,0.0,0.0,0.08253351726112414,-1.1088981906562247,0.0,0.0,0.08253351726112412,-1.1088981906562247,0.0,0.0,0.08253351726112415,-1.108898190656225,0.0,0.0,0.08253351726112415,-1.108898190656225,,,,,,,,,
5,5,"Being the third son of the family and not bred to any trade, my head began to be filled very early with rambling thoughts.",-131.95,-229,-208,-52,122,24,being the third son of the family and not bred to any trade  my head began to be filled very early with rambling thoughts ,0.0,0.0,0.12186616165309734,-0.8538516068052928,0.0,0.0,0.12186616165309733,-0.8538516068052928,0.0,0.0,0.12186616165309735,-0.853851606805293,0.0,0.0,0.12186616165309735,-0.853851606805293,,,,,,,,,
6,6,"My father, who was very ancient, had given me a competent share of learning, as far as house-education and a country free school generally go, and designed me for the law; but I would be satisfied with nothing but going to sea; and my inclination to this led me so strongly against the will, nay, the commands of my father, and against all the entreaties and persuasions of my mother and other friends, that there seemed to be something fatal in that propensity of nature, tending directly to the life of misery which was to befall me.",-131.95,-229,-208,-52,535,97,my father  who was very ancient  had given me a competent share of learning  as far as house education and a country free school generally go  and designed me for the law  but i would be satisfied with nothing but going to sea  and my inclination to this led me so strongly against the will  nay  the commands of my father  and against all the entreaties and persuasions of my mother and other friends  that there seemed to be something fatal in that propensity of nature  tending directly to the life of misery which was to befall me ,0.0,0.0,0.3290721542747292,0.48974431430631615,0.0,0.0,0.32907215427472913,0.4897443143063162,0.0,0.0,0.32907215427472924,0.4897443143063161,0.0,0.0,0.32907215427472924,0.4897443143063161,,,,,,,,,
7,7,"My father, a wise and grave man, gave me serious and excellent counsel against what he foresaw was my design.",-131.95,-229,-208,-52,109,20,my father  a wise and grave man  gave me serious and excellent counsel against what he foresaw was my design ,0.0,0.0,0.06680045950433489,-1.210916824196597,0.0,0.0,0.06680045950433489,-1.2109168241965973,0.0,0.0,0.06680045950433489,-1.2109168241965975,0.0,0.0,0.06680045950433489,-1.2109168241965975,,,,,,,,,
8,8,"He called me one morning into his chamber, where he was confined by the gout, and expostulated very warmly with me upon this subject.",-131.95,-229,-208,-52,133,24,he called me one morning into his chamber  where he was confined by the gout  and expostulated very warmly with me upon this subject ,0.0,0.0,0.12186616165309734,-0.8538516068052928,0.0,0.0,0.12186616165309733,-0.8538516068052928,0.0,0.0,0.12186616165309735,-0.853851606805293,0.0,0.0,0.12186616165309735,-0.853851606805293,,,,,,,,,
9,9,"He asked me what reasons, more than a mere wandering inclination, I had for leaving father's house and my native country, where I might be well introduced, and had a prospect of raising my fortune by application and industry, with a life of ease and pleasure.",-131.95,-229,-208,-52,259,46,he asked me what reasons  more than a mere wandering inclination  i had for leaving father own house and my native country  where i might be well introduced  and had a prospect of raising my fortune by application and industry  with a life of ease and pleasure ,0.0,0.0,0.25354501461752926,0.0,0.0,0.0,0.2535450146175292,0.0,0.0,0.0,0.25354501461752926,0.0,0.0,0.0,0.25354501461752926,0.0,,,,,,,,,
10,10,"He told me it was men of desperate fortunes on one hand, or of aspiring, superior fortunes on the other, who went abroad upon adventures, to rise by enterprise, and make themselves famous in undertakings of a nature out of the common road; that these things were all either too far above me or too far below me; that mine was the middle state, or what might be called the upper station of low life, which he had found, by long experience, was the best state in the world, the most suited to human happiness, not exposed to the miseries and hardships, the labour and sufferings of the mechanic part of mankind, and not embarrassed with the pride, luxury, ambition, and envy of the upper part of mankind.",-131.95,-229,-208,-52,702,128,he told me it was men of desperate fortunes on one hand  or of aspiring  superior fortunes on the other  who went abroad upon adventures  to rise by enterprise  and make themselves famous in undertakings of a nature out of the common road  that these things were all either too far above me or too far below me  that mine was the middle state  or what might be called the upper station of low life  which he had found  by long experience  was the best state in the world  the most suited to human happiness  not exposed to the miseries and hardships  the labour and sufferings of the mechanic part of mankind  and not embarrassed with the pride  luxury  ambition  and envy of the upper part of mankind ,0.0,0.0,0.3455705766324447,0.5967258388468809,0.0,0.0,0.34557057663244467,0.596725838846881,0.0,0.0,0.3455705766324448,0.5967258388468809,0.0,0.0,0.3455705766324448,0.5967258388468809,,,,,,,,,
11,11,"He told me I might judge of the happiness of this state by this one thing viz. that this was the state of life which all other people envied; that kings have frequently lamented the miserable consequence of being born to great things, and wished they had been placed in the middle of the two extremes, between the mean and the great; that the wise man gave his testimony to this, as the standard of felicity, when he prayed to have neither poverty nor riches.",-131.95,-229,-208,-52,459,85,he told me i might judge of the happiness of this state by this one thing viz  that this was the state of life which all other people envied  that kings have frequently lamented the miserable consequence of being born to great things  and wished they had been placed in the middle of the two extremes  between the mean and the great  that the wise man gave his testimony to this  as the standard of felicity  when he prayed to have neither poverty nor riches ,0.0,0.0,0.31945485759865666,0.42738240853997556,0.0,0.0,0.31945485759865666,0.42738240853997556,0.0,0.0,0.3194548575986567,0.42738240853997544,0.0,0.0,0.3194548575986567,0.42738240853997544,,,,,,,,,
12,12,"He bade me observe it, and I should always find that the calamities of life were shared among the upper and lower part of mankind, but that the middle station had the fewest disasters, and was not exposed to so many vicissitudes as the higher or lower part of mankind; nay, they were not subjected to so many distempers and uneasinesses, either of body or mind, as those were who, by vicious living, luxury, and extravagances on the one hand, or by hard labour, want of necessaries, and mean or insufficient diet on the other hand, bring distemper upon themselves by the natural consequences of their way of living; that the middle station of life was calculated for all kind of virtue and all kind of enjoyments; that peace and plenty were the handmaids of a middle fortune; that temperance, moderation, quietness, health, society, all agreeable diversions, and all desirable pleasures, were the blessings attending the middle station of life; that this way men went silently and smoothly through the world, and comfortably out of it, not embarrassed with the labours of the hands or of the head, not sold to a life of slavery for daily bread, nor harassed with perplexed circumstances, which rob the soul of peace and the body of rest, nor enraged with the passion of envy, or the secret burning lust of ambition for great things; but, in easy circumstances, sliding gently through the world, and sensibly tasting the sweets of living, without the bitter; feeling that they are happy, and learning by every day's experience to know it more sensibly.",-131.95,-229,-208,-52,1551,266,he bade me observe it  and i should always find that the calamities of life were shared among the upper and lower part of mankind  but that the middle station had the fewest disasters  and was not exposed to so many vicissitudes as the higher or lower part of mankind  nay  they were not subjected to so many distempers and uneasinesses  either of body or mind  as those were who  by vicious living  luxury  and extravagances on the one hand  or by hard labour  want of necessaries  and mean or insufficient diet on the other hand  bring distemper upon themselves by the natural consequences of their way of living  that the middle station of life was calculated for all kind of virtue and all kind of enjoyments  that peace and plenty were the handmaids of a middle fortune  that temperance  moderation  quietness  health  society  all agreeable diversions  and all desirable pleasures  were the blessings attending the middle station of life  that this way men went silently and smoothly through the world  and comfortably out of it  not embarrassed with the labours of the hands or of the head  not sold to a life of slavery for daily bread  nor harassed with perplexed circumstances  which rob the soul of peace and the body of rest  nor enraged with the passion of envy  or the secret burning lust of ambition for great things  but  in easy circumstances  sliding gently through the world  and sensibly tasting the sweets of living  without the bitter  feeling that they are happy  and learning by every day own experience to know it more sensibly ,0.0,0.0,0.37235300225461065,0.7703924271927455,0.0,0.0,0.3723530022546106,0.7703924271927457,0.0,0.0,0.3723530022546107,0.7703924271927456,0.0,0.0,0.3723530022546107,0.7703924271927456,,,,,,,,,
