,sent_clean
0,then wear the gold hat  if that will move her  if you can bounce high  bounce for her too  till she cry  lover  gold hatted  high bouncing lover  i must have you  
1,thomas parke d invilliers
2,in my younger and more vulnerable years my father gave me some advice that I have been turning over in my mind ever since 
3, whenever you feel like criticizing any one   he told me   just remember that all the people in this world have not had the advantages that you have had  
4,he did not say any more but we have always been unusually communicative in a reserved way  and i understood that he meant a great deal more than that 
5,in consequence i  inclined to reserve all judgments  a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores 
6,the abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person  and so it came about that in college i was unjustly accused of being a politician  because i was privy to the secret griefs of wild  unknown men 
7,most of the confidences were unsought frequently i have feigned sleep  preoccupation  or a hostile levity when i realized by some unmistakable sign that an intimate revelation was quivering on the horizon for the intimate revelations of young men or at least the terms in which they express them are usually plagiaristic and marred by obvious suppressions 
8,reserving judgments is a matter of infinite hope 
9,i am still a little afraid of missing something if i forget that  as my father snobbishly suggested  and i snobbishly repeat  a sense of the fundamental decencies is parcelled out unequally at birth 
10,and  after boasting this way of my tolerance  i come to the admission that it has a limit 
11,conduct may be founded on the hard rock or the wet marshes but after a certain point i do not care what it is founded on 
12,when i came back from the east last autumn i felt that i wanted the world to be in uniform and at a sort of moral attention forever  i wanted no more riotous excursions with privileged glimpses into the human heart 
13,only gatsby  the man who gives his name to this book  was exempt from my reaction gatsby who represented everything for which i have an unaffected scorn 
14,if personality is an unbroken series of successful gestures  then there was something gorgeous about him  some heightened sensitivity to the promises of life  as if he were related to one of those intricate machines that register earthquakes ten thousand miles away 
15,this responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the  creative temperament  it was an extraordinary gift for hope  a romantic readiness such as i have never found in any other person and which it is not likely i shall ever find again 
16,no gatsby turned out all right at the end  it is what preyed on gatsby  what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and short winded elations of men 
17,my family have been prominent  well to do people in this middle western city for three generations 
18,the carraways are something of a clan and we have a tradition that we are descended from the dukes of buccleuch  but the actual founder of my line was my grandfather own brother who came here in fifty one  sent a substitute to the civil war and started the wholesale hardware business that my father carries on today 
19,i never saw this great uncle but i  supposed to look like him with special reference to the rather hard boiled painting that hangs in father own office 
20,i graduated from new haven in   just a quarter of a century after my father  and a little later i participated in that delayed teutonic migration known as the great war 
21,i enjoyed the counter raid so thoroughly that i came back restless 
22,instead of being the warm center of the world the middle west now seemed like the ragged edge of the universe so i decided to go east and learn the bond business 
23,everybody i knew was in the bond business so i supposed it could support one more single man 
24,all my aunts and uncles talked it over as if they were choosing a prep school for me and finally said   why ye es  with very grave  hesitant faces 
25,father agreed to finance me for a year and after various delays i came east  permanently  i thought  in the spring of twenty two 
26,the practical thing was to find rooms in the city but it was a warm season and i had just left a country of wide lawns and friendly trees  so when a young man at the office suggested that we take a house together in a commuting town it sounded like a great idea 
27,he found the house  a weather beaten cardboard bungalow at eighty a month  but at the last minute the firm ordered him to washington and i went out to the country alone 
28,i had a dog  at least i had him for a few days until he ran away  and an old dodge and a finnish woman who made my bed and cooked breakfast and muttered finnish wisdom to herself over the electric stove 
29,it was lonely for a day or so until one morning some man  more recently arrived than i  stopped me on the road 
30, how do you get to west egg village   he asked helplessly 
31,i told him 
32,and as i walked on i was lonely no longer 
33,i was a guide  a pathfinder  an original settler 
34,he had casually conferred on me the freedom of the neighborhood 
35,and so with the sunshine and the great bursts of leaves growing on the trees just as things grow in fast movies i had that familiar conviction that life was beginning over again with the summer 
36,there was so much to read for one thing and so much fine health to be pulled down out of the young breath giving air 
37,i bought a dozen volumes on banking and credit and investment securities and they stood on my shelf in red and gold like new money from the mint  promising to unfold the shining secrets that only midas and morgan and maecenas knew 
38,and i had the high intention of reading many other books besides 
39,i was rather literary in college one year i wrote a series of very solemn and obvious editorials for the  yale news  and now i was going to bring back all such things into my life and become again that most limited of all specialists  the  well rounded man  
40,this is not just an epigram life is much more successfully looked at from a single window  after all 
41,it was a matter of chance that i should have rented a house in one of the strangest communities in north america 
42,it was on that slender riotous island which extends itself due east of new york and where there are  among other natural curiosities  two unusual formations of land 
43,twenty miles from the city a pair of enormous eggs  identical in contour and separated only by a courtesy bay  jut out into the most domesticated body of salt water in the western hemisphere  the great wet barnyard of long island sound 
44,they are not perfect ovals like the egg in the columbus story they are both crushed flat at the contact end but their physical resemblance must be a source of perpetual confusion to the gulls that fly overhead 
45,to the wingless a more arresting phenomenon is their dissimilarity in every particular except shape and size 
46,i lived at west egg  the well  the less fashionable of the two  though this is a most superficial tag to express the bizarre and not a little sinister contrast between them 
47,my house was at the very tip of the egg  only fifty yards from the sound  and squeezed between two huge places that rented for twelve or fifteen thousand a season 
48,the one on my right was a colossal affair by any standard it was a factual imitation of some h tel de ville in normandy  with a tower on one side  spanking new under a thin beard of raw ivy  and a marble swimming pool and more than forty acres of lawn and garden 
49,it was gatsby own mansion 
50,or rather  as i did not know mr  gatsby it was a mansion inhabited by a gentleman of that name 
51,my own house was an eye sore  but it was a small eye sore  and it had been overlooked  so i had a view of the water  a partial view of my neighbor own lawn  and the consoling proximity of millionaires all for eighty dollars a month 
52,across the courtesy bay the white palaces of fashionable east egg glittered along the water  and the history of the summer really begins on the evening i drove over there to have dinner with the tom buchanans 
53,daisy was my second cousin once removed and I would known tom in college 
54,and just after the war i spent two days with them in chicago 
55,her husband  among various physical accomplishments  had been one of the most powerful ends that ever played football at new haven a national figure in a way  one of those men who reach such an acute limited excellence at twenty one that everything afterward savors of anti climax 
56,his family were enormously wealthy even in college his freedom with money was a matter for reproach but now he would left chicago and come east in a fashion that rather took your breath away  for instance he would brought down a string of polo ponies from lake forest 
57,it was hard to realize that a man in my own generation was wealthy enough to do that 
58,why they came east i do not know 
59,they had spent a year in france  for no particular reason  and then drifted here and there unrestfully wherever people played polo and were rich together 
60,this was a permanent move  said daisy over the telephone  but i did not believe it i had no sight into daisy own heart but i felt that tom would drift on forever seeking a little wistfully for the dramatic turbulence of some irrecoverable football game 
61,and so it happened that on a warm windy evening i drove over to east egg to see two old friends whom i scarcely knew at all 
62,their house was even more elaborate than i expected  a cheerful red and white georgian colonial mansion overlooking the bay 
