,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
0,0,"Then wear the gold hat, if that will move her; If you can bounce high, bounce for her too, Till she cry ""Lover, gold-hatted, high-bouncing lover, I must have you!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,THOMAS PARKE D'INVILLIERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,"""Whenever you feel like criticizing any one,"" he told me, ""just remember that all the people in this world haven't had the advantages that you've had.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"He didn't say any more but we've always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,"In consequence I' inclined to reserve all judgments, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,"The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person, and so it came about that in college I was unjustly accused of being a politician, because I was privy to the secret griefs of wild, unknown men.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,"Most of the confidences were unsought frequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon for the intimate revelations of young men or at least the terms in which they express them are usually plagiaristic and marred by obvious suppressions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Reserving judgments is a matter of infinite hope.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,"I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat, a sense of the fundamental decencies is parcelled out unequally at birth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
