"","sent_raw","syuzhet","bing","afinn","nrc"
"1","0,""Lines - : I was the shadow of the waxwing slain, etc.""",0,0,0,0
"2","1,""The image in these opening lines evidently refers to a bird knocking itself out, in full flight, against the outer surface of a glass pane in which a mirrored sky, with its slightly darker tint and slightly slower cloud, presents the illusion of continued space.""",-1.35,-4,0,1
"3","2,""We can visualize John Shade in his early boyhood, a physically unattractive but otherwise beautifully developed lad, experiencing his first eschatological shock, as with incredulous fingers he picks up from the turf that compact ovoid body and gazes at the wax-red streaks ornamenting those gray-brown wings and at the graceful tail feathers tipped with yellow as bright as fresh paint.""",1.4,2,2,-3
"4","3,""When in the last year of Shades life I had the fortune of being his neighbor in the idyllic hills of New Wye (see Foreword), I often saw those particular birds most convivially feeding on the chalk-blue berries of junipers growing at the corner of his house.""",3.5,2,3,2
"5","4,(See also lines - .)",0,0,0,0
"6","5,""My knowledge of garden Aves had been limited to those of northern Europe but a young New Wye gardener, in whom I was interested (see note to line ), helped me to identify the profiles of quite a number of tropical-looking little strangers and their comical calls; and, naturally, every tree top plotted its dotted line toward the ornithological work on my desk to which I would gallop from the lawn in nomenclatorial agitation.""",2.7,1,3,3
"7","6,""How hard I found to fit the name robin to the suburban impostor, the gross fowl, with its untidy dull-red livery and the revolting gusto it showed when consuming long, sad, passive worms!""",-2,-5,-9,-4
"8","7,""Incidentally, it is curious to note that a crested bird called in Zemblan sampel (silktail), closely resembling a waxwing in shape and shade, is the model of one of the three heraldic creatures (the other two being respectively a reindeer proper and a merman azure, crined or) in the armorial bearings of the Zemblan King, Charles the Beloved (born ), whose glorious misfortunes I discussed so often with my friend.""",2.2,3,7,5
"9","8,""The poem was begun at the dead center of the year, a few minutes after midnight July , while I played chess with a young Iranian enrolled in our summer school; and I do not doubt that our poet would have understood his annotators temptation to synchronize a certain fateful fact, the departure from Zembla of the would-be regicide Gradus, with that date.""",-0.8,-4,-3,0
"10","9,""Actually, Gradus left Onhava on the Copenhagen plane on July .""",0,0,0,0
"11","10,""Line : that crystal land Perhaps an allusion to Zembla, my dear country.""",1.1,0,2,3
"12","11,""After this, in the disjointed, half-obliterated draft which I am not at all sure I have deciphered properly: Ah, I must not forget to say something That my friend told me of a certain king.""",1.6,0,-3,0
"13","12,""Alas, he would have said a great deal more if a domestic anti-Karlist had not controlled every line he communicated to her!""",0.1,1,1,1
"14","13,""Many a time have I rebuked him in bantering fashion: You really should promise to use all that wonderful stuff, you bad gray poet, you!""",0.75,1,1,1
"15","14,And we would both giggle like boys.",1,1,2,1
"16","15,""But then, after the inspiring evening stroll, we had to part, and grim night lifted the drawbridge between his impregnable fortress and my humble home.""",0.35,1,2,0
"17","16,That Kings reign ( - ) will be remembered by at least a few discerning historians as a peaceful and elegant one.",1.75,2,4,2
"18","17,""Owing to a fluid system of judicious alliances, Mars in his time never marred the record.""",0.25,1,0,0
"19","18,""Internally, until corruption, betrayal, and Extremism penetrated it, the Peoples Place (parliament) worked in perfect harmony with the Royal Council.""",0,0,-1,1
"20","19,""Harmony, indeed, was the reigns password.""",0.5,1,2,1
"21","20,The polite arts and pure sciences flourished.",1.5,2,3,1
"22","21,""Technicology, applied physics, industrial chemistry and so forth were suffered to thrive.""",0,0,-2,1
"23","22,A small skyscraper of ultramarine glass was steadily rising in Onhava.",0,0,0,0
"24","23,The climate seemed to be improving.",0.75,1,2,1
"25","24,Taxation had become a thing of beauty.",0.5,1,3,1
"26","25,""The poor were getting a little richer, and the rich a little poorer (in accordance with what may be known some day as Kinbotes Law).""",0,0,-2,0
