,sent_no,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
