,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
0,0,CANTO ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,"I was the shadow of the waxwing slain By the false azure in the windowpane; I was the smudge of ashen fluff and I Lived on, flew on, in the reflected sky.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,"And from the inside, too, I d duplicate Myself, my lamp, an apple on a plate: Uncurtaining the night, I d let dark glass Hang all the furniture above the grass, And how delightful when a fall of snow Covered my glimpse of lawn and reached up so As to make chair and bed exactly stand Upon that snow, out in that crystal land!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,"Retake the falling snow: each drifting flake Shapeless and slow, unsteady and opaque, A dull dark white against the day s pale white And abstract larches in the neutral light.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"And then the gradual and dual blue As night unites the viewer and the view, And in the morning, diamonds of frost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Express amazement: Whose spurred feet have crossed From left to right the blank page of the road?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,"Reading from left to right in winter s code: A dot, an arrow pointing back; repeat: Dot, arrow pointing back A pheasant s feet!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,"Torquated beauty, sublimated grouse, Finding your China right behind my house.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,"Was he in Sherlock Holmes, the fellow whose Tracks pointed back when he reversed his shoes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,All colors made me happy: even gray.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
