,model,type,sent_no,sent_raw,sentiment,sentiment100,token_len,sent_raw_abbr
190,syuzhetr_syuzhet,valley,196,"'I do not want red petals of hollyhocks or geranium. I want white petals that float when I tip the basin up. I have a fleet now swimming from shore to shore. I will drop a twig in as a raft for a drowning sailor. I will drop a stone in and see bubbles rise from the depths of the sea. Neville has gone and Susan has gone; Jinny is in the kitchen garden picking currants with Louis perhaps. I have a short time alone, while Miss Hudson spreads our copy-books on the schoolroom table. I have a short space of freedom. I have picked all the fallen petals and made them swim. I have put raindrops in some. I will plant a lighthouse here, a head of Sweet Alice. And I will now rock the brown basin from side to side so that my ships may ride the waves. Some will founder. Some will dash themselves against the cliffs. One sails alone. That is my ship. It sails into icy caverns where the sea-bear barks and stalactites swing green chains. The waves rise; their crests curl; look at the lights on the mastheads. They have scattered, they have foundered, all except my ship, which mounts the wave and sweeps before the gale and reaches the islands where the parrots chatter and the creepers . . .'",-1.1783116775283888,13,227,'I do not want red petals of hollyhocks or geranium. I want white petals that float when I tip the b
0,baseline_vader,peak,199,"'I will not conjugate the verb,' said Louis, 'until Bernard has said it. My father is a banker in Brisbane and I speak with an Australian accent. I will wait and copy Bernard. He is English. They are all English. Susan's father is a clergyman. Rhoda has no father. Bernard and Neville are the sons of gentlemen. Jinny lives with her grandmother in London. Now they suck their pens. Now they twist their copy-books, and, looking sideways at Miss Hudson, count the purple buttons on her bodice. Bernard has a chip in his hair. Susan has a red look in her eyes. Both are flushed. But I am pale; I am neat, and my knickerbockers are drawn together by a belt with a brass snake. I know the lesson by heart. I know more than they will ever know. I knew my cases and my genders; I could know everything in the world if I wished. But I do not wish to come to the top and say my lesson. My roots are threaded, like fibres in a flower-pot, round and round about the world. I do not wish to come to the top and live in the light of this great clock, yellow-faced, which ticks and ticks. Jinny and Susan, Bernard and Neville bind themselves into a thong with which to lash me. They laugh at my neatness, at my Australian accent. I will now try to imitate Bernard softly lisping Latin.'",-0.015374733979378658,25,243,"'I will not conjugate the verb,' said Louis, 'until Bernard has said it. My father is a banker in Br"
74,baseline_flair,valley,205,"'Each tense,' said Neville, 'means differently. There is an order in this world; there are distinctions, there are differences in this world, upon whose verge I step. For this is only a beginning.'",-0.014250078161416244,25,33,"'Each tense,' said Neville, 'means differently. There is an order in this world; there are distincti"
220,transformer_roberta15lg,valley,205,"'Each tense,' said Neville, 'means differently. There is an order in this world; there are distinctions, there are differences in this world, upon whose verge I step. For this is only a beginning.'",-1.4494665316048094,10,33,"'Each tense,' said Neville, 'means differently. There is an order in this world; there are distincti"
134,sentimentr_jockers,valley,206,"'Now Miss Hudson,' said Rhoda, 'has shut the book. Now the terror is beginning. Now taking her lump of chalk she draws figures, six, seven, eight, and then a cross and then a line on the blackboard. What is the answer? The others look; they look with understanding. Louis writes; Susan writes; Neville writes; Jinny writes; even Bernard has now begun to write. But I cannot write. I see only figures. The others are handing in their answers, one by one. Now it is my turn. But I have no answer. The others are allowed to go. They slam the door. Miss Hudson goes. I am left alone to find an answer. The figures mean nothing now. Meaning has gone. The clock ticks. The two hands are convoys marching through a desert. The black bars on the clock face are green oases. The long hand has marched ahead to find water. The other, painfully stumbles among hot stones in the desert. It will die in the desert. The kitchen door slams. Wild dogs bark far away. Look, the loop of the figure is beginning to fill with time; it holds the world in it. I begin to draw a figure and the world is looped in it, and I myself am outside the loop; which I now join--so--and seal up, and make entire. The world is entire, and I am outside of it, crying, ""Oh save me, from being blown for ever outside the loop of time!""'",-0.212008955953185,23,247,"'Now Miss Hudson,' said Rhoda, 'has shut the book. Now the terror is beginning. Now taking her lump "
30,baseline_textblob,peak,211,"There is an elephant white with maggots, killed by an arrow shot dead in its eye.",-0.11002565033226541,24,16,"There is an elephant white with maggots, killed by an arrow shot dead in its eye."
235,transformer_huggingface,peak,211,"There is an elephant white with maggots, killed by an arrow shot dead in its eye.",0.2320841311394027,27,16,"There is an elephant white with maggots, killed by an arrow shot dead in its eye."
104,baseline_stanza,valley,220,"We are giants, lying here, who can make forests quiver.",0.1193246117908696,26,10,"We are giants, lying here, who can make forests quiver."
162,sentimentr_jockers,valley,223,"'It is dull,' said Jinny, 'walking along the high road with no windows to look at, with no bleared eyes of blue glass let into the pavement.'",-0.22125163596793096,23,27,"'It is dull,' said Jinny, 'walking along the high road with no windows to look at, with no bleared e"
16,baseline_vader,valley,225,"'Since I am supposed,' said Neville, 'to be too delicate to go with them, since I get so easily tired and then am sick, I will use this hour of solitude, this reprieve from conversation, to coast round the purlieus of the house and recover, if I can, by standing on the same stair half-way up the landing, what I felt when I heard about the dead man through the swing-door last night when cook was shoving in and out the dampers.",-0.03983325241784869,25,82,"'Since I am supposed,' said Neville, 'to be too delicate to go with them, since I get so easily tire"
