,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
0,0,Once upon a time and a very good time it was there was a moocow coming down along the road and this moocow that was coming down along the road met a nicens little boy named baby tuckoo...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,His father told him that story: his father looked at him through a glass: he had a hairy face.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,He was baby tuckoo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,The moocow came down the road where Betty Byrne lived: she sold lemon platt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"O, the wild rose blossoms On the little green place.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,He sang that song.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,That was his song.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,"O, the green wothe botheth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,When you wet the bed first it is warm then it gets cold.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,His mother put on the oilsheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,That had the queer smell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,His mother had a nicer smell than his father.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,She played on the piano the sailor's hornpipe for him to dance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,He danced:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,"Tralala lala, Tralala tralaladdy, Tralala lala, Tralala lala.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Uncle Charles and Dante clapped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,They were older than his father and mother but uncle Charles was older than Dante.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,Dante had two brushes in her press.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,The brush with the maroon velvet back was for Michael Davitt and the brush with the green velvet back was for Parnell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,Dante gave him a cachou every time he brought her a piece of tissue paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,The Vances lived in number seven.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,They had a different father and mother.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,They were Eileen's father and mother.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
