,sent_no,sent_raw,syuzhet,bing,afinn,nrc,sent_clean,char_len,token_len,syuzhet_medianiqr,syuzhet_lnorm_medianiqr,bing_medianiqr,bing_lnorm_medianiqr,afinn_medianiqr,afinn_lnorm_medianiqr,nrc_medianiqr,nrc_lnorm_medianiqr,syuzhet_roll100,bing_roll100,afinn_roll100,nrc_roll100,mean_roll100,syuzhet_roll100_stdscale,bing_roll100_stdscale,afinn_roll100_stdscale,nrc_roll100_stdscale
0,1,"CHAPTER I   I was born in Tuckahoe, near Hillsborough, and about twelve miles from Easton, in Talbot county, Maryland.",0.0,0,0,0,chapter i   i was born in tuckahoe near hillsborough and about twelve miles from easton in talbot county maryland,118,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,2,"I have no accurate knowledge of my age, never having seen any authentic record containing it.",1.6,2,-1,3,i have no accurate knowledge of my age never having seen any authentic record containing it,93,16,1.3195876288659796,1.5264289559050555,1.0,1.8687421023433877,-0.3333333333333333,-0.48316995961802633,1.5,2.1034687936193417,,,,,,,,,
2,3,"By far the larger part of the slaves know as little of their ages as horses know of theirs, and it is the wish of most masters within my knowledge to keep their slaves thus ignorant.",-0.5,-1,-4,0,by far the larger part of the slaves know as little of their ages as horses know of theirs and it is the wish of most masters within my knowledge to keep their slaves thus ignorant,182,36,-0.4123711340206186,-0.21207761371875816,-0.5,-0.4154201757639217,-1.3333333333333333,-0.8592669873351406,0.0,0.0,,,,,,,,,
3,4,I do not remember to have ever met a slave who could tell of his birthday.,0.05,-1,-3,0,i do not remember to have ever met a slave who could tell of his birthday,74,16,0.04123711340206186,0.04770090487203298,-0.5,-0.9343710511716938,-1.0,-1.4495098788540792,0.0,0.0,,,,,,,,,
4,5,"They seldom come nearer to it than planting-time, harvest-time, cherry-time, spring-time, or fall-time.",0.0,-1,0,1,they seldom come nearer to it than planting time harvest time cherry time spring time or fall time,103,13,0.0,0.0,-0.5,-1.1498294027101321,0.0,0.0,0.5,0.8628371864167477,,,,,,,,,
5,6,A want of information concerning my own was a source of unhappiness to me even during childhood.,0.5,-1,-1,1,a want of information concerning my own was a source of unhappiness to me even during childhood,96,17,0.4123711340206186,0.4489661887132557,-0.5,-0.8794403603326759,-0.3333333333333333,-0.4547649061425398,0.5,0.659936025589764,,,,,,,,,
6,7,The white children could tell their ages.,0.4,0,0,1,the white children could tell their ages,41,7,0.3298969072164949,0.8715452062781719,0.0,0.0,0.0,0.0,0.5,1.6013568894838643,,,,,,,,,
7,8,I could not tell why I ought to be deprived of the same privilege.,-0.5,0,0,0,i could not tell why i ought to be deprived of the same privilege,66,14,-0.4123711340206186,-0.5451045588874005,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,9,I was not allowed to make any inquiries of my master concerning it.,0.0,1,0,1,i was not allowed to make any inquiries of my master concerning it,67,13,0.0,0.0,0.5,1.1498294027101321,0.0,0.0,0.5,0.8628371864167477,,,,,,,,,
9,10,"He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.",-2.05,-4,-6,0,he deemed all such inquiries on the part of a slave improper and impertinent and evidence of a restless spirit,112,20,-1.690721649484536,-1.5647851557746708,-2.0,-2.9903609253890693,-2.0,-2.3195055632637485,0.0,0.0,,,,,,,,,
10,11,The nearest estimate I can give makes me now between twenty-seven and twenty-eight years of age.,0.0,0,0,0,the nearest estimate i can give makes me now between twenty seven and twenty eight years of age,96,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
11,12,"I come to this, from hearing my master say, some time during 1835, I was about seventeen years old.",0.0,1,0,0,i come to this from hearing my master say some time during  i was about seventeen years old,99,19,0.0,0.0,0.5,0.7869163876517001,0.0,0.0,0.0,0.0,,,,,,,,,
12,13,My mother was named Harriet Bailey.,0.0,0,0,0,my mother was named harriet bailey,35,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
13,14,"She was the daughter of Isaac and Betsey Bailey, both colored, and quite dark.",0.0,-1,0,1,she was the daughter of isaac and betsey bailey both colored and quite dark,78,14,0.0,0.0,-0.5,-1.06775735397993,0.0,0.0,0.5,0.8012499496989214,,,,,,,,,
14,15,My mother was of a darker complexion than either my grandmother or grandfather.,0.0,-1,0,1,my mother was of a darker complexion than either my grandmother or grandfather,79,13,0.0,0.0,-0.5,-1.1498294027101321,0.0,0.0,0.5,0.8628371864167477,,,,,,,,,
15,16,My father was a white man.,0.4,0,0,1,my father was a white man,26,6,0.3298969072164949,1.0165610475890159,0.0,0.0,0.0,0.0,0.5,1.867805623175023,,,,,,,,,
16,17,He was admitted to be such by all I ever heard speak of my parentage.,0.6,0,-1,1,he was admitted to be such by all i ever heard speak of my parentage,69,15,0.4948453608247423,0.6105461588284461,0.0,0.0,-0.3333333333333333,-0.51535983034541,0.5,0.7478688737696129,,,,,,,,,
17,18,"The opinion was also whispered that my master was my father; but of the correctness of this opinion, I know nothing; the means of knowing was withheld from me.",0.6,1,0,2,the opinion was also whispered that my master was my father but of the correctness of this opinion i know nothing the means of knowing was withheld from me,159,29,0.4948453608247423,0.3159013389870726,0.5,0.515659446027536,0.0,0.0,1.0,0.7739063629977172,,,,,,,,,
18,19,My mother and I were separated when I was but an infantbefore I knew her as my mother.,0.6,0,0,1,my mother and i were separated when i was but an infantbefore i knew her as my mother,87,18,0.4948453608247423,0.5088449663528583,0.0,0.0,0.0,0.0,0.5,0.6232932701433584,,,,,,,,,
19,20,"It is a common custom, in the part of Maryland from which I ran away, to part children from their mothers at a very early age.",0.0,0,0,0,it is a common custom in the part of maryland from which i ran away to part children from their mothers at a very early age,126,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
20,21,"Frequently, before the child has reached its twelfth month, its mother is taken from it, and hired out on some farm a considerable distance off, and the child is placed under the care of an old woman, too old for field labor.",1.3,0,3,3,frequently before the child has reached its twelfth month its mother is taken from it and hired out on some farm a considerable distance off and the child is placed under the care of an old woman too old for field labor,225,42,1.0721649484536084,0.47264886127189837,0.0,0.0,1.0,0.5524078352881173,1.5,0.8016314064709751,,,,,,,,,
21,22,"For what this separation is done, I do not know, unless it be to hinder the development of the child's affection toward its mother, and to blunt and destroy the natural affection of the mother for the child.",-1.11022302462516e-16,-2,-1,2,for what this separation is done i do not know unless it be to hinder the development of the child own affection toward its mother and to blunt and destroy the natural affection of the mother for the child,207,38,-9.156478553609568e-17,-4.4612884639779626e-17,-1.0,-0.7871234164303509,-0.3333333333333333,-0.2035135767820206,1.0,0.5906609731797889,,,,,,,,,
22,23,This is the inevitable result.,-0.6,-1,0,0,this is the inevitable result,30,5,-0.4948453608247423,-1.8292011664700552,-0.5,-2.985884337177409,0.0,0.0,0.0,0.0,,,,,,,,,
