,sent_no,sent_raw,roberta15lg,yelp,nlptown,huggingface,hinglish,imdb2way,t5imdb50k,robertaxml8lang,sent_clean,char_len,token_len,nlptown_medianiqr,nlptown_lnorm_medianiqr,roberta15lg_medianiqr,roberta15lg_lnorm_medianiqr,yelp_medianiqr,yelp_lnorm_medianiqr,hinglish_medianiqr,hinglish_lnorm_medianiqr,imdb2way_medianiqr,imdb2way_lnorm_medianiqr,huggingface_medianiqr,huggingface_lnorm_medianiqr,t5imdb50k_medianiqr,t5imdb50k_lnorm_medianiqr,robertaxml8lang_medianiqr,robertaxml8lang_lnorm_medianiqr,nlptown_roll100,nlptown_roll100_stdscale,roberta15lg_roll100,roberta15lg_roll100_stdscale,yelp_roll100,yelp_roll100_stdscale,hinglish_roll100,hinglish_roll100_stdscale,imdb2way_roll100,imdb2way_roll100_stdscale,huggingface_roll100,huggingface_roll100_stdscale,t5imdb50k_roll100,t5imdb50k_roll100_stdscale,robertaxml8lang_roll100,robertaxml8lang_roll100_stdscale,mean_lnorm_medianiqr_roll100,robertaxml8lang_roll100_stdscale_stand
0,0,"I was born in Tuckahoe, near Hillsborough, and about twelve miles from",0.9877416491508484,2.2770860791206355,2.248190388083458,-0.5175168514251709,0.8838605284690857,0.964248538017273,1,0.7768980860710144,i was born in tuckahoe near hillsborough and about twelve miles from,70,12,-0.10738818640270781,-0.28015867208413125,0.006676320454880458,0.045973704206318335,0.41821408619578865,-0.08422511619207551,0.0777141786765827,-0.2518652003957769,0.04382195424695255,-0.0696995655557447,-0.5952546924426239,-0.46667876668330127,0.5,0.4167360532889259,0.1219905319998534,0.0952018304503369,,,,,,,,,,,,,,,,,,
1,1,"Easton, in Talbot county, Maryland.",0.990132451057434,2.3176930844783783,3.3331648111343384,0.9457699656486512,0.9170274138450624,0.7961313724517822,-1,0.7363237738609314,easton in talbot county maryland,35,5,0.24486069291734863,0.6733297199045705,0.007877012234866827,0.526297220599527,0.44025068524686034,0.6454932302812959,0.11385551105177283,0.4953995539899853,-0.46195590386602386,0.9138162473696988,0.14439579130473457,0.5584841584384018,-0.5,-0.999001996007984,0.10359195552971924,0.3996359960613778,,,,,,,,,,,,,,,,,,
2,2,I have no accurate knowledge of my,-0.9994781017303468,0.4564416110515594,1.4601504802703855,-0.9997475147247314,1.9586410522460935,-0.9524959921836852,-1,-1.5061830282211304,i have no accurate knowledge of my,34,7,-0.3632340095752766,-0.23807484887965485,-0.9913312573946896,-0.8898897554915601,-0.5698127777389083,-0.41695467258165536,1.2488823393245863,1.1533687640725594,-5.722673928394799,-2.7738083606553734,-0.8390087803121485,-0.9067209184144852,-0.5,-0.7139800285306704,-0.9132812983969288,-0.9390852959291949,,,,,,,,,,,,,,,,,,
3,3,"age, never having seen any authentic record containing it.",-0.9983004331588744,0.5241240859031677,2.250456303358078,-0.9987044930458068,-0.4674926400184631,-0.9950793981552124,-1,0.5983051061630249,age never having seen any authentic record containing it,58,9,-0.10665253208758145,-0.15535605208145106,-0.9907398169372347,-0.757600760231511,-0.5330828699816315,-0.4355082021291728,-1.3948300010054266,-1.1086056765808974,-5.8507854379541495,-2.455627420076698,-0.838481562079623,-0.7662401794381942,-0.5,-0.5554938956714761,0.04100686477579826,0.10155430150536103,,,,,,,,,,,,,,,,,,
4,4,By far the,0.996612787246704,2.248682349920273,2.281212002038956,0.979796290397644,0.6494627594947815,-0.9486111998558044,-1,-0.4282605946063995,by far the,10,3,-0.09666735625036578,0.8579518998631683,0.011131521264900586,1.0818879024334869,0.4027999578593275,1.405796521131857,-0.17770466998743342,0.7188637645890653,-5.710986591553256,-5.016472972784887,0.16159514502478353,1.1630463694715198,-0.5,-1.6627906976744187,-0.42449326371509166,-0.6705410719891494,,,,,,,,,,,,,,,,,,
5,5,larger part of the slaves know as little of their ages as horses know,-0.9978170990943908,0.5717011094093323,2.4300830960273743,-0.9536579251289368,0.8768236041069031,0.9823503494262696,-1,0.6089442372322083,larger part of the slaves know as little of their ages as horses know,69,14,-0.04833471825774474,-0.3075596927705822,-0.9904970802903321,-0.5928526549006644,-0.5072637833040453,-0.48192102756697586,0.0700461742984289,-0.32702587575510816,0.0982809702053249,-0.19691324975364208,-0.8157117842328577,-0.5771208127932632,-0.5,-0.3572448251249108,0.04583121929692077,0.01668163700431433,,,,,,,,,,,,,,,,,,
6,6,"of theirs, and it is the wish of most masters within my knowledge to",0.9955549836158752,4.285487413406372,4.599165976047517,0.9988688826560974,1.7275144457817078,0.9904097318649292,1,-0.4543355405330658,of theirs and it is the wish of most masters within my knowledge to,68,14,0.6558818949698141,0.0012040976036749886,0.010600278537982363,-0.0005773948268336217,1.5081327972009895,0.2265935308793509,0.9970280150403559,0.08755519132240609,0.12252749597696388,-0.18971702610033805,0.17123580598453403,0.03906676528292732,0.5,0.3572448251249108,-0.436317047297729,-0.26411478599070504,,,,,,,,,,,,,,,,,,
7,7,keep their slaves thus ignorant.,-0.9957024455070496,0.7777993679046631,0.4133123755455017,-0.983031451702118,-1.4813902974128723,-0.9501637816429138,-1,-1.92997145652771,keep their slaves thus ignorant,32,5,-0.7031015137160443,-0.48895232815228157,-0.9894350737841279,-1.123683113894841,-0.395418434267004,-0.17603600782026835,-2.499655245068276,-2.7732092015640677,-5.715657509529942,-3.446529687257304,-0.8305592788495766,-1.143689476996183,-0.5,-0.999001996007984,-1.1054497759544841,-1.569395495678362,,,,,,,,,,,,,,,,,,
8,8,I do not remember to have ever met a,-0.9974513649940492,3.4482841789722443,0.2394981533288956,-0.9812065958976746,1.8076975345611568,0.7473517060279846,-1,-1.572967529296875,i do not remember to have ever met a,36,9,-0.7595322126200088,-0.6004652758047772,-0.9903134038733394,-0.7572084847877191,1.0537995648202496,0.4319456069494868,1.0844020216616246,0.6155193485925529,-0.6087087658971344,-0.03642701154806369,-0.8296368653741208,-0.7576536999386363,-0.5,-0.5554938956714761,-0.943564984875698,-0.7900491072168846,,,,,,,,,,,,,,,,,,
9,9,slave who could tell of his birthday.,0.9934051036834716,4.45394703745842,4.24319027364254,-0.987076997756958,0.7036489248275757,0.5234507322311401,-1,0.6926881074905396,slave who could tell of his birthday,37,7,0.5403104680556862,0.5536782111615073,0.009520580903609433,0.29352555868059077,1.5995524219387545,1.107242134407299,-0.11865902282371173,-0.0689903823123637,-1.2823113369104016,-0.13994229694032664,-0.8326041890213695,-0.8987293801037105,-0.5,-0.7139800285306704,0.08380519635105332,0.22146485553118092,,,,,,,,,,,,,,,,,,
