,sent_no,sent_raw,jockers_rinker,jockers,huliu,lmcd,nrc,senticnet,sentiword,sent_clean,char_len,token_len,jockers_rinker_medianiqr,jockers_rinker_lnorm_medianiqr,jockers_medianiqr,jockers_lnorm_medianiqr,huliu_medianiqr,huliu_lnorm_medianiqr,lmcd_medianiqr,lmcd_lnorm_medianiqr,nrc_medianiqr,nrc_lnorm_medianiqr,senticnet_medianiqr,senticnet_lnorm_medianiqr,sentiword_medianiqr,sentiword_lnorm_medianiqr,jockers_rinker_roll100,jockers_roll100,huliu_roll100,senticnet_roll100,sentiword_roll100,nrc_roll100,lmcd_roll100,mean_roll100,jockers_rinker_roll100_stdscale,jockers_roll100_stdscale,huliu_roll100_stdscale,senticnet_roll100_stdscale,sentiword_roll100_stdscale,nrc_roll100_stdscale,lmcd_roll100_stdscale
0,1,"CHAPTER I   I was born in Tuckahoe, near Hillsborough, and about twelve miles from Easton, in Talbot county, Maryland.",0.0,0.0,0.0,0.0,0.0,0.190415059112566,0.0573539334676404,chapter i   i was born in tuckahoe near hillsborough and about twelve miles from easton in talbot county maryland,113,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27623269893635183,0.2827810977974987,0.27699996051524944,0.2781768132153166,,,,,,,,,,,,,,,
1,2,"I have no accurate knowledge of my age, never having seen any authentic record containing it.",-0.4,-0.4,-0.5,0.0,-0.75,-0.341,-0.166666666666667,i have no accurate knowledge of my age never having seen any authentic record containing it,91,16,-1.179484428734592,-1.5245344194491146,-1.2615259572167838,-1.630016845751776,-1.4037615866734054,-2.3492686303548798,0.0,0.0,-1.6811765836886583,-2.5598902215997508,-0.9698675841067866,-1.0918284128728803,-0.8049432235004882,-0.959836484437469,,,,,,,,,,,,,,,
2,3,"By far the larger part of the slaves know as little of their ages as horses know of theirs, and it is the wish of most masters within my knowledge to keep their slaves thus ignorant.",-0.18333333333333302,-0.18333333333333302,-0.33333333333333304,0.0,0.0,0.269633333333333,-0.0041666666666666605,by far the larger part of the slaves know as little of their ages as horses know of theirs and it is the wish of most masters within my knowledge to keep their slaves thus ignorant,180,36,-0.5405970298366871,-0.31066110873042574,-0.5781993970576915,-0.332155728391818,-0.9358410577822694,-0.6963212213640951,0.0,0.0,0.0,0.0,0.46198941063649357,0.17177739769601472,-0.020123580587512138,-0.010668551871593882,,,,,,,,,,,,,,,
3,4,I do not remember to have ever met a slave who could tell of his birthday.,0.0125,0.0125,-0.25,0.0,0.0,-0.4205,-0.0104166666666667,i do not remember to have ever met a slave who could tell of his birthday,73,16,0.036858888397956,0.04764170060778483,0.039422686163024495,0.050938026429743,-0.7018807933367027,-1.1746343151774399,0.0,0.0,0.0,0.0,-1.156284906693321,-1.3097961253862862,-0.05030895146878058,-0.05998978027734189,,,,,,,,,,,,,,,
4,5,"They seldom come nearer to it than planting-time, harvest-time, cherry-time, spring-time, or fall-time.",0.0824957911384305,0.0824957911384305,-0.235702260395516,0.0,0.235702260395516,0.9313539117268409,0.684191283648095,they seldom come nearer to it than planting time harvest time cherry time spring time or fall time,98,18,0.2432562527097998,0.2795031157043397,0.26017645470566103,0.29884191608006405,-0.6617395580706354,-0.9844735260943119,0.0,0.0,0.5283428278659043,0.7151570834457146,2.0136394549702135,2.1130580736674007,3.3044108241038006,3.5027057922164984,,,,,,,,,,,,,,,
5,6,A want of information concerning my own was a source of unhappiness to me even during childhood.,0.121267812518166,0.121267812518166,-0.24253562503633302,0.0,0.24253562503633302,0.27576300566631107,-0.156637591169298,a want of information concerning my own was a source of unhappiness to me even during childhood,95,17,0.35758374142970656,0.43502058142643923,0.3824562331664121,0.4651196240161346,-0.680924387651658,-1.0725689810250847,0.0,0.0,0.5436602846951677,0.7791527998801241,0.47636270755028637,0.554722138826126,-0.7565062053429966,-0.8490465827751192,,,,,,,,,,,,,,,
6,7,The white children could tell their ages.,0.15118578920369102,0.15118578920369102,0.0,0.0,0.3779644730092271,-0.153453576041746,-0.20473075621333103,the white children could tell their ages,40,7,0.4458032105292599,1.3160170860753964,0.476811993606903,1.4070722131516038,0.0,0.0,0.0,0.0,0.847233361985782,2.9463502449225794,-0.530095229201418,-1.117791464271941,-0.9887798091363058,-2.692805023646316,,,,,,,,,,,,,,,
7,8,I could not tell why I ought to be deprived of the same privilege.,-0.13363062095621198,-0.13363062095621198,0.0,-0.26726124191242395,0.0,0.412384096270871,-0.033407655239052994,i could not tell why i ought to be deprived of the same privilege,65,14,-0.3940380915499662,-0.5820180126789889,-0.4214462425381463,-0.622287796913455,0.0,0.0,-0.26726124191242395,-0.019076462663270802,0.0,0.0,0.7967216750893356,1.135154724847435,-0.16134759418629743,-0.21986074543503403,,,,,,,,,,,,,,,
8,9,I was not allowed to make any inquiries of my master concerning it.,0.27735009811261496,0.0,0.27735009811261496,0.0,0.27735009811261496,-0.0163636557886443,0.0901387818865997,i was not allowed to make any inquiries of my master concerning it,66,13,0.8178253050796018,1.3008271773006208,0.0,0.0,0.7786668275811781,1.6036331838278632,0.0,0.0,0.6216993205742403,1.1649369945101324,-0.20863691615506907,-0.2121079326852438,0.43533960992524107,0.6388137044713269,,,,,,,,,,,,,,,
9,10,"He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.",-0.458393935387457,-0.458393935387457,-0.8944271909999159,-0.22360679774997896,0.0,0.159431646795735,0.0,he deemed all such inquiries on the part of a slave improper and impertinent and evidence of a restless spirit,110,20,-1.3516712725396904,-1.3978492863518535,-1.4456896203050755,-1.4945663774511264,-2.511125065603758,-3.3624196270524815,-0.22360679774997896,-0.011174752511243325,0.0,0.0,0.2035805634810274,0.19284107654821217,0.0,0.0,,,,,,,,,,,,,,,
10,11,The nearest estimate I can give makes me now between twenty-seven and twenty-eight years of age.,0.0,0.0,0.0,0.0,0.0,0.152027957955108,0.176776695296637,the nearest estimate i can give makes me now between twenty seven and twenty eight years of age,95,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1862198609535622,0.2136346184313474,0.8537712177110298,0.9050053243047412,,,,,,,,,,,,,,,
11,12,"I come to this, from hearing my master say, some time during 1835, I was about seventeen years old.",0.235702260395516,0.0,0.235702260395516,0.0,0.0,0.0704749758582593,0.412478955692153,i come to this from hearing my master say some time during  i was about seventeen years old,91,18,0.6950178648851432,0.7985803305838286,0.0,0.0,0.6617395580706354,0.9844735260943119,0.0,0.0,0.0,0.0,-0.005011441831873233,0.014868432999555474,1.9921328413257362,2.111679090044396,,,,,,,,,,,,,,,
12,13,My mother was named Harriet Bailey.,0.0,0.0,0.0,0.0,0.0,0.0236784008469041,0.0,my mother was named harriet bailey,34,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1147434194398828,0.01604180524992853,0.0,0.0,,,,,,,,,,,,,,,
13,14,"She was the daughter of Isaac and Betsey Bailey, both colored, and quite dark.",-0.128285396117964,-0.128285396117964,-0.481070235442364,0.0,0.26726124191242395,-0.241336901446919,-0.33073578686662497,she was the daughter of isaac and betsey bailey both colored and quite dark,75,14,-0.37827656788796904,-0.5587372921718317,-0.404588392836622,-0.5973962850369192,-1.3506158340118433,-2.582999720497664,0.0,0.0,0.5990844555076227,1.0424356536707453,-0.7361703766483805,-0.9130372930888948,-1.5973411824443462,-2.1766213798068392,,,,,,,,,,,,,,,
14,15,My mother was of a darker complexion than either my grandmother or grandfather.,0.0,0.0,-0.27735009811261496,0.0,0.27735009811261496,-0.0105393037282794,-0.0346687622640768,my mother was of a darker complexion than either my grandmother or grandfather,78,13,0.0,0.0,0.0,0.0,-0.7786668275811781,-1.6036331838278632,0.0,0.0,0.6216993205742403,1.1649369945101324,-0.19497955619413085,-0.19245684055535595,-0.16743831150970806,-0.245697578642818,,,,,,,,,,,,,,,
15,16,My father was a white man.,0.163299316185545,0.163299316185545,0.0,0.0,0.40824829046386296,-0.20494064181285898,-0.11907241805196,my father was a white man,25,6,0.48152250165964267,1.6579768741430325,0.5150158154095397,1.7726921742419994,0.0,0.0,0.0,0.0,0.9151166216783629,3.7119431205678444,-0.6508258071748481,-1.6537191423248856,-0.5750792161004533,-1.8267391534390205,,,,,,,,,,,,,,,
16,17,He was admitted to be such by all I ever heard speak of my parentage.,0.154919333848297,0.154919333848297,0.0,0.0,0.258198889747161,0.313453452153054,0.0,he was admitted to be such by all i ever heard speak of my parentage,68,15,0.4568123549600054,0.629786726449802,0.4885869023108984,0.673361624537797,0.0,0.0,0.0,0.0,0.5787705698364489,0.9399940144434937,0.5647419795144332,0.7597632370115965,0.0,0.0,,,,,,,,,,,,,,,
17,18,"The opinion was also whispered that my master was my father; but of the correctness of this opinion, I know nothing; the means of knowing was withheld from me.",0.297112541083283,0.111417202906231,0.185695338177052,0.0,0.371390676354104,-0.203661362145682,-0.150877462268855,the opinion was also whispered that my master was my father but of the correctness of this opinion i know nothing the means of knowing was withheld from me,155,29,0.8760990394737477,0.6249450455236625,0.3513892338667492,0.2505693555218581,0.5213439651145463,0.48151218247829375,0.0,0.0,0.8324977446490837,0.6995756390340315,-0.6478260601258604,-0.46505844494412046,-0.7286867449935912,-0.47953076822531543,,,,,,,,,,,,,,,
18,19,My mother and I were separated when I was but an infantbefore I knew her as my mother.,0.309711240725258,0.309711240725258,0.0,0.0,0.516185401208764,-0.0531097423910351,-0.0286769667338202,my mother and i were separated when i was but an infantbefore i knew her as my mother,86,18,0.9132489645987817,1.049329372526499,0.9767719235418222,1.1219323959759404,0.0,0.0,0.0,0.0,1.1570650791388124,1.5661862785119833,-0.29480178508526556,-0.286340209437374,-0.13849998025762472,-0.14681124983962157,,,,,,,,,,,,,,,
19,20,"It is a common custom, in the part of Maryland from which I ran away, to part children from their mothers at a very early age.",0.0,0.0,0.0,0.0,0.0,0.26871832836633996,0.0503037886629442,it is a common custom in the part of maryland from which i ran away to part children from their mothers at a very early age,123,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45984384112579896,0.2965981176816322,0.24295016280382525,0.17832005092102704,,,,,,,,,,,,,,,
