,sent_no,sent_raw,roberta15lg,yelp,nlptown,huggingface,hinglish,imdb2way,t5imdb50k,robertaxml8lang
0,0,"I was born in Tuckahoe, near Hillsborough, and about twelve miles from Easton, in Talbot county, Maryland.",0.9925077557563782,4.359461218118668,2.2475660294294357,0.6766218543052673,0.8818763494491577,0.9299007058143616,1,0.7508149743080139
1,1,"I have no accurate knowledge of my age, never having seen any authentic record containing it.",-0.9990002512931824,0.544323742389679,1.4573456048965454,-0.9995265007019043,-0.4561706781387329,0.9029298424720764,-1,0.5420477390289307
2,2,"By far the larger part of the slaves know as little of their ages as horses know of theirs, and it is the wish of most masters within my knowledge to keep their slaves thus ignorant.",-0.9961696267127991,0.6715612411499023,2.346543163061142,-0.6809160709381104,1.539682149887085,0.9854679107666016,-1,-1.620375394821167
3,3,I do not remember to have ever met a slave who could tell of his birthday.,-0.996809184551239,4.465884983539581,1.2685458660125732,-0.9650383591651917,1.4960456490516663,-0.8195992708206177,-1,-1.4961040318012238
4,4,"They seldom come nearer to it than planting-time, harvest-time, cherry-time, spring-time, or fall-time.",0.9962097406387329,3.3783366680145264,2.4334148168563843,-0.9899072647094727,0.8930291533470154,0.9947249293327332,1,0.7253572940826416
5,5,A want of information concerning my own was a source of unhappiness to me even during childhood.,-0.9942503571510315,1.3632003664970398,0.43093258142471313,-0.9866891503334045,1.9701759219169617,0.7846252918243408,-1,-1.8638715147972107
6,6,The white children could tell their ages.,0.9957501888275146,0.5762622356414795,3.3840444684028625,-0.6359898447990417,0.9074008464813232,-0.9888880848884583,1,0.5483657121658325
7,7,I could not tell why I ought to be deprived of the same privilege.,-0.9963852763175964,0.8537445068359375,1.3844336867332458,-0.997553825378418,-1.607613444328308,0.9737589955329895,-1,-1.9240611791610718
8,8,I was not allowed to make any inquiries of my master concerning it.,-0.998844563961029,0.8215959668159485,1.3980011940002441,-0.9969161152839661,-1.7079361081123352,0.9397987127304077,-1,-1.5305749773979187
9,9,"He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.",-0.9987067580223083,0.7395594120025635,0.6378947496414185,-0.9958999752998352,1.5798768401145935,0.9640535712242126,-1,-1.8766206502914429
10,10,The nearest estimate I can give makes me now between twenty-seven and twenty-eight years of age.,0.9704143404960632,0.5885026454925537,2.3383733332157135,-0.98687344789505,0.9143475890159607,0.9797928929328918,1,0.7766720056533813
11,11,"I come to this, from hearing my master say, some time during , I was about seventeen years old.",0.9833731651306152,3.3330166339874268,4.482924789190292,0.8181350231170654,0.9164338707923889,0.9926703572273254,1,0.7045342922210693
12,12,My mother was named Harriet Bailey.,0.9742758870124817,3.330062508583069,4.272469699382782,0.8921607732772827,0.6415325403213501,0.7721041440963745,1,0.7603615522384644
13,13,"She was the daughter of Isaac and Betsey Bailey, both colored, and quite dark.",0.9876362681388855,1.3331133425235748,2.357894778251648,-0.8024719953536987,0.8662484884262085,0.9738752841949463,1,0.5762305855751038
14,14,My mother was of a darker complexion than either my grandmother or grandfather.,0.9941509366035461,0.4795234501361847,2.3474252820014954,-0.9162284731864929,0.8369325399398804,0.8181462287902832,-1,-1.5134419202804565
15,15,My father was a white man.,-0.9846758842468262,0.4574428200721741,4.2562034130096436,-0.568352997303009,0.8014745712280273,-0.5929549932479858,1,0.604744553565979
16,16,He was admitted to be such by all I ever heard speak of my parentage.,0.7057902812957764,0.913347065448761,4.56617546081543,0.9442795515060425,0.8692711591720581,0.9927222728729248,1,0.539236843585968
