,sent_no,sent_raw,syuzhet,bing,afinn,nrc,char_len,token_len,sent_clean,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,syuzhet_roll10,bing_roll10,afinn_roll10,nrc_roll10,mean_roll10,syuzhet_roll10_stdscale,bing_roll10_stdscale,afinn_roll10_stdscale,nrc_roll10_stdscale,syuzhet_roll100,syuzhet_stdscaler_roll10,bing_roll100,bing_stdscaler_roll10,afinn_roll100,afinn_stdscaler_roll10,nrc_roll100,nrc_stdscaler_roll10
0,1,"0,""I was born in Tuckahoe, near Hillsborough, and about twelve miles from Easton, in Talbot county, Maryland.""",0.0,0,0,0,110,17,   i was born in tuckahoe  near hillsborough  and about twelve miles from easton  in talbot county  maryland  ,0.034986578921596574,0.0,0.017778794145760165,0.0,0.09018128141396221,0.0,0.05652376113362837,0.0,0.155025709531822,0.0,0.11886667894275801,0.0,-0.1049517028805107,0.0,-0.1098535120007892,0.0,,,,,,,,,,,,,,,,,
1,2,"1,""I have no accurate knowledge of my age, never having seen any authentic record containing it.""",1.6,2,-1,3,97,16,   i have no accurate knowledge of my age  never having seen any authentic record containing it  ,1.3791082339919816,1.28,1.4355572792060385,1.5,1.4867501165219275,1.0,1.5785996238044824,1.7542372881355932,-0.18003625934105316,-0.3333333333333333,-0.22975117953053964,-0.4878207512086278,1.863475791145068,1.5,2.0063530311032083,2.1239685467430345,,,,,,,,,,,,,,,,,
2,3,"2,""By far the larger part of the slaves know as little of their ages as horses know of theirs, and it is the wish of most masters within my knowledge to keep their slaves thus ignorant.""",-0.5,-1,-4,0,186,36,   by far the larger part of the slaves know as little of their ages as horses know of theirs  and it is the wish of most masters within my knowledge to keep their slaves thus ignorant  ,-0.3850514382878987,-0.4,-0.17913488433483402,-0.20833333333333331,-0.6081031361400204,-0.5,-0.28171531945989475,-0.3898305084745763,-1.1852221659596789,-1.3333333333333333,-0.5008984027875489,-0.8672368910375605,-0.1049517028805107,0.0,-0.1098535120007892,0.0,,,,,,,,,,,,,,,,,
3,4,"3,I do not remember to have ever met a slave who could tell of his birthday.",0.05,-1,-3,0,76,16,  i do not remember to have ever met a slave who could tell of his birthday ,0.07699038064254611,0.04,0.06208437180389387,0.046875,-0.6081031361400204,-0.5,-0.7045141702017986,-0.8771186440677966,-0.8501601970868037,-1.0,-0.926986896477135,-1.4634622536258834,-0.1049517028805107,0.0,-0.1098535120007892,0.0,,,,,,,,,,,,,,,,,
4,5,"4,""They seldom come nearer to it than planting-time, harvest-time, cherry-time, spring-time, or fall-time.""",0.0,-1,0,1,107,13,   they seldom come nearer to it than planting time  harvest time  cherry time  spring time  or fall time  ,0.034986578921596574,0.0,0.017778794145760165,0.0,-0.6081031361400204,-0.5,-0.8801383082022818,-1.0795306388526729,0.155025709531822,0.0,0.11886667894275801,0.0,0.5511907951280155,0.5,0.758333787734184,0.8713717114843219,,,,,,,,,,,,,,,,,
5,6,"5,A want of information concerning my own was a source of unhappiness to me even during childhood.",0.5,-1,-1,1,98,17,  a want of information concerning my own was a source of unhappiness to me even during childhood ,0.45502459613109186,0.4,0.4347724662223126,0.4411764705882353,-0.6081031361400204,-0.5,-0.6597472330644206,-0.8255234297108675,-0.18003625934105316,-0.3333333333333333,-0.2092442466791692,-0.4591254129022379,0.5511907951280155,0.5,0.5540544230906609,0.6663430734880108,,,,,,,,,,,,,,,,,
6,7,"6,The white children could tell their ages.",0.4,0,0,1,43,7,  the white children could tell their ages ,0.3710169926891928,0.32,0.8279379284659192,0.8571428571428572,0.09018128141396221,0.0,0.05652376113362837,0.0,0.155025709531822,0.0,0.11886667894275801,0.0,0.5511907951280155,0.5,1.5024943303641611,1.618261749899455,,,,,,,,,,,,,,,,,
7,8,"7,I could not tell why I ought to be deprived of the same privilege.",-0.5,0,0,0,68,14,  i could not tell why i ought to be deprived of the same privilege ,-0.3850514382878987,-0.4,-0.4885706648043392,-0.5357142857142857,0.09018128141396221,0.0,0.05652376113362837,0.0,0.155025709531822,0.0,0.11886667894275801,0.0,-0.1049517028805107,0.0,-0.1098535120007892,0.0,,,,,,,,,,,,,,,,,
8,9,"8,I was not allowed to make any inquiries of my master concerning it.",0.0,1,0,1,69,13,  i was not allowed to make any inquiries of my master concerning it ,0.034986578921596574,0.0,0.017778794145760165,0.0,0.7884656989679448,0.5,0.9931858304695387,1.0795306388526729,0.155025709531822,0.0,0.11886667894275801,0.0,0.5511907951280155,0.5,0.758333787734184,0.8713717114843219,,,,,,,,,,,,,,,,,
9,10,"9,""He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.""",-2.05,-4,-6,0,116,20,   he deemed all such inquiries on the part of a slave improper and impertinent  and evidence of a restless spirit  ,-1.6871692916373338,-1.64,-1.435444153041025,-1.5374999999999999,-2.7029563888019683,-2.0,-2.378797619139738,-2.8067796610169493,-1.855346103705429,-2.0,-1.5544990417290707,-2.3415396058014135,-0.1049517028805107,0.0,-0.1098535120007892,0.0,,,,,,,,,,,,,,,,,
10,11,"10,The nearest estimate I can give makes me now between twenty-seven and twenty-eight years of age.",0.0,0,0,0,99,16,  the nearest estimate i can give makes me now between twenty seven and twenty eight years of age ,0.034986578921596574,0.0,0.017778794145760165,0.0,0.09018128141396221,0.0,0.05652376113362837,0.0,0.155025709531822,0.0,0.11886667894275801,0.0,-0.1049517028805107,0.0,-0.1098535120007892,0.0,,,,,,,,,,,,,,,,,
11,12,"11,""I come to this, from hearing my master say, some time during , I was about seventeen years old.""",0.0,1,0,0,100,19,   i come to this  from hearing my master say  some time during   i was about seventeen years old  ,0.034986578921596574,0.0,0.017778794145760165,0.0,0.7884656989679448,0.5,0.6973978085739879,0.7386262265834077,0.155025709531822,0.0,0.11886667894275801,0.0,-0.1049517028805107,0.0,-0.1098535120007892,0.0,,,,,,,,,,,,,,,,,
