,sent_clean
0,the boy and the goddess tell me about a complicated man  muse  tell me how he wandered and was lost when he had wrecked the holy town of troy  and where he went  and who he met  the pain he suffered in the storms at sea  and how he worked to save his life and bring his men back home 
1,he failed to keep them safe  poor fools  they ate the sun god s cattle  and the god kept them from home 
2,now goddess  child of zeus  tell the old story for our modern times 
3,find the beginning 
4,all the other greeks who had survived the brutal sack of troy sailed safely home to their own wives except this man alone 
5,calypso  a great goddess  had trapped him in her cave  she wanted him to be her husband 
6,when the year rolled round in which the gods decreed he should go home to ithaca  his troubles still went on 
7,the man was friendless 
8,all the gods took pity  except poseidon s anger never ended
9,until odysseus was back at home 
10,but now the distant ethiopians  who live between the sunset and the dawn  were worshipping the sea god with a feast  a hundred cattle and a hundred rams 
11,there sat the god  delighting in his banquet 
12,the other gods were gathered on olympus  in father zeus palace 
13,he was thinking of fine  well born aegisthus  who was killed by agamemnon s famous son orestes 
14,he told the deathless gods  this is absurd  that mortals blame the gods  they say we because their suffering  but they themselves increase it by folly 
15,so aegisthus overstepped  he took the legal wife of agamemnon  then killed the husband when he came back home  although he knew that it would doom them all 
16,we gods had warned aegisthus  we sent down perceptive hermes  who flashed into sight and told him not to murder agamemnon
17,or court his wife  orestes would grow up and come back to his home to take revenge 
18,aegisthus would not hear that good advice 
19,but now his death has paid all debts 
20,athena looked at him steadily and answered  father  he did deserve to die 
21,bring death to all who act like him  but i am agonizing about odysseus and his bad luck 
22,for too long he has suffered  with no friends  sea all around him  sea on every side 
23,out on an island where a goddess lives  daughter of fearful atlas  who holds up the pillars of the sea  and knows its depths those pillars keep the heaven and earth apart 
24,his daughter holds that poor unhappy man  and tries beguiling him with gentle words to cease all thoughts of ithaca  but he longs to see even just the smoke that rises from his own homeland  and he wants to die 
25,you do not even care  olympian 
26,remember how he sacrificed to you on the broad plain of troy beside his ships 
27,so why do you dismiss odysseus 
28,daughter  the cloud god said  you must be joking  since how could i forget odysseus 
29,he is more sensible than other humans  and makes more sacrifices to the gods 
30,but lord poseidon rages  unrelenting  because odysseus destroyed the eye of godlike polyphemus  his own son 
31,the strongest of the cyclopes whose mother  tho sa  is a sea nymph  child of phorcys  the sea king  and she lay beside poseidon inside a hollow cave 
32,so now poseidon prevents odysseus from reaching home but does not kill him 
33,come then  we must plan  how can he get back home 
34,poseidon must give up his anger  since he cannot fight alone against the will of all the gods 
35,athena s eyes lit up and she replied 
36,great father  if the blessed gods at last will let odysseus return back home  then hurry  we must send our messenger  hermes the giant slayer 
37,he must swoop down to ogygia right away and tell the beautiful calypso we have formed a firm decision that odysseus has waited long enough 
38,he must go home 
39,and i will go to ithaca to rouse the courage of his son  and make him call
40,a meeting  and speak out against the suitors who kill his flocks of sheep and longhorn cattle unstoppably 
41,then i will send him off to pylos and to sparta  to seek news about his father s journey home  and gain a noble reputation for himself 
42,with that  she tied her sandals on her feet  the marvelous golden sandals that she wears to travel sea and land  as fast as wind 
43,she took the heavy bronze tipped spear she uses
44,to tame the ranks of warriors with whom she is enraged 
45,then from the mountain down she sped to ithaca  and stopped outside odysseus court  bronze spear in hand 
46,she looked like mentes now  the taphian leader  a guest friend 
47,there she found the lordly suitors sitting on hides they killed the cows themselves and playing checkers 
48,quick  attentive house slaves were waiting on them 
49,some were mixing wine with water in the bowls  and others brought
50,the tables out and wiped them off with sponges  and others carved up heaping plates of meat 
51,telemachus was sitting with them  feeling dejected 
52,in his mind he saw his father coming from somewhere  scattering the suitors  and gaining back his honor  and control of all his property 
53,with this in mind  he was the first to see athena there 
54,he disapproved of leaving strangers stranded  so he went straight to meet her at the gate 
55,and shook her hand  and took her spear of bronze  and let his words fly out to her 
56,good evening  stranger  and welcome 
57,be our guest  come share our dinner  and then tell us what you need 
58,he led her in  and pallas followed him 
59,inside the high roofed hall  he set her spear beside a pillar in a polished stand  in which odysseus kept stores of weapons 
60,and then he led her to a chair and spread a smooth embroidered cloth across the seat 
61,and pulled a footstool up to it 
62,he sat beside her on a chair of inlaid wood  a distance from the suitors  so their shouting would not upset the stranger during dinner  also to ask about his absent father 
63,a girl brought washing water in a jug of gold  and poured it on their hands and into a silver bowl  and set a table by them 
64,a deferential slave brought bread and laid a wide array of food  a generous spread 
65,the carver set beside them plates of meat of every kind  and gave them golden cups 
66,the cup boy kept on topping up the wine 
67,the suitors sauntered in and sat on chairs  observing proper order  and the slaves poured water on their hands 
68,the house girls brought baskets of bread and heaped it up beside them  and house boys filled their wine bowls up with drink 
69,they reached to take the good things set before them 
70,once they were satisfied with food and drink 
71,the suitors turned their minds to other things singing and dancing  glories of the feast 
72,a slave brought out a well tuned lyre and gave it to phemius  the man the suitors forced to sing for them 
73,he struck the chords to start his lovely song 
74,telemachus leaned in close to athena  so they would not hear  and said  dear guest excuse my saying this these men are only interested in music a life of ease 
75,they make no contribution 
76,this food belongs to someone else  a man whose white bones may be lying in the rain or sunk beneath the waves 
77,if they saw him return to ithaca  they would all pray for faster feet  instead of wealth and gold and fancy clothes 
78,in fact  he must have died 
79,we have no hope 
80,he will not come back home 
81,if someone says so  we do not believe it 
82,but come now  tell me this and tell the truth 
83,who are you 
84,from what city  and what parents 
85,what kind of ship did you here arrive on 
86,what sailors brought you here  and by what route 
87,you surely did not travel here on foot  here is the thing i really want to know  have you been here before 
88,are you a friend who visited my father 
89,many men came to his house 
90,he traveled many places 
91,athena s clear bright eyes met his 
92,she said  yes  i will tell you everything 
93,i am mentes  the son of wise anchialus 
94,lord of the taphians  who love the oar 
95,i traveled with my ship and my companions over the wine dark sea to foreign lands  with iron that i hope to trade for copper in temese 
96,my ship is in the harbor far from the town  beneath the woody hill 
97,and you and i are guest friends through our fathers  from long ago laertes can confirm it 
98,i hear that fine old man no longer comes to town  but lives out in the countryside 
99,stricken by grief  with only one old slave  who gives him food and drink when he trails back leg weary from his orchard  rich in vines 
100,i came because they told me that your father was here but now it seems that gods have blocked his path back home 
101,but i am sure that he is not yet dead 
102,the wide sea keeps him trapped upon some island  captured by fierce men who will not let him go 
103,now i will make a prophecy the gods have given me 
104,and i think it will all come true  although i am no prophet 
105,he will not be gone much longer from his own dear native land  even if chains of iron hold him fast 
106,he will devise a means of getting home 
107,he is resourceful 
108,tell me now are you odysseus son 
109,you are so tall  your handsome face and eyes resemble his 
110,we often met and knew each other well  before he went to troy  where all the best
111,leaders of argos sailed in hollow ships 
112,from that time on  we have not seen each other 
113,telemachus was careful as he answered 
114,dear guest  i will be frank with you 
