,model,type,sent_no,sent_raw,sentiment,sentiment100,token_len,sent_raw_abbr
295,transformer_roberta15lg,valley,341,"disaster rolls their way! odysseus will not be absent from his friends for long; already he is near and sows the seeds of death for all of them, and more disaster for many others in bright ithaca.",0.04621025988121694,20,37,disaster rolls their way! odysseus will not be absent from his friends for long; already he is near 
111,baseline_textblob,valley,343,that would be best for them as well by far.,0.03403192174529485,20,10,that would be best for them as well by far.
16,baseline_sentimentr,valley,344,i am experienced at prophecy;,0.03755580055277705,20,5,i am experienced at prophecy;
200,sentimentr_jockers,valley,344,i am experienced at prophecy;,0.3816006943430563,23,5,i am experienced at prophecy;
231,sentimentr_jockers,valley,344,i am experienced at prophecy;,0.3733915489130641,23,5,i am experienced at prophecy;
262,syuzhetr_syuzhet,valley,344,i am experienced at prophecy;,0.4381107209818814,24,5,i am experienced at prophecy;
79,baseline_vader,valley,346,"i told him when he left for troy with all the argives, he would suffer most terribly, and all his men would die, but in the twentieth year he would come home, unrecognized.",0.024131665851753765,20,33,"i told him when he left for troy with all the argives, he would suffer most terribly, and all his me"
141,baseline_flair,valley,347,now it is coming true.,0.06614650044692844,20,5,now it is coming true.
95,baseline_textblob,peak,388,"the crowd broke up; the ithacans went home; the suitors, to odysseus house.",0.09282406314236386,20,13,"the crowd broke up; the ithacans went home; the suitors, to odysseus house."
126,baseline_flair,peak,395,"how capable he was, in word and deed! your journey will succeed, if you are his.",0.11321545002590976,21,16,"how capable he was, in word and deed! your journey will succeed, if you are his."
62,baseline_vader,peak,404,i will equip a good swift ship for you.,0.0829539759025001,20,9,i will equip a good swift ship for you.
170,baseline_stanza,valley,415,Antinous began to laugh.,-0.05241805240861429,19,4,Antinous began to laugh.
278,transformer_roberta15lg,peak,429,"with sneers they said, oh no! telemachus is going to kill us! he will bring supporters from pylos or from sparta he is quite determined! or indeed he may be fetching some lethal poisons from the fertile fields of ephyra, to mix up in our wine-bowl and kill us all! another proud young man",0.42252554637212336,24,54,"with sneers they said, oh no! telemachus is going to kill us! he will bring supporters from pylos or"
46,baseline_sentiword,valley,457,"the goddess dragged the ship into the water, and she loaded",0.03482339013521404,20,11,"the goddess dragged the ship into the water, and she loaded"
310,transformer_huggingface,peak,471,"then the crew released the ropes and boarded, each at oar.",0.6125164309231829,26,11,"then the crew released the ropes and boarded, each at oar."
32,baseline_sentiword,peak,484,"they burned the thigh-bones for the god, and ate the innards.",0.07813843369973156,20,11,"they burned the thigh-bones for the god, and ate the innards."
185,sentimentr_jockers,peak,484,"they burned the thigh-bones for the god, and ate the innards.",1.1850240213607182,31,11,"they burned the thigh-bones for the god, and ate the innards."
216,sentimentr_jockers,peak,484,"they burned the thigh-bones for the god, and ate the innards.",1.1068287051018897,30,11,"they burned the thigh-bones for the god, and ate the innards."
247,syuzhetr_syuzhet,peak,484,"they burned the thigh-bones for the god, and ate the innards.",1.2221518050763143,32,11,"they burned the thigh-bones for the god, and ate the innards."
326,transformer_huggingface,valley,524,"athena gave him the confidence deep in his heart to ask about his absent father, and to gain a noble reputation for himself.",0.18044613259454875,21,23,"athena gave him the confidence deep in his heart to ask about his absent father, and to gain a noble"
157,baseline_stanza,peak,632,and where was menelaus?,0.01075923876974143,20,4,and where was menelaus?
0,baseline_sentimentr,peak,646,"and meanwhile, i left troy with menelaus; we sailed together, best of friends.",0.13766688944820157,21,13,"and meanwhile, i left troy with menelaus; we sailed together, best of friends."
80,baseline_vader,valley,686,but nestor called to stop them.,0.07586133294863111,20,6,but nestor called to stop them.
96,baseline_textblob,peak,731,"and another, go to telemachus ship and bring the men leave only two behind.",0.04518340372523422,20,14,"and another, go to telemachus ship and bring the men leave only two behind."
279,transformer_roberta15lg,peak,772,"at sunset when the streets grew dark, they came to pherae, to the home of diocles, son of ortilochus; alpheus was his grandfather.",1.1383833821592284,31,23,"at sunset when the streets grew dark, they came to pherae, to the home of diocles, son of ortilochus"
63,baseline_vader,peak,786,telemachus and nestor s son stopped by the palace doors,0.10448484118374166,20,10,telemachus and nestor s son stopped by the palace doors
