,sent_no,sent_raw,roberta15lg,yelp,nlptown,huggingface,hinglish,imdb2way,t5imdb50k,robertaxml8lang
0,0,"The boy and the goddess tell me about a complicated man. muse, tell me how he wandered and was lost when he had wrecked the holy town of troy, and where he went, and who he met, the pain he suffered in the storms at sea, and how he worked to save his life and bring his men back home.",0.998041570186615,4.942749321460724,3.4833074808120728,0.9885701537132263,-1.555043339729309,0.9987084269523621,1,-1.4782327115535736
1,1,"he failed to keep them safe; poor fools, they ate the sun god s cattle, and the god kept them from home.",-0.9993276596069336,0.9431575536727905,0.5948889851570129,-0.9988313913345337,-1.7636187672615051,-0.9990630745887756,-1,-1.9435504078865051
2,2,"now goddess, child of zeus, tell the old story for our modern times.",0.997150719165802,4.845558166503906,4.660708069801331,0.9994102120399475,0.6148658990859985,0.9984635710716248,1,1.556052565574646
3,3,Find the beginning.,0.9925083518028259,0.4703747034072876,3.3555890917778015,0.9867621660232544,0.5735384821891785,0.9977412819862366,0,-0.46585357189178467
4,4,all the other greeks who had survived the brutal sack of troy sailed safely home to their own wives except this man alone.,-0.9783466458320618,0.41088345646858215,0.2756980359554291,0.998659074306488,0.5253347754478455,0.9689218401908875,-1,-1.6178339719772339
5,5,"calypso, a great goddess, had trapped him in her cave; she wanted him to be her husband.",0.9850282669067383,4.75063955783844,3.3009413480758667,-0.6401553750038147,1.842147171497345,0.8531582951545715,-1,1.5031262040138245
6,6,"when the year rolled round in which the gods decreed he should go home to ithaca, his troubles still went on.",-0.9936772584915161,1.3595475852489471,2.2703986167907715,-0.9687662720680237,-1.706712245941162,0.9354010820388794,-1,-1.5415694117546082
7,7,the man was friendless.,-0.9993715882301331,1.4216332137584686,0.4620152413845062,-0.9790028929710388,-1.460313618183136,-0.5349693298339844,-1,-1.9271183013916016
8,8,"all the gods took pity, except poseidon s anger never ended",-0.9896020889282227,0.3988548815250397,0.30678457021713257,0.6511841416358948,-1.823549747467041,0.9656906723976135,-1,-1.8462882041931152
9,9,Until odysseus was back at home.,0.988549530506134,2.257501393556595,1.2358579635620117,0.8785792589187622,0.8673574328422546,0.9094522595405579,0,0.5201063752174377
