"","sent_raw","syuzhet","bing","afinn","nrc"
"1","0,Sixty million and more",0,0,0,0
"2","1,""I will call them my people, which were not my people; and her beloved, which was not beloved.""",0.5,1,3,0
"3","2,ROMANS :",0,0,0,0
"4","3,WAS SPITEFUL.",-0.75,-1,-2,-1
"5","4,Full of a baby's venom.",-0.75,-1,0,0
"6","5,The women in the house knew it and so did the children.",0,0,0,0
"7","6,""For years each put up with the spite in his own way, but by Sethe and her daughter Denver were its only victims.""",-0.65,-1,-3,0
"8","7,""The grandmother, Baby Suggs, was dead, and the sons, Howard and Buglar, had run away by the time they were thirteen years old--as soon as merely looking in a mirror shattered it (that was the signal for Buglar); as soon as two tiny hand prints appeared in the cake (that was it for Howard). Neither boy waited to see more; another kettleful of chickpeas smoking in a heap on the floor; soda crackers crumbled and strewn in a line next to the door sill. Nor did they wait for one of the relief periods: the weeks, months even, when nothing was disturbed. No. Each one fled at once--the moment the house committed what was for him the one insult not to be borne or witnessed a second time.""",-2.45,-2,-9,-1
"9","8,""Within two months, in the dead of winter, leaving their grandmother, Baby Suggs; Sethe, their mother; and their little sister, Denver, all by themselves in the gray and white house on Bluestone Road.""",0.6,-1,-4,3
"10","9,""It didn't have a number then, because Cincinnati didn't stretch that far.""",0,0,0,0
"11","10,""In fact, Ohio had been calling itself a state only seventy years when first one brother and then the next stuffed quilt packing into his hat, snatched up his shoes, and crept away from the lively spite the house felt for them.""",-0.75,-1,2,0
"12","11,Baby Suggs didn't even raise her head.",0.6,0,0,1
"13","12,From her sickbed she heard them go but that wasn't the reason she lay still.",0.6,0,0,1
"14","13,It was a wonder to her that her grandsons had taken so long to realize that every house wasn't like the one on Bluestone Road.",0.5,2,2,0
"15","14,""Suspended between the nas tiness of life and the meanness of the dead, she couldn't get interested in leaving life or living it, let alone the fright of two creeping-off boys.""",-3.45,-4,-6,0
"16","15,""Her past had been like her present-- intolerable--and since she knew death was anything but forgetfulness, she used the little energy left her for pondering color.""",-0.8,-2,0,-1
"17","16,""""""Bring a little lavender in, if you got any. Pink, if you don't.""""""",0,0,0,0
"18","17,And Sethe would oblige her with anything from fabric to her own tongue.",-0.1,0,0,-1
"19","18,Winter in Ohio was especially rough if you had an appetite for color.",-0.25,-1,0,0
"20","19,Sky",0,0,0,1
"21","20,""provided the only drama, and counting on a Cincinnati horizon for life's principal joy was reckless indeed.""",0.4,0,1,2
"22","21,""So Sethe and the girl Denver did what they could, and what the house permitted, for her.""",0,0,0,0
"23","22,""Together they waged a perfunctory battle against the outrageous behavior of that place; against turned-over slop jars, smacks on the behind, and gusts of sour air.""",-3,-3,-4,-3
"24","23,For they understood the source of the outrage as well as they knew the source of light.",-0.2,0,-3,-1
"25","24,""Baby Suggs died shortly after the brothers left, with no interest whatsoever in their leave-taking or hers, and right afterward Sethe and Denver decided to end the persecution by calling forth the ghost that tried them so.""",0.3,-1,-5,0
"26","25,""Perhaps a conversation, they thought, an exchange of views or something would help.""",0.25,0,2,1
"27","26,""So they held hands and said, """"Come on. Come on. You may as well just come on.""""""",0.8,1,0,0
"28","27,The sideboard took a step forward but nothing else did.",0.6,0,0,1
"29","28,""""""Grandma Baby must be stopping it,"""" said Denver.""",0.2,0,-1,1
"30","29,She was ten and still mad at Baby Suggs for dying.",-0.65,-2,-6,-1
"31","30,Sethe opened her eyes.",0,0,0,0
"32","31,""""""I doubt that,"""" she said.""",-0.75,-1,-1,-1
"33","32,""""""Then why don't it come?""""""",0,0,0,0
"34","33,""""""You forgetting how little it is,"""" said her mother.""",0,0,0,0
