,parag_no,sect_no,parag_raw,parag_clean,char_len,token_len,sentimentr,sentimentr_stdscaler,sentimentr_medianiqr,sentimentr_lnorm_stdscaler,sentimentr_lnorm_medianiqr,syuzhet,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,sentiword,sentiword_stdscaler,sentiword_medianiqr,sentiword_lnorm_stdscaler,sentiword_lnorm_medianiqr,senticnet,senticnet_stdscaler,senticnet_medianiqr,senticnet_lnorm_stdscaler,senticnet_lnorm_medianiqr,nrc,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,afinn,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,scores,vader,vader_stdscaler,vader_medianiqr,vader_lnorm_stdscaler,vader_lnorm_medianiqr,textblob,textblob_stdscaler,textblob_medianiqr,textblob_lnorm_stdscaler,textblob_lnorm_medianiqr,pattern,pattern_stdscaler,pattern_medianiqr,pattern_lnorm_stdscaler,pattern_lnorm_medianiqr,flair,flair_stdscaler,flair_medianiqr,flair_lnorm_stdscaler,flair_lnorm_medianiqr,stanza,stanza_stdscaler,stanza_medianiqr,stanza_lnorm_stdscaler,stanza_lnorm_medianiqr
0,0,0,The Cyclone,the cyclone,11,2,-0.25,-0.40331437407673076,-0.27450980392156865,-0.40331437407673076,-2.465716767212037,-0.25,-0.3690443350882351,-0.18518518518518517,-0.3690443350882351,-2.549326652051362,0.0,-0.12208640926599337,0.0,-0.12208640926599337,0.0,0.0,-0.05620186500351701,-0.04555808656036481,-0.05620186500351701,-0.028640375892659966,0.0,-0.663896576823674,-0.4733201581027667,-0.663896576823674,-0.5396831346431171,-9.351783746304285,-0.8771170708726985,-1.1505111531018712,-0.8771170708726985,-11.784603007909165,0.0,-0.1885783977282912,0.0,-0.1885783977282912,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.20550890683432718,0.0,-0.20550890683432718,0.0,0.0,-0.36402148243038324,0.0,-0.36402148243038324,0.0,0.0,-0.4287573547074279,-0.022078914138382713,-0.4287573547074279,-0.03982798753851365,-0.6932,-0.766819205721315,-0.6159035159443991,-0.766819205721315,-4.843069661922215,2.521600087625656,-1.1404670520462763,-0.7453233532947925,-1.1404670520462763,7.385531424431428
1,1,0,"Dorothy lived in the midst of the great Kansas prairies, with Uncle
Henry, who was a farmer, and Aunt Em, who was the farmers wife. Their
house was small, for the lumber to build it had to be carried by wagon
many miles. There were four walls, a floor and a roof, which made one
room; and this room contained a rusty looking cookstove, a cupboard for
the dishes, a table, three or four chairs, and the beds. Uncle Henry
and Aunt Em had a big bed in one corner, and Dorothy a little bed in
another corner. There was no garret at all, and no cellarexcept a
small hole dug in the ground, called a cyclone cellar, where the family
could go in case one of those great whirlwinds arose, mighty enough to
crush any building in its path. It was reached by a trap door in the
middle of the floor, from which a ladder led down into the small, dark
hole.",dorothy lived in the midst of the great kansas prairies with uncle henry who was a farmer and aunt them who was the farmers wife their house was small for the lumber to build it had to be carried by wagon many miles there were four walls a floor and a roof which made one room and this room contained a rusty looking cookstove a cupboard for the dishes a table three or four chairs and the beds uncle henry and aunt them had a big bed in one corner and dorothy a little bed in another corner there was no garret at all and no cellarexcept a small hole dug in the ground called a cyclone cellar where the family could go in case one of those great whirlwinds arose mighty enough to crush any building in its path it was reached by a trap door in the middle of the floor from which a ladder led down into the small dark hole,843,164,0.2500000000000001,-0.08407339951255346,0.11764705882352951,-0.08407339951255346,-0.04443137239788709,1.25,0.5956525080641717,0.9259259259259258,0.5956525080641717,0.15544674707630254,16.39380159930316,0.31002387275143145,0.37077819247240973,0.31002387275143145,0.09689196769758397,-1.5312499999999998,-1.540705462293979,-1.7198177676537594,-1.540705462293979,-0.285355940296373,0.7940000000000016,-0.25390412338900376,-0.0810276679841889,-0.25390412338900376,-0.47229082121498855,-6.622575138527858,-0.697420406297611,-0.8147479417648582,-0.697420406297611,-0.10177322657235478,0.7692505289359397,0.5721805261725933,0.7515089309849181,0.5721805261725933,0.166323516143913,"{'neg': 0.051, 'neu': 0.89, 'pos': 0.059, 'compound': 0.5106}",0.5106,0.7958986225130066,0.670827038034553,0.7958986225130066,0.12897317674982609,0.09668803418803419,-0.004105744782203065,0.45121082621082625,-0.004105744782203065,0.0997603965561625,0.24598381625009647,0.6201810252661115,1.1391707603212522,0.6201810252661115,0.2284047018118904,-0.998,-1.0986962215313132,-0.7716680294358136,-1.0986962215313132,-0.20020882685669864,31.731584318607513,3.7396342120435744,3.389345270548187,3.7396342120435744,-0.8621914240308337
2,2,0,"When Dorothy stood in the doorway and looked around, she could see
nothing but the great gray prairie on every side. Not a tree nor a
house broke the broad sweep of flat country that reached to the edge of
the sky in all directions. The sun had baked the plowed land into a
gray mass, with little cracks running through it. Even the grass was
not green, for the sun had burned the tops of the long blades until
they were the same gray color to be seen everywhere. Once the house had
been painted, but the sun blistered the paint and the rains washed it
away, and now the house was as dull and gray as everything else.",when dorothy stood in the doorway and looked around she could see nothing but the great gray prairie on every side not a tree nor a house broke the broad sweep of flat country that reached to the edge of the sky in all directions the sun had baked the plowed land into a gray mass with little cracks running through it even the grass was not green for the sun had burned the tops of the long blades until they were the same gray color to be seen everywhere once the house had been painted but the sun blistered the paint and the rains washed it away and now the house was as dull and gray as everything else,617,120,0.6000000000000001,0.13939528268237056,0.39215686274509814,0.13939528268237056,0.02208104567652572,-0.4,-0.46551401940347586,-0.2962962962962963,-0.46551401940347586,-0.06798204405470298,-34.55728472518909,-1.0329525044731378,-0.7815812268769108,-1.0329525044731378,-0.2791324414009294,0.7488095238095239,0.66974780473075,0.7731858119101856,0.66974780473075,0.14292911397860295,-1.403,-1.3883542747693178,-1.1665019762845845,-1.3883542747693178,-0.7024290643377529,33.81236038519217,1.9648982692400074,4.159794408338077,1.9648982692400074,0.7101412498931253,-0.20460392623206408,-0.39092374152871556,-0.1998850466709009,-0.39092374152871556,-0.06045920321382604,"{'neg': 0.062, 'neu': 0.868, 'pos': 0.07, 'compound': 0.0147}",0.0147,-0.1766787253196272,0.01931288182355646,-0.1766787253196272,0.005074561537218969,0.05104166666666666,-0.1740217656774351,0.23819444444444443,-0.1740217656774351,0.0719735435595938,0.022581244354682575,-0.3324651098261426,0.08452347562659163,-0.3324651098261426,-0.006175618618024668,-1.0,-1.100873892238728,-0.7726901062959936,-1.100873892238728,-0.2308594924178081,23.938659369151498,2.4376731224357115,2.286257982938383,2.4376731224357115,-0.8157986611816102
3,3,0,"When Aunt Em came there to live she was a young, pretty wife. The sun
and wind had changed her, too. They had taken the sparkle from her eyes
and left them a sober gray; they had taken the red from her cheeks and
lips, and they were gray also. She was thin and gaunt, and never smiled
now. When Dorothy, who was an orphan, first came to her, Aunt Em had
been so startled by the childs laughter that she would scream and
press her hand upon her heart whenever Dorothys merry voice reached
her ears; and she still looked at the little girl with wonder that she
could find anything to laugh at.",when aunt them came there to live she was a young pretty wife the sun and wind had changed her too they had taken the sparkle from her eyes and left them a sober gray they had taken the red from her cheeks and lips and they were gray also she was thin and gaunt and never smiled now when dorothy who was an orphan first came to her aunt them had been so startled by the childs laughter that she would scream and press her hand upon her heart whenever dorothys merry voice reached her ears and she still looked at the little girl with wonder that she could find anything to laugh at,591,115,3.45,1.9590688376981809,2.6274509803921573,1.9590688376981809,0.5005037020012494,2.45,1.367409982586097,1.8148148148148149,1.367409982586097,0.43449393374092776,17.406646025684264,0.33672057809291367,0.39368566902045476,0.33672057809291367,0.1467132056102457,0.1532738095238102,0.09239276135306054,0.12203058900097671,0.09239276135306054,0.008005074007264327,3.8899999999999997,1.3447566270313183,1.4486166007905132,1.3447566270313183,-0.06882999397277707,40.69194722475827,2.417864306794718,5.0061614333221165,2.417864306794718,0.8917869837948672,1.0320062010216717,0.8320356901609713,1.0082045415976424,0.8320356901609713,0.3182102527867958,"{'neg': 0.059, 'neu': 0.782, 'pos': 0.159, 'compound': 0.9203}",0.9203,1.5994173549329098,1.209091506273402,1.5994173549329098,0.33150800232139255,0.022623966942148754,-0.2798050453201205,0.10557851239669419,-0.2798050453201205,0.03328895802790044,0.24161514935421377,0.6015519038618312,1.1185469929206016,0.6015519038618312,0.3359015499315724,-0.8565,-0.9446260189817242,-0.6993560915780868,-0.9446260189817242,-0.21878574726533773,24.56174758431579,2.5417722401352534,2.374456020731008,2.5417722401352534,-0.7069052997951956
4,4,0,"Uncle Henry never laughed. He worked hard from morning till night and
did not know what joy was. He was gray also, from his long beard to his
rough boots, and he looked stern and solemn, and rarely spoke.",uncle henry never laughed he worked hard from morning till night and did not know what joy was he was gray also from his long beard to his rough boots and he looked stern and solemn and rarely spoke,204,39,0.30000000000000004,-0.052149302056135785,0.15686274509803927,-0.052149302056135785,0.07360348558841903,0.30000000000000004,-0.015322159265685949,0.22222222222222224,-0.015322159265685949,0.15688164012623768,-42.88567733761657,-1.2524735264099194,-0.9699442700875648,-1.2524735264099194,-1.065858653722099,-0.2625,-0.3106881959675963,-0.33257403189066104,-0.3106881959675963,-0.213701266275996,-0.07500000000000007,-0.7026238236846315,-0.5103754940711461,-0.7026238236846315,-0.5664520248829278,-7.318735962839241,-0.7432570557131792,-0.9003937195598549,-0.7432570557131792,-0.47295733959462427,0.26570575800940455,0.074194286766459,0.2595776572742709,0.074194286766459,0.24158282807345544,"{'neg': 0.191, 'neu': 0.809, 'pos': 0.0, 'compound': -0.7393}",-0.7393,-1.6554513009715848,-0.9712934375615844,-1.6554513009715848,-0.7852691458850828,0.0513888888888889,-0.172729250597483,0.23981481481481487,-0.172729250597483,0.22296356769900336,0.36975923209684863,1.147991294080056,1.7234944103454863,1.147991294080056,1.6556940394804138,-0.8489,-0.9363508702935484,-0.6954721995094032,-0.9363508702935484,-0.41402077526273084,10.628230320376181,0.21390466323845464,0.40216886728980705,0.21390466323845464,-0.25145684376627886
5,5,0,"It was Toto that made Dorothy laugh, and saved her from growing as gray
as her other surroundings. Toto was not gray; he was a little black
dog, with long silky hair and small black eyes that twinkled merrily on
either side of his funny, wee nose. Toto played all day long, and
Dorothy played with him, and loved him dearly.",it was toto that made dorothy laugh and saved her from growing as gray as her other surroundings toto was not gray he was a little black dog with long silky hair and small black eyes that twinkled merrily on either side of his funny wee nose toto played all day long and dorothy played with him and loved him dearly,324,61,4.4,2.5656266893701174,3.372549019607844,2.5656266893701174,1.3067635228238983,4.4,2.621515878684226,3.2592592592592595,2.621515878684226,1.4710868549542286,58.69837682807405,1.4250942133311653,1.3275796909914286,1.4250942133311653,0.9327133778255082,0.4374999999999999,0.36794201993661496,0.43280182232346215,0.36794201993661496,0.16855565484368165,1.8759999999999997,0.30480095799174123,0.4535573122529642,0.30480095799174123,-0.11159153125393445,-14.173466641764009,-1.1945865129241724,-1.743702794230143,-1.1945865129241724,-0.5855941748047908,2.8497647726040043,2.6297283829972535,2.784039265829949,2.6297283829972535,1.6565665233943532,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.9747}",0.9747,1.706108638905677,1.280562307035407,1.706108638905677,0.6619170465476519,0.02541666666666666,-0.26940937857789476,0.11861111111111108,-0.26940937857789476,0.07050469573184698,0.061677856455733815,-0.16574708103503313,0.2690922361529361,-0.16574708103503313,0.14099284058509998,0.9992,1.0759257468929928,0.24897792313982012,1.0759257468929928,0.10610719911473372,14.961265056171023,0.9378231742614527,1.0155092452387366,0.9378231742614527,-0.4620485615020492
6,6,0,"Today, however, they were not playing. Uncle Henry sat upon the
doorstep and looked anxiously at the sky, which was even grayer than
usual. Dorothy stood in the door with Toto in her arms, and looked at
the sky too. Aunt Em was washing the dishes.",today however they were not playing uncle henry sat upon the doorstep and looked anxiously at the sky which was even grayer than usual dorothy stood in the door with toto in her arms and looked at the sky too aunt them was washing the dishes,247,46,-0.35,-0.46716256898956615,-0.3529411764705882,-0.46716256898956615,-0.21921038099159576,-0.35,-0.43335745796506225,-0.25925925925925924,-0.43335745796506225,-0.1551764049074742,-20.7097590789637,-0.6679573460293317,-0.4683920926652932,-0.6679573460293317,-0.4363843467327608,0.041666666666666685,-0.01580720929493298,-3.034778199430953e-16,-0.01580720929493298,-0.003735701203391128,2.2819999999999996,0.5144444543323908,0.6541501976284582,0.5144444543323908,0.15086112436055635,28.925473481549286,1.643135662219738,3.558580988619029,1.643135662219738,1.5847951812474668,0.0,-0.1885783977282912,0.0,-0.1885783977282912,0.0,"{'neg': 0.074, 'neu': 0.926, 'pos': 0.0, 'compound': -0.3595}",-0.3595,-0.9105735499999489,-0.4723116337121461,-0.9105735499999489,-0.32374531901157394,-0.25,-1.2946323399958435,-1.1666666666666667,-1.2946323399958435,-0.9196264660675695,-0.13025441773678337,-0.9841957571521848,-0.63698888057285,-0.9841957571521848,-0.5462162692799982,-0.8416,-0.9284023722114848,-0.6917416189697466,-0.9284023722114848,-0.3666940655406907,11.454341452547718,0.35192274460780226,0.5191047667064922,0.35192274460780226,-0.4331414958265871
7,7,0,"From the far north they heard a low wail of the wind, and Uncle Henry
and Dorothy could see where the long grass bowed in waves before the
coming storm. There now came a sharp whistling in the air from the
south, and as they turned their eyes that way they saw ripples in the
grass coming from that direction also.",from the far north they heard a low wail of the wind and uncle henry and dorothy could see where the long grass bowed in waves before the coming storm there now came a sharp whistling in the air from the south and as they turned their eyes that way they saw ripples in the grass coming from that direction also,314,61,-0.25,-0.40331437407673076,-0.27450980392156865,-0.40331437407673076,-0.1520334292482098,-1.25,-1.0121755638565062,-0.9259259259259258,-1.0121755638565062,-0.4179224019756331,0.0,-0.12208640926599337,0.0,-0.12208640926599337,0.0,-0.9458333333333331,-0.9731605495883738,-1.0797266514806383,-0.9731605495883738,-0.45495941377027477,2.0199999999999996,0.37915727196477944,0.5247035573122526,0.37915727196477944,-0.07873162139890125,-14.173466641764009,-1.1945865129241724,-1.743702794230143,-1.1945865129241724,-0.5855941748047908,0.0,-0.1885783977282912,0.0,-0.1885783977282912,0.0,"{'neg': 0.035, 'neu': 0.965, 'pos': 0.0, 'compound': -0.2732}",-0.2732,-0.741318810903445,-0.35893056559153913,-0.741318810903445,-0.18552963693117727,-0.01875,-0.43381729674779274,-0.08750000000000001,-0.43381729674779274,-0.05201166078578876,-0.018200023216446048,-0.5063669436599378,-0.10799826996205059,-0.5063669436599378,-0.09318495321433407,0.74,0.7936996232120496,0.11651676206050694,0.7936996232120496,0.04817032666620755,14.961265056171023,0.9378231742614527,1.0155092452387366,0.9378231742614527,-0.4620485615020492
8,8,0,Suddenly Uncle Henry stood up.,suddenly uncle henry stood up,30,5,0.0,-0.24369388679464213,-0.07843137254901962,-0.24369388679464213,-0.07360348558841902,0.0,-0.20826152789616734,0.0,-0.20826152789616734,0.0,0.0,-0.12208640926599337,0.0,-0.12208640926599337,0.0,0.28125,0.21646206102942506,0.26195899772209547,0.21646206102942506,1.5179399223109342,1.142,-0.07420969795416212,0.09090909090909086,-0.07420969795416212,2.639604421358721,0.0,-0.26137654365534535,0.0,-0.26137654365534535,0.0,0.0,-0.1885783977282912,0.0,-0.1885783977282912,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.20550890683432718,0.0,-0.20550890683432718,0.0,0.0,-0.36402148243038324,0.0,-0.36402148243038324,0.0,0.0,-0.4287573547074279,-0.022078914138382713,-0.4287573547074279,-0.03982798753851365,0.9329,1.003735962942196,0.21509607522485688,1.003735962942196,2.4267516373772318,2.924938053398153,-1.0730815272525291,-0.6882309283658065,-1.0730815272525291,2.1631604950523173
9,9,0,"Theres a cyclone coming, Em, he called to his wife. Ill go look
after the stock. Then he ran toward the sheds where the cows and
horses were kept.",there is a cyclone coming them he called to his wife ill go look after the stock then he ran toward the sheds where the cows and horses were kept,146,29,-0.75,-0.7225553486409079,-0.6666666666666667,-0.7225553486409079,-0.5685234748898572,-0.75,-0.6906099494723706,-0.5555555555555555,-0.6906099494723706,-0.527446893527868,0.0,-0.12208640926599337,0.0,-0.12208640926599337,0.0,-0.1250000000000004,-0.1773858321292694,-0.18223234624145868,-0.1773858321292694,-0.14715227613814647,0.22299999999999984,-0.5487475628237606,-0.36314229249011853,-0.5487475628237606,-0.43264449629110163,-14.924039569305554,-1.2440057662620334,-1.8360426673259183,-1.2440057662620334,-1.2969967594138865,-0.5712331474012818,-0.7535058149568907,-0.5580585203373151,-0.7535058149568907,-0.6984657338333282,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.4215}",-0.4215,-1.0321702339394998,-0.5537673257570781,-1.0321702339394998,-0.6020908340430106,-0.5,-2.2252431975613036,-2.3333333333333335,-2.2252431975613036,-2.9174356854557377,-0.1465760974981658,-1.053795605582639,-0.7140408817917812,-1.053795605582639,-0.9437150573056783,-0.9871,-1.0868279161759031,-0.7660977105478332,-1.0868279161759031,-0.5813374395608736,8.282880637318586,-0.17793204103755353,0.07018499253670676,-0.17793204103755353,-0.15024263866750143
