,sent_no,parag_no,sect_no,sent_raw,sent_clean,char_len,token_len,sentimentr,sentimentr_stdscaler,sentimentr_medianiqr,sentimentr_lnorm_stdscaler,sentimentr_lnorm_medianiqr,syuzhet,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,sentiword,sentiword_stdscaler,sentiword_medianiqr,sentiword_lnorm_stdscaler,sentiword_lnorm_medianiqr,senticnet,senticnet_stdscaler,senticnet_medianiqr,senticnet_lnorm_stdscaler,senticnet_lnorm_medianiqr,nrc,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,afinn,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,scores,vader,vader_stdscaler,vader_medianiqr,vader_lnorm_stdscaler,vader_lnorm_medianiqr,textblob,textblob_stdscaler,textblob_medianiqr,textblob_lnorm_stdscaler,textblob_lnorm_medianiqr,pattern,pattern_stdscaler,pattern_medianiqr,pattern_lnorm_stdscaler,pattern_lnorm_medianiqr,flair,flair_stdscaler,flair_medianiqr,flair_lnorm_stdscaler,flair_lnorm_medianiqr,stanza,stanza_stdscaler,stanza_medianiqr,stanza_lnorm_stdscaler,stanza_lnorm_medianiqr,sentimentr_stdscaler_roll10,syuzhet_stdscaler_roll10,bing_stdscaler_roll10,sentiword_stdscaler_roll10,senticnet_stdscaler_roll10,nrc_stdscaler_roll10,afinn_stdscaler_roll10,vader_stdscaler_roll10,textblob_stdscaler_roll10,flair_stdscaler_roll10,pattern_stdscaler_roll10,stanza_stdscaler_roll10,stanza_stdscaler_roll10_mean,sentimentr_roll100,syuzhet_roll100,bing_roll100,sentiword_roll100,senticnet_roll100,nrc_roll100,afinn_roll100,vader_roll100,textblob_roll100,flair_roll100,pattern_roll100,stanza_roll100
0,0,0,0,The Cyclone,the cyclone,11,2,-0.25,-0.4505946099971721,-0.25,-1.7887438782593919,-2.246708311684712,-0.25,-0.42774491559243405,-0.25,-1.806038440423941,-2.285089724885159,0.0,-0.09453983633350135,0.0,-0.08414789293388389,0.0,0.0,-0.042040028134887136,0.0,-0.0876262800844104,0.0,0.0,-0.5309998713364321,-0.404047976011994,-0.4333717309185369,-0.4183323509599249,-9.351783746304285,-1.1340496675006997,-1.1944648761087142,-5.732578666012065,-10.80133792685836,0.0,-0.14290275834835156,0.0,-0.07630401530808294,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.16783450118915105,0.0,-0.11433664891787874,0.0,0.0,-0.3015499363270557,0.0,-0.16077687640733296,0.0,0.0,-0.35343567861590613,0.0,-0.16055141851007823,0.0,-0.6932,-0.7636289880765785,-0.6167130066576537,-2.348855841079876,-3.21415040797617,2.521600087625656,-1.3671342826037578,-0.8533680827371878,1.0262255640165427,5.894157794236438,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,0,"Dorothy lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmers wife.",dorothy lived in the midst of the great kansas prairies with uncle henry who was a farmer and aunt them who was the farmers wife,131,25,0.75,0.5683825406860707,0.75,0.22384098213660025,0.5416893690307402,0.75,0.6077822855497234,0.75,0.25235330846059095,0.5509432643365657,23.702996758176457,0.7115074609278061,1.0092964843672558,0.17653281770696239,1.0996688682143483,0.0,-0.042040028134887136,0.0,-0.0876262800844104,0.0,1.988,1.0994291353573191,1.0862068965517242,0.41031182375198677,0.5185054968608458,7.564939812194434,0.5390996965314633,0.9662386492965737,0.17442155106305254,0.7022163558418117,0.9039205316213167,0.9298158287619448,1.638970866630799,0.11857487746461094,1.422311772608635,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.6249}",0.6249,1.287257850041144,1.0342601787487589,0.517029825706869,0.8475249353148335,0.8,2.5727535745631513,4.0,0.6451841576488063,3.611281308965319,0.24776425090074664,1.1340144451274035,1.6906718984186284,0.1869922678613889,1.4185713328420557,0.9167,0.9777562437481915,0.20460168864627706,0.3036382463337273,0.17659495984016632,7.8339779407180785,0.7460313291604778,0.5738926797019877,-0.20691232879902832,-0.2585481545092725,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1,0,"Their house was small, for the lumber to build it had to be carried by wagon many miles.",their house was small for the lumber to build it had to be carried by wagon many miles,88,18,0.1,-0.09395260725803714,0.1,-0.09474309260821834,0.10029725056049463,0.1,-0.06531039519267899,0.1,-0.07348181217711444,0.10201066845128637,0.0,-0.09453983633350135,0.0,-0.08414789293388389,0.0,-1.375,-2.022136215248114,-1.9730941704035874,-1.6186830747434053,-1.6815858156352295,1.4929999999999999,0.6934621543143578,0.7151424287856073,0.4465073456940684,0.5586975033178302,0.0,-0.20911104250114776,0.0,-0.1861619750762828,0.0,0.0,-0.14290275834835156,0.0,-0.07630401530808294,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.16783450118915105,0.0,-0.11433664891787874,0.0,0.125,0.1475599872495392,0.625,0.014100669589197099,0.7835763598107182,0.08619584690113721,0.16404019884882595,0.5881756370676959,0.0073510494291254246,0.6853285991718739,-0.968,-1.060872706136984,-0.7569063592072035,-0.3248561095867874,-0.6268241075757982,6.019318485225281,0.024193375525842196,0.08635351934154137,-0.1794182884187117,-0.12136743304365705,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1,0,"There were four walls, a floor and a roof, which made one room; and this room contained a rusty looking cookstove, a cupboard for the dishes, a table, three or four chairs, and the beds.",there were four walls a floor and a roof which made one room and this room contained a rusty looking cookstove a cupboard for the dishes a table three or four chairs and the beds,186,35,-0.25,-0.4505946099971721,-0.25,-0.26023484509782074,-0.12898839492962785,-0.25,-0.42774491559243405,-0.25,-0.24274019453720722,-0.13119195507052756,-21.95221938042295,-0.8410499625002867,-0.9347466934566704,-0.2566147520560147,-0.727543036495005,1.125,1.5780386704122986,1.6143497757847534,0.5567843969851972,0.7077672479455596,-0.23099999999999984,-0.7204511291564806,-0.5772113943028485,-0.5034037688650616,-0.4960968911659341,-7.377162102100413,-0.9387496180094934,-0.9422545746742246,-0.43735716087398296,-0.48918864892265373,0.0,-0.14290275834835156,0.0,-0.07630401530808294,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.16783450118915105,0.0,-0.11433664891787874,0.0,0.0,-0.3015499363270557,0.0,-0.16077687640733296,0.0,0.0,-0.35343567861590613,0.0,-0.16055141851007823,0.0,-0.9653,-1.0579521892564778,-0.7555289136035507,-0.14287479186774443,-0.39419312339643897,9.575011575160055,1.4385822935249626,1.0416510096331684,-0.25897382650228884,-0.5183074956873228,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1,0,"Uncle Henry and Aunt Em had a big bed in one corner, and Dorothy a little bed in another corner.",uncle henry and aunt them had a big bed in one corner and dorothy a little bed in another corner,96,20,0.5,0.31363825301526,0.5,0.1586457951784469,0.4513626893039751,0.5,0.348900485264184,0.5,0.185674264241187,0.45907349795294045,0.0,-0.09453983633350135,0.0,-0.08414789293388389,0.0,1.3125,1.8480517868368296,1.8834080717488788,1.2277637301558753,1.4447153044645864,-1.263,-1.5668307744824117,-1.3508245877061469,-1.1033074864315568,-1.1622382477841187,7.694833803516993,0.5519468680432159,0.982829474583106,0.2722608693936323,0.8927529849322883,0.32302534962171353,0.24044432198125112,0.585703188159258,0.010739768317746961,0.6352837725110666,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.16783450118915105,0.0,-0.11433664891787874,0.0,-0.09375,-0.6383823790095018,-0.46875,-0.2788257745856503,-0.5289434123010133,-0.06238080538633576,-0.727938200080486,-0.4256686518897689,-0.2699189324973313,-0.44640609560863814,0.9593,1.0238355100850667,0.22633471928168766,0.38211337209865215,0.2769115526042549,6.46050699243427,0.1996900001111821,0.20488632378276744,-0.19429646324614666,-0.1956016572132071,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,1,0,"There was no garret at all, and no cellarexcept a small hole dug in the ground, called a cyclone cellar, where the family could go in case one of those great whirlwinds arose, mighty enough to crush any building in its path.",there was no garret at all and no cellarexcept a small hole dug in the ground called a cyclone cellar where the family could go in case one of those great whirlwinds arose mighty enough to crush any building in its path,224,42,-0.15,-0.34869689492884787,-0.15,-0.21368701341100987,-0.06449726788602149,0.85,0.711335005663939,0.85,0.12227910350025288,0.3717282356549673,42.21484740687075,1.3410239450634167,1.7975489559630147,0.19224818309514102,1.1659633708935406,-0.10416666666666662,-0.19204731503740427,-0.1494768310911808,-0.13735169335507558,-0.05461427030286886,-0.09100000000000028,-0.6056321850231181,-0.47226386806596726,-0.4563631409223613,-0.44386232952488497,-7.279254981275042,-0.929066109475662,-0.9297493008014135,-0.3927229843033426,-0.40226607330469927,0.0,-0.14290275834835156,0.0,-0.07630401530808294,0.0,"{'neg': 0.13, 'neu': 0.781, 'pos': 0.089, 'compound': 0.0258}",0.0258,-0.10775867679846196,0.04270109235352532,-0.09881807858900972,0.020831602314599476,0.23750000000000002,0.5517589184684746,1.1875,-0.01833139327343,0.6382575447836937,0.2534908614583669,1.1683940925204177,1.7297486397473625,0.051135527391726054,0.8640439886231244,-0.9998,-1.0952699049518344,-0.773129607428003,-0.11664367364020714,-0.3606612700947822,10.944141673870055,1.983196912935208,1.4094911224040891,-0.27597932840808825,-0.6031559569557718,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,1,0,"It was reached by a trap door in the middle of the floor, from which a ladder led down into the small, dark hole.",it was reached by a trap door in the middle of the floor from which a ladder led down into the small dark hole,113,24,-0.7,-0.9091343278046313,-0.7,-0.5472437114152287,-0.5266336683949003,-0.7,-0.8937321561064048,-0.7,-0.5362814478328403,-0.5356303611684161,-23.93458870099624,-0.9084626803656191,-1.0191578928668017,-0.35833885768574286,-1.1566612164821668,-2.4895833333333335,-3.6272141851050486,-3.572496263079223,-2.1670204581296164,-2.2838341249738514,-1.1019999999999999,-1.4347889887290446,-1.2301349325337332,-0.9205257949098441,-0.9592749381897852,-7.588373919805096,-0.95963953308357,-0.9692317914824106,-0.5629270679126298,-0.7337290567115567,0.0,-0.14290275834835156,0.0,-0.07630401530808294,0.0,"{'neg': 0.097, 'neu': 0.844, 'pos': 0.059, 'compound': -0.2263}",-0.2263,-0.6947786507865519,-0.3745448526977822,-0.3525011767348133,-0.31970398198970734,-0.1388888888888889,-0.8005609625232721,-0.6944444444444444,-0.30652839676447613,-0.6530709537781033,-0.17426166091270862,-1.3996137617977278,-1.1891113911945903,-0.4151723721766918,-1.0392880083176133,-0.9725,-1.065740234271161,-0.7592021018799582,-0.23278045545224377,-0.5091216405931901,7.3214172927271735,0.5421441876147256,0.4361845344084511,-0.2177881017408118,-0.3128125099118412,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2,0,"When Dorothy stood in the doorway and looked around, she could see nothing but the great gray prairie on every side.",when dorothy stood in the doorway and looked around she could see nothing but the great gray prairie on every side,116,21,0.5,0.31363825301526,0.5,0.14313981970866763,0.42987945801868355,0.5,0.348900485264184,0.5,0.16981536924824758,0.43722326006845974,24.724797930973505,0.7462549691046945,1.0528057647315898,0.23953968235196474,1.36546025478673,0.38749999999999996,0.5159870791424768,0.5560538116591928,0.28224275155682693,0.4062334718217754,-0.897,-1.266661249105192,-1.0764617691154423,-0.8865230892104085,-0.9215178651128035,0.0,-0.20911104250114776,0.0,-0.1861619750762828,0.0,0.6360266271300528,0.6118954356872575,1.153230926614593,0.08692504837106003,1.1913174156501563,"{'neg': 0.182, 'neu': 0.818, 'pos': 0.0, 'compound': -0.6642}",-0.6642,-1.714437701200612,-1.099304865938431,-0.9131724186443395,-1.072330035368109,0.8,2.5727535745631513,4.0,0.7986274768408367,4.298817017478469,0.26190673544249715,1.2189187051454948,1.7871761402599415,0.27677434833149794,1.7850354366430552,-0.6221,-0.6867220435565827,-0.5804402724281305,-0.15704065899653563,-0.41230168340265044,6.678279584865553,0.28631590780008104,0.2633946386856496,-0.20084927001694028,-0.22829669759315016,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2,0,Not a tree nor a house broke the broad sweep of flat country that reached to the edge of the sky in all directions.,not a tree nor a house broke the broad sweep of flat country that reached to the edge of the sky in all directions,115,24,-0.75,-0.9600831853387936,-0.75,-0.5743943515562011,-0.5642503589945361,-0.75,-0.9455085161635127,-0.75,-0.5640500427094383,-0.573889672680446,-23.93458870099624,-0.9084626803656191,-1.0191578928668017,-0.35833885768574286,-1.1566612164821668,0.775,1.0740141864198407,1.1121076233183858,0.559683037265227,0.7109508740504374,1.4929999999999999,0.6934621543143578,0.7151424287856073,0.22662919243810706,0.31454177130339744,7.588373919805096,0.5414174480812746,0.9692317914824106,0.19060311776006422,0.7337290567115567,0.0,-0.14290275834835156,0.0,-0.07630401530808294,0.0,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.4082}",0.4082,0.7826674955658601,0.6756041046011255,0.31526458950400676,0.576682127477678,0.01875,-0.2341834477905664,0.09374999999999999,-0.14110042115911864,0.08816457876004395,0.01176266211160783,-0.28281865800113315,0.08026501890563484,-0.1433645041375818,0.0701519405614389,-0.9994,-1.094837235784352,-0.772925541412647,-0.2405695510681353,-0.5190786240995381,7.016358238863542,0.42079734068313834,0.3542252254423301,-0.23443289113181093,-0.395861206491743,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,2,0,"The sun had baked the plowed land into a gray mass, with little cracks running through it.",the sun had baked the plowed land into a gray mass with little cracks running through it,90,17,0.0,-0.19585032232636143,0.0,-0.167134749441616,0.0,0.0,-0.16886311530689474,0.0,-0.14752111956046984,0.0,-26.087773109487912,-0.9816841590957803,-1.1108425636220038,-0.5059920381698477,-1.779528959446508,0.1875,0.22797308828964383,0.26905829596412556,0.133428176159044,0.24278788311360017,0.21500000000000005,-0.35467077856019635,-0.2428785607196401,-0.29921544026466046,-0.2693633567060578,15.584561297161889,1.332280748462228,1.9905519186518452,0.9060435367964434,2.1270094687610297,-0.34092303651433087,-0.5474897383420921,-0.6181549207739219,-0.1843728027149689,-0.788733486697493,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.16783450118915105,0.0,-0.11433664891787874,0.0,-0.1875,-0.9752148216919478,-0.9375,-0.43851449575455576,-1.2444629841438302,-0.06594651097567891,-0.7493448767936062,-0.44999999999999996,-0.2965617694363104,-0.5551543370220207,-1.0,-1.0954862395355756,-0.7732316404356809,-0.35990273321355315,-0.6716250280694349,5.795691620743625,-0.06476125325949732,0.0262723545734567,-0.17090075288671255,-0.07886943517844822,,,,,,,,,,,,,,,,,,,,,,,,,
