,sent_no,sent_raw,roberta15lg,yelp,nlptown,huggingface,hinglish,imdb2way,t5imdb50k,robertaxml8lang
0,0,The Cyclone,-1.9964444041252136,2.3213445842266083,3.274508684873581,-0.6187617182731628,-0.4361165761947632,0.8955776691436768,0,0.631384551525116
1,1,"Dorothy lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmers wife.",1.9983543157577515,4.500803589820862,3.4741592407226562,0.9958771467208862,0.6283206939697266,0.9449023604393005,1,-0.4896886646747589
2,2,"Their house was small, for the lumber to build it had to be carried by wagon many miles.",-1.9955620765686035,1.5143679976463318,2.4131372570991516,-0.9985566735267639,0.7241384387016296,0.9757676124572754,-1,0.5018644332885742
3,3,"There were four walls, a floor and a roof, which made one room; and this room contained a rusty looking cookstove, a cupboard for the dishes, a table, three or four chairs, and the beds.",-1.9967030882835388,1.5915615558624268,3.2778375446796417,-0.996600329875946,0.8899255990982056,-0.9989098310470581,-1,0.6094919443130493
4,4,"Uncle Henry and Aunt Em had a big bed in one corner, and Dorothy a little bed in another corner.",1.9911878108978271,3.424069344997406,3.3200562596321106,-0.952183187007904,0.9190268516540527,0.830696165561676,-1,0.7063486576080322
5,5,"There was no garret at all, and no cellarexcept a small hole dug in the ground, called a cyclone cellar, where the family could go in case one of those great whirlwinds arose, mighty enough to crush any building in its path.",-1.9947072267532349,0.41192230582237244,0.47621482610702515,-0.9985197186470032,-1.3493861258029938,-0.9584735035896301,-1,-1.5663927793502808
6,6,"It was reached by a trap door in the middle of the floor, from which a ladder led down into the small, dark hole.",1.9943207502365112,0.3424013555049896,1.2772595584392548,-0.9975878000259399,0.8903676867485046,0.7107609510421753,-1,0.6649554371833801
7,7,"When Dorothy stood in the doorway and looked around, she could see nothing but the great gray prairie on every side.",-1.9978526830673218,1.280553251504898,2.232369378209114,-0.9735959768295288,1.886366844177246,0.9939350485801697,-1,1.4715093076229095
8,8,Not a tree nor a house broke the broad sweep of flat country that reached to the edge of the sky in all directions.,-1.9943828582763672,2.2888908982276917,0.5436895489692688,-0.9973018169403076,0.6391713619232178,0.9933264255523682,-1,-1.6626982688903809
9,9,"The sun had baked the plowed land into a gray mass, with little cracks running through it.",-1.9988672733306885,0.4839910864830017,1.4247264862060547,-0.9967761635780334,0.6234540343284607,-0.9923230409622192,-1,-0.4391745328903198
10,10,"Even the grass was not green, for the sun had burned the tops of the long blades until they were the same gray color to be seen everywhere.",-1.999325156211853,0.7068077325820923,0.4409668743610382,-0.9947100877761841,-1.5676972270011902,-0.9876432418823242,-1,-1.6847887635231018
11,11,"Once the house had been painted, but the sun blistered the paint and the rains washed it away, and now the house was as dull and gray as everything else.",-1.9994843006134033,1.5384461283683777,1.4309081137180328,-0.9995638728141785,0.5304694771766663,-0.9982438087463379,-1,-1.6403748989105225
12,12,"When Aunt Em came there to live she was a young, pretty wife.",1.9916959404945374,2.3789368271827698,3.3076694309711456,0.9990045428276062,0.6136071681976318,0.7381563186645508,1,1.8350042700767517
13,13,"The sun and wind had changed her, too.",1.9969434142112732,2.387765794992447,3.277144491672516,0.9456326365470886,0.7126932740211487,0.9771206378936768,1,0.5758928656578064
14,14,"They had taken the sparkle from her eyes and left them a sober gray; they had taken the red from her cheeks and lips, and they were gray also.",-1.9979028701782227,0.5394027829170227,1.4733201265335083,-0.9858907461166382,0.7705901861190796,-0.6498197913169861,-1,-0.48132041096687317
15,15,"She was thin and gaunt, and never smiled now.",-1.9992818236351013,1.5545097589492798,0.49459993839263916,-0.9928216338157654,1.395529329776764,-0.993563175201416,-1,-1.8204646706581116
16,16,"When Dorothy, who was an orphan, first came to her, Aunt Em had been so startled by the childs laughter that she would scream and press her hand upon her heart whenever Dorothys merry voice reached her ears; and she still looked at the little girl with wonder that she could find anything to laugh at.",1.9906091690063477,2.2509367167949677,3.3123322129249573,0.9991286396980286,1.6722317337989807,0.9972745776176453,1,1.4468135833740234
17,17,Uncle Henry never laughed.,-1.9992262125015259,0.3648957312107086,4.51427561044693,0.9782274961471558,1.8954601287841797,-0.9697809219360352,-1,-1.6560713648796082
18,18,He worked hard from morning till night and did not know what joy was.,-1.9951360821723938,4.528443396091461,2.4016895294189453,-0.9987220168113708,-1.4580180048942566,0.9850543737411499,1,1.4977080821990967
19,19,"He was gray also, from his long beard to his rough boots, and he looked stern and solemn, and rarely spoke.",-1.9985308647155762,0.6673643589019775,1.410803109407425,-0.9961071610450745,0.8063474297523499,-0.9899923205375671,1,-0.4240187406539917
20,20,"It was Toto that made Dorothy laugh, and saved her from growing as gray as her other surroundings.",1.9973986148834229,3.4407364428043365,4.572689116001129,0.9996187686920166,0.5201217532157898,0.9988470077514648,1,1.7169451713562012
21,21,"Toto was not gray; he was a little black dog, with long silky hair and small black eyes that twinkled merrily on either side of his funny, wee nose.",1.9983217120170593,0.564803957939148,2.347646266222,0.9986268281936646,-0.4348386824131012,0.9950337409973145,-1,-0.45301541686058044
22,22,"Toto played all day long, and Dorothy played with him, and loved him dearly.",1.9986305236816406,4.693621277809143,4.828870594501495,0.9998371601104736,1.9582919478416443,0.9974815249443054,1,1.8495290279388428
23,23,"Today, however, they were not playing.",-1.9995012283325195,0.33201223611831665,1.376608520746231,-0.988661527633667,-1.5893003940582275,0.7086860537528992,0,0.6608688235282898
24,24,"Uncle Henry sat upon the doorstep and looked anxiously at the sky, which was even grayer than usual.",-1.9971924424171448,1.3990063071250916,3.3064129650592804,-0.9978565573692322,-1.4738044738769531,0.9811041355133057,-1,1.603581428527832
25,25,"Dorothy stood in the door with Toto in her arms, and looked at the sky too.",1.997882902622223,4.332704097032547,4.407046467065811,0.998668909072876,0.9237805008888245,0.9886986613273621,1,0.6385040879249573
26,26,Aunt Em was washing the dishes.,1.988386332988739,2.321821451187134,3.3113985657691956,0.5786187648773193,0.8203359842300415,0.5669246912002563,-1,0.739875078201294
27,27,"From the far north they heard a low wail of the wind, and Uncle Henry and Dorothy could see where the long grass bowed in waves before the coming storm.",1.9924471378326416,4.33615705370903,3.338134288787842,-0.8390986919403076,0.9295914173126221,0.9875919222831726,-1,-0.4999622702598572
28,28,"There now came a sharp whistling in the air from the south, and as they turned their eyes that way they saw ripples in the grass coming from that direction also.",1.993333876132965,0.5281550288200378,1.3986628651618958,0.9913313388824463,0.8514243364334106,0.9909213185310364,1,0.5276920199394226
29,29,Suddenly Uncle Henry stood up.,1.9953031539916992,2.347022920846939,1.305064707994461,0.9900189638137817,0.7592509984970093,0.7949190735816956,-1,1.4678103029727936
30,30,"Theres a cyclone coming, Em, he called to his wife.",-1.9674474596977234,3.2561818659305573,0.38918790221214294,-0.6715561747550964,0.8240243792533875,0.9786974787712097,1,0.5259355306625366
31,31,Ill go look after the stock.,-1.9974049925804138,1.4065357744693756,0.4539177417755127,-0.9995942711830139,0.7897128462791443,-0.7794090509414673,0,0.7685925960540771
32,32,Then he ran toward the sheds where the cows and horses were kept.,1.980635166168213,0.3913494944572449,1.3225668370723724,-0.9966692328453064,0.8489129543304443,-0.8467617034912109,0,0.668418288230896
33,33,Aunt Em dropped her work and came to the door.,1.9957192540168762,0.292951762676239,0.558497428894043,0.631460428237915,0.874963104724884,0.6719846725463867,-1,0.7544406056404114
34,34,One glance told her of the danger close at hand.,-1.985146701335907,0.5471663475036621,0.3827383816242218,0.9497689008712769,0.8626259565353394,0.920510470867157,-1,-1.5229520797729492
35,35,"Quick, Dorothy! she screamed.",1.957511842250824,2.323789596557617,4.622227907180786,-0.8101650476455688,1.9484139680862427,0.7660860419273376,1,-1.4553843140602112
