,sent_raw
0,One may as well begin with Helen s letters to her sister.
1,"Howards End,"
2,Tuesday.
3,"Dearest Meg,"
4,It isn t going to be what we expected.
5,"It is old and little, and altogether delightful--red brick."
6,"We can scarcely pack in as it is, and the dear knows what will happen when Paul (younger son) arrives to-morrow."
7,From hall you go right or left into dining-room or drawing-room.
8,Hall itself is practically a room.
9,"You open another door in it, and there are the stairs going up in a sort of tunnel to the first-floor."
10,"Three bed-rooms in a row there, and three attics in a row above."
11,"That isn t all the house really, but it s all that one notices--nine windows as you look up from the front garden."
12,"Then there s a very big wych-elm--to the left as you look up--leaning a little over the house, and standing on the boundary between the garden and meadow."
13,quite love that tree already.
14,"Also ordinary elms, oaks--no nastier than ordinary oaks--pear-trees, apple-trees, and a vine."
15,"No silver birches, though."
16,"However, must get on to my host and hostess."
17,only wanted to show that it isn t the least what we expected.
18,"Why did we settle that their house would be all gables and wiggles, and their garden all gamboge-coloured paths?"
19,believe simply because we associate them with expensive hotels--Mrs.
20,"Wilcox trailing in beautiful dresses down long corridors, Mr. Wilcox bullying porters, etc."
21,We females are that unjust.
22,shall be back Saturday; will let you know train later.
23,"They are as angry as am that you did not come too; really Tibby is too tiresome, he starts a new mortal disease every month."
24,How could he have got hay fever in London?
25,"and even if he could, it seems hard that you should give up a visit to hear a schoolboy sneeze."
26,"Tell him that Charles Wilcox (the son who is here) has hay fever too, but he s brave, and gets quite cross when we inquire after it."
27,Men like the Wilcoxes would do Tibby a power of good.
28,"But you won t agree, and d better change the subject."
29,This long letter is because m writing before breakfast.
30,"Oh, the beautiful vine leaves!"
31,The house is covered with a vine.
32,"looked out earlier, and Mrs. Wilcox was already in the garden."
33,She evidently loves it.
34,No wonder she sometimes looks tired.
35,She was watching the large red poppies come out.
36,"Then she walked off the lawn to the meadow, whose corner to the right can just see."
37,"Trail, trail, went her long dress over the sopping grass, and she came back with her hands full of the hay that was cut yesterday--suppose for rabbits or something, as she kept on smelling it."
38,The air here is delicious.
39,"Later on heard the noise of croquet balls, and looked out again, and it was Charles Wilcox practising; they are keen on all games."
40,Presently he started sneezing and had to stop.
41,"Then hear more clicketing, and it is Mr. Wilcox practising, and then, a-tissue, a-tissue : he has to stop too."
42,"Then Evie comes out, and does some calisthenic exercises on a machine that is tacked on to a green-gage-tree--they put everything to use--and then she says a-tissue, and in she goes."
43,"And finally Mrs. Wilcox reappears, trail, trail, still smelling hay and looking at the flowers."
44,"inflict all this on you because once you said that life is sometimes life and sometimes only a drama, and one must learn to distinguish tother from which, and up to now have always put that down as Meg s clever nonsense."
45,"But this morning, it really does seem not life but a play, and it did amuse me enormously to watch the W s."
46,Now Mrs. Wilcox has come in.
47,am going to wear [omission].
48,"Last night Mrs. Wilcox wore an [omission], and Evie [omission]."
49,"So it isn t exactly a go-as-you-please place, and if you shut your eyes it still seems the wiggly hotel that we expected."
50,Not if you open them.
51,The dog-roses are too sweet.
52,"There is a great hedge of them over the lawn--magnificently tall, so that they fall down in garlands, and nice and thin at the bottom, so that you can see ducks through it and a cow."
53,"These belong to the farm, which is the only house near us."
54,There goes the breakfast gong.
55,Much love.
56,Modified love to Tibby.
57,"Love to Aunt Juley; how good of her to come and keep you company, but what a bore."
58,Burn this.
59,Will write again Thursday.
60,HELEN.
61,Howards End
62,Friday
63,"Dearest Meg,"
64,am having a glorious time.
65,like them all.
66,"Mrs. Wilcox, if quieter than in Germany, is sweeter than ever, and never saw anything like her steady unselfishness, and the best of it is that the others do not take advantage of her."
67,"They are the very happiest, jolliest family that you can imagine."
68,do really feel that we are making friends.
69,"The fun of it is that they think me a noodle, and say so--at least, Mr. Wilcox does--and when that happens, and one doesn t mind, it s a pretty sure test, isn t it?"
70,"He says the most horrid things about woman s suffrage so nicely, and when said believed in equality he just folded his arms and gave me such a setting down as ve never had."
71,"Meg, shall we ever learn to talk less?"
72,never felt so ashamed of myself in my life.
73,"couldn t point to a time when men had been equal, nor even to a time when the wish to be equal had made them happier in other ways."
74,couldn t say a word.
75,"had just picked up the notion that equality is good from some book--probably from poetry, or you."
76,"Anyhow, it s been knocked into pieces, and, like all people who are really strong, Mr. Wilcox did it without hurting me."
77,"On the other hand, laugh at them for catching hay fever."
78,"We live like fighting-cocks, and Charles takes us out every day in the motor--a tomb with trees in it, a hermit s house, a wonderful road that was made by the Kings of Mercia--tennis--a cricket match--bridge and at night we squeeze up in this lovely house."
79,The whole clan s here now--it s like a rabbit warren. Evie is a dear. They want me to stop over Sunday--suppose it won t matter if do.
80,Marvellous weather and the views marvellous--views westward to the high ground.
81,Thank you for your letter.
82,Burn this.
83,Your affectionate
84,HELEN.
85,"Howards End,"
86,Sunday.
87,"Dearest, dearest Meg,--do not know what you will say: Paul and are in love--the younger son who only came here Wednesday."
88,Margaret glanced at her sister s note and pushed it over the breakfast-table to her aunt.
89,"There was a moment s hush, and then the flood-gates opened."
90,"I can tell you nothing, Aunt Juley."
91,I know no more than you do.
92,We met--we only met the father and mother abroad last spring. I know so little that I didn t even know their son s name. It s all so-- She waved her hand and laughed a little.
93,In that case it is far too sudden.
94,"Who knows, Aunt Juley, who knows?"
95,"But, Margaret, dear, I mean, we mustn t be unpractical now that we ve come to facts."
96,"It is too sudden, surely."
97,Who knows!
98,"But, Margaret, dear--"
99,"I ll go for her other letters, said Margaret."
100,"No, I won t, I ll finish my breakfast."
101,"In fact, I haven t them."
102,We met the Wilcoxes on an awful expedition that we made from Heidelberg to Speyer.
103,"Helen and I had got it into our heads that there was a grand old cathedral at Speyer--the Archbishop of Speyer was one of the seven electors--you know-- Speyer, Maintz, and Koln."
104,Those three sees once commanded the Rhine Valley and got it the name of Priest Street.
105,"I still feel quite uneasy about this business, Margaret."
106,"The train crossed by a bridge of boats, and at first sight it looked quite fine."
107,"But oh, in five minutes we had seen the whole thing."
